[1723, 1092]
[paragraph, [103.0, 100.0, 883.0, 36.0], shoonya_2sTDY3UKXSZACQ, 5680571]
[paragraph, [103.0, 136.0, 883.0, 36.0], shoonya_2sTDY3UKXSZACQ, 5680571]
[paragraph, [103.0, 172.0, 883.0, 36.0], shoonya_2sTDY3UKXSZACQ, 5680571]
[paragraph, [103.0, 208.0, 883.0, 36.0], shoonya_2sTDY3UKXSZACQ, 5680571]
[paragraph, [102.0, 284.0, 888.0, 36.0], shoonya_4sKK57UM42YC4Z, 5680571]
[paragraph, [102.0, 320.0, 888.0, 36.0], shoonya_4sKK57UM42YC4Z, 5680571]
[paragraph, [102.0, 356.0, 888.0, 36.0], shoonya_4sKK57UM42YC4Z, 5680571]
[paragraph, [102.0, 392.0, 888.0, 36.0], shoonya_4sKK57UM42YC4Z, 5680571]
[paragraph, [102.0, 428.0, 888.0, 36.0], shoonya_4sKK57UM42YC4Z, 5680571]
[paragraph, [102.0, 464.0, 888.0, 36.0], shoonya_4sKK57UM42YC4Z, 5680571]
[paragraph, [102.0, 500.0, 888.0, 36.0], shoonya_4sKK57UM42YC4Z, 5680571]
[paragraph, [102.0, 536.0, 888.0, 36.0], shoonya_4sKK57UM42YC4Z, 5680571]
[paragraph, [102.0, 572.0, 888.0, 36.0], shoonya_4sKK57UM42YC4Z, 5680571]
[paragraph, [102.0, 608.0, 888.0, 36.0], shoonya_4sKK57UM42YC4Z, 5680571]
[paragraph, [102.0, 644.0, 888.0, 36.0], shoonya_4sKK57UM42YC4Z, 5680571]
[paragraph, [102.0, 680.0, 888.0, 36.0], shoonya_4sKK57UM42YC4Z, 5680571]
[paragraph, [102.0, 716.0, 888.0, 36.0], shoonya_4sKK57UM42YC4Z, 5680571]
[paragraph, [102.0, 752.0, 888.0, 36.0], shoonya_4sKK57UM42YC4Z, 5680571]
[paragraph, [102.0, 788.0, 888.0, 36.0], shoonya_4sKK57UM42YC4Z, 5680571]
[paragraph, [102.0, 824.0, 888.0, 36.0], shoonya_4sKK57UM42YC4Z, 5680571]
[paragraph, [102.0, 860.0, 888.0, 36.0], shoonya_4sKK57UM42YC4Z, 5680571]
[paragraph, [105.0, 904.0, 878.0, 36.0], shoonya_1sSBG3W07BRZ79, 5680571]
[paragraph, [105.0, 940.0, 878.0, 36.0], shoonya_1sSBG3W07BRZ79, 5680571]
[paragraph, [105.0, 976.0, 878.0, 36.0], shoonya_1sSBG3W07BRZ79, 5680571]
[paragraph, [105.0, 1012.0, 878.0, 36.0], shoonya_1sSBG3W07BRZ79, 5680571]
[paragraph, [105.0, 1048.0, 878.0, 36.0], shoonya_1sSBG3W07BRZ79, 5680571]
[paragraph, [105.0, 1084.0, 878.0, 36.0], shoonya_1sSBG3W07BRZ79, 5680571]
[paragraph, [105.0, 1120.0, 878.0, 36.0], shoonya_1sSBG3W07BRZ79, 5680571]
[paragraph, [105.0, 1172.0, 878.0, 36.0], shoonya_0sNWY4PHJP5UXT, 5680571]
[paragraph, [105.0, 1208.0, 878.0, 36.0], shoonya_0sNWY4PHJP5UXT, 5680571]
[paragraph, [105.0, 1244.0, 878.0, 36.0], shoonya_0sNWY4PHJP5UXT, 5680571]
[paragraph, [105.0, 1280.0, 878.0, 36.0], shoonya_0sNWY4PHJP5UXT, 5680571]
[paragraph, [105.0, 1316.0, 878.0, 36.0], shoonya_0sNWY4PHJP5UXT, 5680571]
[paragraph, [105.0, 1352.0, 878.0, 36.0], shoonya_0sNWY4PHJP5UXT, 5680571]
[paragraph, [105.0, 1388.0, 878.0, 36.0], shoonya_0sNWY4PHJP5UXT, 5680571]
[paragraph, [103.0, 1437.0, 883.0, 36.0], shoonya_3sR2IBF9QGGWWG, 5680571]
[paragraph, [103.0, 1473.0, 883.0, 36.0], shoonya_3sR2IBF9QGGWWG, 5680571]
[paragraph, [103.0, 1509.0, 883.0, 36.0], shoonya_3sR2IBF9QGGWWG, 5680571]
[folio, [472.0, 1588.0, 160.0, 36.0], shoonya_5sD60RC98U7DPQ, 5680571]
