[842, 596]
[paragraph, [111.0, 56.0, 266.0, 18.0], nwzb6gCOeX, 5658178]
[ordered-list, [75.0, 186.0, 451.0, 18.0], shoonya_0s4IRFV9VVFO70, 5658178]
[ordered-list, [75.0, 204.0, 451.0, 18.0], shoonya_0s4IRFV9VVFO70, 5658178]
[ordered-list, [75.0, 222.0, 451.0, 18.0], shoonya_0s4IRFV9VVFO70, 5658178]
[ordered-list, [75.0, 240.0, 451.0, 18.0], shoonya_0s4IRFV9VVFO70, 5658178]
[ordered-list, [75.0, 258.0, 451.0, 18.0], shoonya_0s4IRFV9VVFO70, 5658178]
[ordered-list, [75.0, 276.0, 451.0, 18.0], shoonya_0s4IRFV9VVFO70, 5658178]
[ordered-list, [75.0, 294.0, 451.0, 18.0], shoonya_0s4IRFV9VVFO70, 5658178]
[ordered-list, [75.0, 312.0, 451.0, 18.0], shoonya_0s4IRFV9VVFO70, 5658178]
[ordered-list, [75.0, 330.0, 451.0, 18.0], shoonya_0s4IRFV9VVFO70, 5658178]
[ordered-list, [75.0, 348.0, 451.0, 18.0], shoonya_0s4IRFV9VVFO70, 5658178]
[ordered-list, [75.0, 366.0, 451.0, 18.0], shoonya_0s4IRFV9VVFO70, 5658178]
[ordered-list, [75.0, 384.0, 451.0, 18.0], shoonya_0s4IRFV9VVFO70, 5658178]
[ordered-list, [75.0, 402.0, 451.0, 18.0], shoonya_0s4IRFV9VVFO70, 5658178]
[ordered-list, [75.0, 420.0, 451.0, 18.0], shoonya_0s4IRFV9VVFO70, 5658178]
[ordered-list, [75.0, 438.0, 451.0, 18.0], shoonya_0s4IRFV9VVFO70, 5658178]
[ordered-list, [75.0, 456.0, 451.0, 18.0], shoonya_0s4IRFV9VVFO70, 5658178]
[ordered-list, [75.0, 474.0, 451.0, 18.0], shoonya_0s4IRFV9VVFO70, 5658178]
[ordered-list, [75.0, 492.0, 451.0, 18.0], shoonya_0s4IRFV9VVFO70, 5658178]
[ordered-list, [75.0, 510.0, 451.0, 18.0], shoonya_0s4IRFV9VVFO70, 5658178]
[ordered-list, [75.0, 528.0, 451.0, 18.0], shoonya_0s4IRFV9VVFO70, 5658178]
[ordered-list, [75.0, 546.0, 451.0, 18.0], shoonya_0s4IRFV9VVFO70, 5658178]
[ordered-list, [75.0, 564.0, 451.0, 18.0], shoonya_0s4IRFV9VVFO70, 5658178]
[ordered-list, [75.0, 582.0, 451.0, 18.0], shoonya_0s4IRFV9VVFO70, 5658178]
[ordered-list, [75.0, 600.0, 451.0, 18.0], shoonya_0s4IRFV9VVFO70, 5658178]
[ordered-list, [75.0, 618.0, 451.0, 18.0], shoonya_0s4IRFV9VVFO70, 5658178]
[ordered-list, [75.0, 636.0, 451.0, 18.0], shoonya_0s4IRFV9VVFO70, 5658178]
[ordered-list, [75.0, 654.0, 451.0, 18.0], shoonya_0s4IRFV9VVFO70, 5658178]
[ordered-list, [75.0, 672.0, 451.0, 18.0], shoonya_0s4IRFV9VVFO70, 5658178]
[ordered-list, [75.0, 690.0, 451.0, 18.0], shoonya_0s4IRFV9VVFO70, 5658178]
[ordered-list, [75.0, 708.0, 451.0, 18.0], shoonya_0s4IRFV9VVFO70, 5658178]
[footnote, [81.0, 777.0, 464.0, 18.0], HLem4wfNSf, 5658178]
