[1650, 1275]
[chapter-title, [291.0, 259.0, 455.0, 58.5], AceRmYvurA, 6469398]
[author, [709.0, 351.0, 233.0, 36.0], l_QNtEwmxj, 6469398]
[paragraph, [79.0, 488.0, 863.0, 36.0], shoonya_0s94HVNYB19QW2, 6469398]
[paragraph, [79.0, 524.0, 863.0, 36.0], shoonya_0s94HVNYB19QW2, 6469398]
[paragraph, [79.0, 560.0, 863.0, 36.0], shoonya_0s94HVNYB19QW2, 6469398]
[paragraph, [79.0, 596.0, 863.0, 36.0], shoonya_0s94HVNYB19QW2, 6469398]
[paragraph, [79.0, 632.0, 863.0, 36.0], shoonya_0s94HVNYB19QW2, 6469398]
[paragraph, [76.0, 694.0, 869.0, 36.0], B7CpBoare1, 6469398]
[paragraph, [76.0, 730.0, 869.0, 36.0], B7CpBoare1, 6469398]
[paragraph, [76.0, 766.0, 869.0, 36.0], B7CpBoare1, 6469398]
[paragraph, [76.0, 802.0, 869.0, 36.0], B7CpBoare1, 6469398]
[paragraph, [76.0, 838.0, 869.0, 36.0], B7CpBoare1, 6469398]
[paragraph, [154.0, 901.0, 784.0, 36.0], Wh45ow4uHa, 6469398]
[paragraph, [152.0, 952.0, 549.0, 36.0], BadzQQKST-, 6469398]
[paragraph, [71.0, 1008.0, 867.0, 36.0], lZu0PTOQI7, 6469398]
[paragraph, [71.0, 1044.0, 867.0, 36.0], lZu0PTOQI7, 6469398]
[paragraph, [70.0, 1106.0, 869.0, 36.0], Cl-vQr8hMW, 6469398]
[paragraph, [70.0, 1142.0, 869.0, 36.0], Cl-vQr8hMW, 6469398]
[paragraph, [71.0, 1205.0, 870.0, 36.0], dKQTGbUepH, 6469398]
[paragraph, [71.0, 1241.0, 870.0, 36.0], dKQTGbUepH, 6469398]
[paragraph, [71.0, 1277.0, 870.0, 36.0], dKQTGbUepH, 6469398]
[paragraph, [71.0, 1313.0, 870.0, 36.0], dKQTGbUepH, 6469398]
[paragraph, [71.0, 1358.0, 873.0, 36.0], SFWzbvkrVd, 6469398]
[paragraph, [71.0, 1394.0, 873.0, 36.0], SFWzbvkrVd, 6469398]
[paragraph, [71.0, 1430.0, 873.0, 36.0], SFWzbvkrVd, 6469398]
