[1200, 825]
[paragraph, [144.0, 107.0, 539.0, 18.0], shoonya_1s88QC2G566AED, 5691048]
[paragraph, [144.0, 125.0, 539.0, 18.0], shoonya_1s88QC2G566AED, 5691048]
[paragraph, [144.0, 143.0, 539.0, 18.0], shoonya_1s88QC2G566AED, 5691048]
[paragraph, [140.0, 172.0, 543.0, 18.0], shoonya_3sLQ91A1CQ3L9I, 5691048]
[paragraph, [140.0, 190.0, 543.0, 18.0], shoonya_3sLQ91A1CQ3L9I, 5691048]
[paragraph, [140.0, 208.0, 543.0, 18.0], shoonya_3sLQ91A1CQ3L9I, 5691048]
[paragraph, [140.0, 226.0, 543.0, 18.0], shoonya_3sLQ91A1CQ3L9I, 5691048]
[paragraph, [140.0, 244.0, 543.0, 18.0], shoonya_3sLQ91A1CQ3L9I, 5691048]
[paragraph, [140.0, 262.0, 543.0, 18.0], shoonya_3sLQ91A1CQ3L9I, 5691048]
[paragraph, [140.0, 280.0, 543.0, 18.0], shoonya_3sLQ91A1CQ3L9I, 5691048]
[paragraph, [140.0, 298.0, 543.0, 18.0], shoonya_3sLQ91A1CQ3L9I, 5691048]
[paragraph, [140.0, 323.0, 545.0, 18.0], shoonya_2sFAC5DTHUP62G, 5691048]
[paragraph, [140.0, 341.0, 545.0, 18.0], shoonya_2sFAC5DTHUP62G, 5691048]
[paragraph, [140.0, 359.0, 545.0, 18.0], shoonya_2sFAC5DTHUP62G, 5691048]
[paragraph, [140.0, 377.0, 545.0, 18.0], shoonya_2sFAC5DTHUP62G, 5691048]
[paragraph, [140.0, 395.0, 545.0, 18.0], shoonya_2sFAC5DTHUP62G, 5691048]
[paragraph, [140.0, 413.0, 545.0, 18.0], shoonya_2sFAC5DTHUP62G, 5691048]
[paragraph, [140.0, 431.0, 545.0, 18.0], shoonya_2sFAC5DTHUP62G, 5691048]
[paragraph, [140.0, 449.0, 545.0, 18.0], shoonya_2sFAC5DTHUP62G, 5691048]
[paragraph, [140.0, 467.0, 545.0, 18.0], shoonya_2sFAC5DTHUP62G, 5691048]
[paragraph, [140.0, 485.0, 545.0, 18.0], shoonya_2sFAC5DTHUP62G, 5691048]
[paragraph, [140.0, 503.0, 545.0, 18.0], shoonya_2sFAC5DTHUP62G, 5691048]
[paragraph, [140.0, 521.0, 545.0, 18.0], shoonya_2sFAC5DTHUP62G, 5691048]
[paragraph, [140.0, 539.0, 545.0, 18.0], shoonya_2sFAC5DTHUP62G, 5691048]
[paragraph, [140.0, 557.0, 545.0, 18.0], shoonya_2sFAC5DTHUP62G, 5691048]
[paragraph, [140.0, 575.0, 545.0, 18.0], shoonya_2sFAC5DTHUP62G, 5691048]
[paragraph, [138.0, 601.0, 550.0, 18.0], shoonya_5sHIVIXZ459CYE, 5691048]
[paragraph, [138.0, 619.0, 550.0, 18.0], shoonya_5sHIVIXZ459CYE, 5691048]
[paragraph, [138.0, 637.0, 550.0, 18.0], shoonya_5sHIVIXZ459CYE, 5691048]
[paragraph, [138.0, 661.0, 549.0, 18.0], shoonya_0s58C2OKR63DEK, 5691048]
[paragraph, [138.0, 679.0, 549.0, 18.0], shoonya_0s58C2OKR63DEK, 5691048]
[paragraph, [138.0, 697.0, 549.0, 18.0], shoonya_0s58C2OKR63DEK, 5691048]
[paragraph, [138.0, 715.0, 549.0, 18.0], shoonya_0s58C2OKR63DEK, 5691048]
[paragraph, [138.0, 733.0, 549.0, 18.0], shoonya_0s58C2OKR63DEK, 5691048]
[paragraph, [138.0, 751.0, 549.0, 18.0], shoonya_0s58C2OKR63DEK, 5691048]
[paragraph, [138.0, 769.0, 549.0, 18.0], shoonya_0s58C2OKR63DEK, 5691048]
[paragraph, [138.0, 787.0, 549.0, 18.0], shoonya_0s58C2OKR63DEK, 5691048]
[paragraph, [138.0, 805.0, 549.0, 18.0], shoonya_0s58C2OKR63DEK, 5691048]
[paragraph, [138.0, 823.0, 549.0, 18.0], shoonya_0s58C2OKR63DEK, 5691048]
[paragraph, [138.0, 841.0, 549.0, 18.0], shoonya_0s58C2OKR63DEK, 5691048]
[paragraph, [138.0, 859.0, 549.0, 18.0], shoonya_0s58C2OKR63DEK, 5691048]
[paragraph, [138.0, 877.0, 549.0, 18.0], shoonya_0s58C2OKR63DEK, 5691048]
[paragraph, [138.0, 895.0, 549.0, 18.0], shoonya_0s58C2OKR63DEK, 5691048]
[paragraph, [138.0, 913.0, 549.0, 18.0], shoonya_0s58C2OKR63DEK, 5691048]
[paragraph, [138.0, 931.0, 549.0, 18.0], shoonya_0s58C2OKR63DEK, 5691048]
[paragraph, [138.0, 949.0, 549.0, 18.0], shoonya_0s58C2OKR63DEK, 5691048]
[paragraph, [138.0, 967.0, 549.0, 18.0], shoonya_0s58C2OKR63DEK, 5691048]
[paragraph, [138.0, 985.0, 549.0, 18.0], shoonya_0s58C2OKR63DEK, 5691048]
[paragraph, [138.0, 1003.0, 549.0, 18.0], shoonya_0s58C2OKR63DEK, 5691048]
[paragraph, [138.0, 1021.0, 549.0, 18.0], shoonya_0s58C2OKR63DEK, 5691048]
[paragraph, [138.0, 1039.0, 549.0, 18.0], shoonya_0s58C2OKR63DEK, 5691048]
