[1447, 1063]
[folio, [437.0, 53.0, 213.0, 18.0], Z4CMExZs-g, 5762584]
[headline, [269.0, 191.0, 490.0, 25.5], shoonya_3sCQJZ9PEMPK25, 5762584]
[headline, [269.0, 216.5, 490.0, 25.5], shoonya_3sCQJZ9PEMPK25, 5762584]
[headline, [269.0, 242.0, 490.0, 25.5], shoonya_3sCQJZ9PEMPK25, 5762584]
[headline, [269.0, 267.5, 490.0, 25.5], shoonya_3sCQJZ9PEMPK25, 5762584]
[headline, [269.0, 293.0, 490.0, 25.5], shoonya_3sCQJZ9PEMPK25, 5762584]
[headline, [269.0, 318.5, 490.0, 25.5], shoonya_3sCQJZ9PEMPK25, 5762584]
[headline, [269.0, 344.0, 490.0, 25.5], shoonya_3sCQJZ9PEMPK25, 5762584]
[section-title, [301.0, 406.0, 427.0, 30.0], rCtjNoPqDO, 5762584]
[section-title, [301.0, 436.0, 427.0, 30.0], rCtjNoPqDO, 5762584]
[section-title, [301.0, 466.0, 427.0, 30.0], rCtjNoPqDO, 5762584]
[paragraph, [93.0, 667.0, 434.0, 18.0], TcqnNXnZwa, 5762584]
[paragraph, [93.0, 685.0, 434.0, 18.0], TcqnNXnZwa, 5762584]
[paragraph, [93.0, 703.0, 434.0, 18.0], TcqnNXnZwa, 5762584]
[paragraph, [93.0, 721.0, 434.0, 18.0], TcqnNXnZwa, 5762584]
[paragraph, [93.0, 739.0, 434.0, 18.0], TcqnNXnZwa, 5762584]
[paragraph, [93.0, 757.0, 434.0, 18.0], TcqnNXnZwa, 5762584]
[unordered-list, [538.0, 667.0, 433.0, 18.0], xjAZJgw3LS, 5762584]
[unordered-list, [538.0, 685.0, 433.0, 18.0], xjAZJgw3LS, 5762584]
[unordered-list, [538.0, 703.0, 433.0, 18.0], xjAZJgw3LS, 5762584]
[unordered-list, [538.0, 721.0, 433.0, 18.0], xjAZJgw3LS, 5762584]
[unordered-list, [538.0, 739.0, 433.0, 18.0], xjAZJgw3LS, 5762584]
[unordered-list, [538.0, 757.0, 433.0, 18.0], xjAZJgw3LS, 5762584]
[unordered-list, [538.0, 775.0, 433.0, 18.0], xjAZJgw3LS, 5762584]
[unordered-list, [538.0, 793.0, 433.0, 18.0], xjAZJgw3LS, 5762584]
[unordered-list, [538.0, 811.0, 433.0, 18.0], xjAZJgw3LS, 5762584]
[unordered-list, [538.0, 829.0, 433.0, 18.0], xjAZJgw3LS, 5762584]
[unordered-list, [538.0, 847.0, 433.0, 18.0], xjAZJgw3LS, 5762584]
[unordered-list, [538.0, 865.0, 433.0, 18.0], xjAZJgw3LS, 5762584]
[unordered-list, [538.0, 883.0, 433.0, 18.0], xjAZJgw3LS, 5762584]
[unordered-list, [538.0, 901.0, 433.0, 18.0], xjAZJgw3LS, 5762584]
[unordered-list, [538.0, 919.0, 433.0, 18.0], xjAZJgw3LS, 5762584]
[unordered-list, [538.0, 937.0, 433.0, 18.0], xjAZJgw3LS, 5762584]
[unordered-list, [89.0, 798.0, 440.0, 18.0], shoonya_1sFEGVKEXJ6QHL, 5762584]
[unordered-list, [89.0, 816.0, 440.0, 18.0], shoonya_1sFEGVKEXJ6QHL, 5762584]
[unordered-list, [89.0, 834.0, 440.0, 18.0], shoonya_1sFEGVKEXJ6QHL, 5762584]
[unordered-list, [89.0, 852.0, 440.0, 18.0], shoonya_1sFEGVKEXJ6QHL, 5762584]
[unordered-list, [89.0, 870.0, 440.0, 18.0], shoonya_1sFEGVKEXJ6QHL, 5762584]
[unordered-list, [89.0, 888.0, 440.0, 18.0], shoonya_1sFEGVKEXJ6QHL, 5762584]
[unordered-list, [89.0, 906.0, 440.0, 18.0], shoonya_1sFEGVKEXJ6QHL, 5762584]
[unordered-list, [89.0, 924.0, 440.0, 18.0], shoonya_1sFEGVKEXJ6QHL, 5762584]
[unordered-list, [89.0, 942.0, 440.0, 18.0], shoonya_1sFEGVKEXJ6QHL, 5762584]
[unordered-list, [89.0, 960.0, 440.0, 18.0], shoonya_1sFEGVKEXJ6QHL, 5762584]
[unordered-list, [89.0, 978.0, 440.0, 18.0], shoonya_1sFEGVKEXJ6QHL, 5762584]
[unordered-list, [89.0, 996.0, 440.0, 18.0], shoonya_1sFEGVKEXJ6QHL, 5762584]
[unordered-list, [89.0, 1014.0, 440.0, 18.0], shoonya_1sFEGVKEXJ6QHL, 5762584]
[unordered-list, [89.0, 1032.0, 440.0, 18.0], shoonya_1sFEGVKEXJ6QHL, 5762584]
[unordered-list, [89.0, 1050.0, 440.0, 18.0], shoonya_1sFEGVKEXJ6QHL, 5762584]
[unordered-list, [89.0, 1068.0, 440.0, 18.0], shoonya_1sFEGVKEXJ6QHL, 5762584]
[unordered-list, [89.0, 1086.0, 440.0, 18.0], shoonya_1sFEGVKEXJ6QHL, 5762584]
[unordered-list, [89.0, 1104.0, 440.0, 18.0], shoonya_1sFEGVKEXJ6QHL, 5762584]
[unordered-list, [89.0, 1122.0, 440.0, 18.0], shoonya_1sFEGVKEXJ6QHL, 5762584]
[unordered-list, [89.0, 1140.0, 440.0, 18.0], shoonya_1sFEGVKEXJ6QHL, 5762584]
[unordered-list, [89.0, 1158.0, 440.0, 18.0], shoonya_1sFEGVKEXJ6QHL, 5762584]
[unordered-list, [89.0, 1176.0, 440.0, 18.0], shoonya_1sFEGVKEXJ6QHL, 5762584]
[unordered-list, [89.0, 1194.0, 440.0, 18.0], shoonya_1sFEGVKEXJ6QHL, 5762584]
[unordered-list, [89.0, 1212.0, 440.0, 18.0], shoonya_1sFEGVKEXJ6QHL, 5762584]
[unordered-list, [89.0, 1230.0, 440.0, 18.0], shoonya_1sFEGVKEXJ6QHL, 5762584]
[unordered-list, [89.0, 1248.0, 440.0, 18.0], shoonya_1sFEGVKEXJ6QHL, 5762584]
[unordered-list, [89.0, 1266.0, 440.0, 18.0], shoonya_1sFEGVKEXJ6QHL, 5762584]
[unordered-list, [89.0, 1284.0, 440.0, 18.0], shoonya_1sFEGVKEXJ6QHL, 5762584]
[unordered-list, [89.0, 1302.0, 440.0, 18.0], shoonya_1sFEGVKEXJ6QHL, 5762584]
[unordered-list, [89.0, 1320.0, 440.0, 18.0], shoonya_1sFEGVKEXJ6QHL, 5762584]
[unordered-list, [531.0, 976.0, 441.0, 18.0], RcRsu4bxNO, 5762584]
[unordered-list, [531.0, 994.0, 441.0, 18.0], RcRsu4bxNO, 5762584]
[unordered-list, [531.0, 1012.0, 441.0, 18.0], RcRsu4bxNO, 5762584]
[unordered-list, [531.0, 1030.0, 441.0, 18.0], RcRsu4bxNO, 5762584]
[unordered-list, [531.0, 1048.0, 441.0, 18.0], RcRsu4bxNO, 5762584]
[unordered-list, [531.0, 1066.0, 441.0, 18.0], RcRsu4bxNO, 5762584]
[unordered-list, [531.0, 1084.0, 441.0, 18.0], RcRsu4bxNO, 5762584]
[unordered-list, [531.0, 1102.0, 441.0, 18.0], RcRsu4bxNO, 5762584]
[unordered-list, [531.0, 1120.0, 441.0, 18.0], RcRsu4bxNO, 5762584]
[unordered-list, [531.0, 1138.0, 441.0, 18.0], RcRsu4bxNO, 5762584]
[unordered-list, [531.0, 1156.0, 441.0, 18.0], RcRsu4bxNO, 5762584]
[unordered-list, [531.0, 1174.0, 441.0, 18.0], RcRsu4bxNO, 5762584]
[unordered-list, [531.0, 1192.0, 441.0, 18.0], RcRsu4bxNO, 5762584]
[unordered-list, [531.0, 1210.0, 441.0, 18.0], RcRsu4bxNO, 5762584]
[unordered-list, [531.0, 1228.0, 441.0, 18.0], RcRsu4bxNO, 5762584]
[unordered-list, [531.0, 1246.0, 441.0, 18.0], RcRsu4bxNO, 5762584]
[unordered-list, [531.0, 1264.0, 441.0, 18.0], RcRsu4bxNO, 5762584]
[unordered-list, [531.0, 1282.0, 441.0, 18.0], RcRsu4bxNO, 5762584]
[unordered-list, [531.0, 1300.0, 441.0, 18.0], RcRsu4bxNO, 5762584]
[unordered-list, [531.0, 1318.0, 441.0, 18.0], RcRsu4bxNO, 5762584]
