[2717, 1772]
[folio, [689.0, 231.0, 419.0, 46.5], shoonya_2sR2KS2BWQ4FTO, 5721868]
[paragraph, [221.0, 350.0, 1336.0, 46.5], shoonya_0sCLEGFSGE7LCQ, 5721868]
[paragraph, [221.0, 396.5, 1336.0, 46.5], shoonya_0sCLEGFSGE7LCQ, 5721868]
[paragraph, [221.0, 443.0, 1336.0, 46.5], shoonya_0sCLEGFSGE7LCQ, 5721868]
[paragraph, [221.0, 489.5, 1336.0, 46.5], shoonya_0sCLEGFSGE7LCQ, 5721868]
[paragraph, [221.0, 536.0, 1336.0, 46.5], shoonya_0sCLEGFSGE7LCQ, 5721868]
[paragraph, [214.0, 603.0, 1348.0, 46.5], shoonya_1sTRNJZBUBWI31, 5721868]
[paragraph, [214.0, 649.5, 1348.0, 46.5], shoonya_1sTRNJZBUBWI31, 5721868]
[paragraph, [214.0, 696.0, 1348.0, 46.5], shoonya_1sTRNJZBUBWI31, 5721868]
[paragraph, [214.0, 742.5, 1348.0, 46.5], shoonya_1sTRNJZBUBWI31, 5721868]
[paragraph, [214.0, 789.0, 1348.0, 46.5], shoonya_1sTRNJZBUBWI31, 5721868]
[paragraph, [216.0, 884.0, 1341.0, 46.5], shoonya_4sX920GN6XWXPC, 5721868]
[paragraph, [216.0, 930.5, 1341.0, 46.5], shoonya_4sX920GN6XWXPC, 5721868]
[paragraph, [216.0, 977.0, 1341.0, 46.5], shoonya_4sX920GN6XWXPC, 5721868]
[paragraph, [216.0, 1023.5, 1341.0, 46.5], shoonya_4sX920GN6XWXPC, 5721868]
[paragraph, [216.0, 1070.0, 1341.0, 46.5], shoonya_4sX920GN6XWXPC, 5721868]
[paragraph, [216.0, 1116.5, 1341.0, 46.5], shoonya_4sX920GN6XWXPC, 5721868]
[paragraph, [216.0, 1163.0, 1341.0, 46.5], shoonya_4sX920GN6XWXPC, 5721868]
[paragraph, [216.0, 1209.5, 1341.0, 46.5], shoonya_4sX920GN6XWXPC, 5721868]
[paragraph, [216.0, 1256.0, 1341.0, 46.5], shoonya_4sX920GN6XWXPC, 5721868]
[paragraph, [216.0, 1302.5, 1341.0, 46.5], shoonya_4sX920GN6XWXPC, 5721868]
[paragraph, [219.0, 1395.0, 1342.0, 46.5], 6j0eGJ8l6F, 5721868]
[paragraph, [219.0, 1441.5, 1342.0, 46.5], 6j0eGJ8l6F, 5721868]
[paragraph, [219.0, 1488.0, 1342.0, 46.5], 6j0eGJ8l6F, 5721868]
[paragraph, [219.0, 1534.5, 1342.0, 46.5], 6j0eGJ8l6F, 5721868]
[paragraph, [219.0, 1581.0, 1342.0, 46.5], 6j0eGJ8l6F, 5721868]
[paragraph, [219.0, 1627.5, 1342.0, 46.5], 6j0eGJ8l6F, 5721868]
[paragraph, [219.0, 1674.0, 1342.0, 46.5], 6j0eGJ8l6F, 5721868]
[paragraph, [219.0, 1720.5, 1342.0, 46.5], 6j0eGJ8l6F, 5721868]
[paragraph, [219.0, 1767.0, 1342.0, 46.5], 6j0eGJ8l6F, 5721868]
[paragraph, [219.0, 1813.5, 1342.0, 46.5], 6j0eGJ8l6F, 5721868]
[paragraph, [219.0, 1860.0, 1342.0, 46.5], 6j0eGJ8l6F, 5721868]
[paragraph, [219.0, 1906.5, 1342.0, 46.5], 6j0eGJ8l6F, 5721868]
[paragraph, [219.0, 1953.0, 1342.0, 46.5], 6j0eGJ8l6F, 5721868]
[paragraph, [219.0, 1999.5, 1342.0, 46.5], 6j0eGJ8l6F, 5721868]
[paragraph, [219.0, 2046.0, 1342.0, 46.5], 6j0eGJ8l6F, 5721868]
[paragraph, [219.0, 2092.5, 1342.0, 46.5], 6j0eGJ8l6F, 5721868]
[paragraph, [219.0, 2139.0, 1342.0, 46.5], 6j0eGJ8l6F, 5721868]
[paragraph, [219.0, 2185.5, 1342.0, 46.5], 6j0eGJ8l6F, 5721868]
[paragraph, [219.0, 2232.0, 1342.0, 46.5], 6j0eGJ8l6F, 5721868]
[paragraph, [222.0, 2293.0, 1338.0, 46.5], shoonya_3sL2G38KGDRRB7, 5721868]
[paragraph, [222.0, 2339.5, 1338.0, 46.5], shoonya_3sL2G38KGDRRB7, 5721868]
[paragraph, [222.0, 2386.0, 1338.0, 46.5], shoonya_3sL2G38KGDRRB7, 5721868]
[paragraph, [222.0, 2432.5, 1338.0, 46.5], shoonya_3sL2G38KGDRRB7, 5721868]
