[2339, 1653]
[paragraph, [288.0, 244.0, 1129.0, 36.0], shoonya_2sGWPT9F2OXMST, 5687487]
[paragraph, [288.0, 280.0, 1129.0, 36.0], shoonya_2sGWPT9F2OXMST, 5687487]
[paragraph, [288.0, 316.0, 1129.0, 36.0], shoonya_2sGWPT9F2OXMST, 5687487]
[paragraph, [288.0, 352.0, 1129.0, 36.0], shoonya_2sGWPT9F2OXMST, 5687487]
[paragraph, [288.0, 388.0, 1129.0, 36.0], shoonya_2sGWPT9F2OXMST, 5687487]
[paragraph, [288.0, 424.0, 1129.0, 36.0], shoonya_2sGWPT9F2OXMST, 5687487]
[paragraph, [288.0, 460.0, 1129.0, 36.0], shoonya_2sGWPT9F2OXMST, 5687487]
[paragraph, [288.0, 496.0, 1129.0, 36.0], shoonya_2sGWPT9F2OXMST, 5687487]
[paragraph, [288.0, 532.0, 1129.0, 36.0], shoonya_2sGWPT9F2OXMST, 5687487]
[paragraph, [288.0, 568.0, 1129.0, 36.0], shoonya_2sGWPT9F2OXMST, 5687487]
[paragraph, [288.0, 604.0, 1129.0, 36.0], shoonya_2sGWPT9F2OXMST, 5687487]
[paragraph, [288.0, 640.0, 1129.0, 36.0], shoonya_2sGWPT9F2OXMST, 5687487]
[paragraph, [288.0, 676.0, 1129.0, 36.0], shoonya_2sGWPT9F2OXMST, 5687487]
[paragraph, [288.0, 712.0, 1129.0, 36.0], shoonya_2sGWPT9F2OXMST, 5687487]
[paragraph, [288.0, 748.0, 1129.0, 36.0], shoonya_2sGWPT9F2OXMST, 5687487]
[paragraph, [288.0, 784.0, 1129.0, 36.0], shoonya_2sGWPT9F2OXMST, 5687487]
[paragraph, [288.0, 820.0, 1129.0, 36.0], shoonya_2sGWPT9F2OXMST, 5687487]
[paragraph, [288.0, 856.0, 1129.0, 36.0], shoonya_2sGWPT9F2OXMST, 5687487]
[paragraph, [288.0, 892.0, 1129.0, 36.0], shoonya_2sGWPT9F2OXMST, 5687487]
[paragraph, [288.0, 928.0, 1129.0, 36.0], shoonya_2sGWPT9F2OXMST, 5687487]
[paragraph, [288.0, 964.0, 1129.0, 36.0], shoonya_2sGWPT9F2OXMST, 5687487]
[paragraph, [288.0, 1000.0, 1129.0, 36.0], shoonya_2sGWPT9F2OXMST, 5687487]
[paragraph, [289.0, 1078.0, 1133.0, 36.0], shoonya_0sDC628P8C4JZU, 5687487]
[paragraph, [289.0, 1114.0, 1133.0, 36.0], shoonya_0sDC628P8C4JZU, 5687487]
[paragraph, [289.0, 1150.0, 1133.0, 36.0], shoonya_0sDC628P8C4JZU, 5687487]
[paragraph, [289.0, 1186.0, 1133.0, 36.0], shoonya_0sDC628P8C4JZU, 5687487]
[paragraph, [289.0, 1222.0, 1133.0, 36.0], shoonya_0sDC628P8C4JZU, 5687487]
[paragraph, [289.0, 1258.0, 1133.0, 36.0], shoonya_0sDC628P8C4JZU, 5687487]
[paragraph, [289.0, 1294.0, 1133.0, 36.0], shoonya_0sDC628P8C4JZU, 5687487]
[paragraph, [289.0, 1330.0, 1133.0, 36.0], shoonya_0sDC628P8C4JZU, 5687487]
[paragraph, [289.0, 1366.0, 1133.0, 36.0], shoonya_0sDC628P8C4JZU, 5687487]
[paragraph, [289.0, 1402.0, 1133.0, 36.0], shoonya_0sDC628P8C4JZU, 5687487]
[paragraph, [289.0, 1438.0, 1133.0, 36.0], shoonya_0sDC628P8C4JZU, 5687487]
[paragraph, [289.0, 1494.0, 1130.0, 36.0], shoonya_1s6JEUT81YA4WO, 5687487]
[paragraph, [289.0, 1530.0, 1130.0, 36.0], shoonya_1s6JEUT81YA4WO, 5687487]
[paragraph, [289.0, 1566.0, 1130.0, 36.0], shoonya_1s6JEUT81YA4WO, 5687487]
[paragraph, [289.0, 1602.0, 1130.0, 36.0], shoonya_1s6JEUT81YA4WO, 5687487]
[paragraph, [289.0, 1638.0, 1130.0, 36.0], shoonya_1s6JEUT81YA4WO, 5687487]
[paragraph, [289.0, 1674.0, 1130.0, 36.0], shoonya_1s6JEUT81YA4WO, 5687487]
[paragraph, [289.0, 1710.0, 1130.0, 36.0], shoonya_1s6JEUT81YA4WO, 5687487]
[paragraph, [289.0, 1746.0, 1130.0, 36.0], shoonya_1s6JEUT81YA4WO, 5687487]
[paragraph, [289.0, 1782.0, 1130.0, 36.0], shoonya_1s6JEUT81YA4WO, 5687487]
[paragraph, [289.0, 1818.0, 1130.0, 36.0], shoonya_1s6JEUT81YA4WO, 5687487]
[paragraph, [289.0, 1854.0, 1130.0, 36.0], shoonya_1s6JEUT81YA4WO, 5687487]
[paragraph, [289.0, 1890.0, 1130.0, 36.0], shoonya_1s6JEUT81YA4WO, 5687487]
[paragraph, [289.0, 1926.0, 1130.0, 36.0], shoonya_1s6JEUT81YA4WO, 5687487]
[paragraph, [289.0, 1962.0, 1130.0, 36.0], shoonya_1s6JEUT81YA4WO, 5687487]
[paragraph, [289.0, 1998.0, 1130.0, 36.0], shoonya_1s6JEUT81YA4WO, 5687487]
[paragraph, [289.0, 2034.0, 1130.0, 36.0], shoonya_1s6JEUT81YA4WO, 5687487]
[paragraph, [289.0, 2070.0, 1130.0, 36.0], shoonya_1s6JEUT81YA4WO, 5687487]
