[1754, 1241]
[section-title, [411.0, 86.0, 476.0, 49.5], hgAaOrEgpM, 5780870]
[sidebar, [505.0, 153.0, 308.0, 36.0], HU_bzYLbnR, 5780870]
[ordered-list, [155.0, 210.0, 1062.0, 36.0], TPFC2AT0_Q, 5780870]
[ordered-list, [155.0, 246.0, 1062.0, 36.0], TPFC2AT0_Q, 5780870]
[ordered-list, [155.0, 282.0, 1062.0, 36.0], TPFC2AT0_Q, 5780870]
[ordered-list, [155.0, 318.0, 1062.0, 36.0], TPFC2AT0_Q, 5780870]
[ordered-list, [155.0, 354.0, 1062.0, 36.0], TPFC2AT0_Q, 5780870]
[ordered-list, [155.0, 390.0, 1062.0, 36.0], TPFC2AT0_Q, 5780870]
[ordered-list, [155.0, 426.0, 1062.0, 36.0], TPFC2AT0_Q, 5780870]
[ordered-list, [155.0, 462.0, 1062.0, 36.0], TPFC2AT0_Q, 5780870]
[ordered-list, [155.0, 498.0, 1062.0, 36.0], TPFC2AT0_Q, 5780870]
[ordered-list, [155.0, 534.0, 1062.0, 36.0], TPFC2AT0_Q, 5780870]
[ordered-list, [155.0, 570.0, 1062.0, 36.0], TPFC2AT0_Q, 5780870]
[ordered-list, [155.0, 606.0, 1062.0, 36.0], TPFC2AT0_Q, 5780870]
[ordered-list, [155.0, 642.0, 1062.0, 36.0], TPFC2AT0_Q, 5780870]
[ordered-list, [155.0, 678.0, 1062.0, 36.0], TPFC2AT0_Q, 5780870]
[ordered-list, [155.0, 714.0, 1062.0, 36.0], TPFC2AT0_Q, 5780870]
[ordered-list, [155.0, 750.0, 1062.0, 36.0], TPFC2AT0_Q, 5780870]
[ordered-list, [155.0, 786.0, 1062.0, 36.0], TPFC2AT0_Q, 5780870]
[sidebar, [994.0, 215.0, 138.0, 36.0], hubJM_Kcjl, 5780870]
[sub-ordered-list, [237.0, 260.0, 920.0, 36.0], shoonya_4sWFZL92E5MAM8, 5780870]
[sub-ordered-list, [237.0, 296.0, 920.0, 36.0], shoonya_4sWFZL92E5MAM8, 5780870]
[sidebar, [999.0, 376.0, 136.0, 36.0], -mgbZJYlPS, 5780870]
[sub-ordered-list, [237.0, 426.0, 886.0, 36.0], shoonya_7sRRHK3PSK9QFL, 5780870]
[sub-ordered-list, [237.0, 462.0, 886.0, 36.0], shoonya_7sRRHK3PSK9QFL, 5780870]
[sidebar, [994.0, 547.0, 144.0, 36.0], L4IQE5pWuV, 5780870]
[sub-ordered-list, [237.0, 592.0, 870.0, 36.0], shoonya_3s6LUZAULRLXS0, 5780870]
[sub-ordered-list, [237.0, 628.0, 870.0, 36.0], shoonya_3s6LUZAULRLXS0, 5780870]
[sidebar, [994.0, 710.0, 187.0, 36.0], yscPBk5Ezm, 5780870]
[sub-ordered-list, [238.0, 758.0, 662.0, 36.0], shoonya_8s8HRX7F7Q4HLD, 5780870]
[sub-ordered-list, [238.0, 794.0, 662.0, 36.0], shoonya_8s8HRX7F7Q4HLD, 5780870]
[reference, [186.0, 930.0, 977.0, 36.0], shoonya_0s891MOGNBJ8J4, 5780870]
[reference, [186.0, 966.0, 977.0, 36.0], shoonya_0s891MOGNBJ8J4, 5780870]
[reference, [186.0, 1002.0, 977.0, 36.0], shoonya_0s891MOGNBJ8J4, 5780870]
[reference, [186.0, 1038.0, 977.0, 36.0], shoonya_0s891MOGNBJ8J4, 5780870]
[reference, [186.0, 1074.0, 977.0, 36.0], shoonya_0s891MOGNBJ8J4, 5780870]
[reference, [186.0, 1110.0, 977.0, 36.0], shoonya_0s891MOGNBJ8J4, 5780870]
[reference, [186.0, 1146.0, 977.0, 36.0], shoonya_0s891MOGNBJ8J4, 5780870]
[reference, [186.0, 1182.0, 977.0, 36.0], shoonya_0s891MOGNBJ8J4, 5780870]
[reference, [186.0, 1218.0, 977.0, 36.0], shoonya_0s891MOGNBJ8J4, 5780870]
[reference, [186.0, 1254.0, 977.0, 36.0], shoonya_0s891MOGNBJ8J4, 5780870]
[reference, [186.0, 1290.0, 977.0, 36.0], shoonya_0s891MOGNBJ8J4, 5780870]
[reference, [186.0, 1326.0, 977.0, 36.0], shoonya_0s891MOGNBJ8J4, 5780870]
[reference, [186.0, 1362.0, 977.0, 36.0], shoonya_0s891MOGNBJ8J4, 5780870]
[reference, [186.0, 1398.0, 977.0, 36.0], shoonya_0s891MOGNBJ8J4, 5780870]
[reference, [186.0, 1434.0, 977.0, 36.0], shoonya_0s891MOGNBJ8J4, 5780870]
[reference, [186.0, 1470.0, 977.0, 36.0], shoonya_0s891MOGNBJ8J4, 5780870]
[reference, [186.0, 1506.0, 977.0, 36.0], shoonya_0s891MOGNBJ8J4, 5780870]
[reference, [186.0, 1542.0, 977.0, 36.0], shoonya_0s891MOGNBJ8J4, 5780870]
[reference, [186.0, 1578.0, 977.0, 36.0], shoonya_0s891MOGNBJ8J4, 5780870]
