[1667, 1042]
[folio, [757.0, 95.0, 179.0, 36.0], shoonya_0sLFEYMUD9BUFC, 5752715]
[paragraph, [86.0, 133.0, 847.0, 36.0], shoonya_3sIDSTPSUN7Z43, 5752715]
[paragraph, [86.0, 169.0, 847.0, 36.0], shoonya_3sIDSTPSUN7Z43, 5752715]
[paragraph, [86.0, 205.0, 847.0, 36.0], shoonya_3sIDSTPSUN7Z43, 5752715]
[paragraph, [86.0, 241.0, 847.0, 36.0], shoonya_3sIDSTPSUN7Z43, 5752715]
[paragraph, [86.0, 277.0, 847.0, 36.0], shoonya_3sIDSTPSUN7Z43, 5752715]
[paragraph, [86.0, 313.0, 847.0, 36.0], shoonya_3sIDSTPSUN7Z43, 5752715]
[paragraph, [84.0, 381.0, 849.0, 36.0], zdG6Q3o3il, 5752715]
[paragraph, [84.0, 417.0, 849.0, 36.0], zdG6Q3o3il, 5752715]
[paragraph, [84.0, 453.0, 849.0, 36.0], zdG6Q3o3il, 5752715]
[paragraph, [84.0, 489.0, 849.0, 36.0], zdG6Q3o3il, 5752715]
[paragraph, [83.0, 532.0, 851.0, 36.0], IHn3wVqOXk, 5752715]
[paragraph, [83.0, 568.0, 851.0, 36.0], IHn3wVqOXk, 5752715]
[paragraph, [83.0, 604.0, 851.0, 36.0], IHn3wVqOXk, 5752715]
[paragraph, [83.0, 640.0, 851.0, 36.0], IHn3wVqOXk, 5752715]
[paragraph, [83.0, 676.0, 851.0, 36.0], IHn3wVqOXk, 5752715]
[paragraph, [83.0, 712.0, 851.0, 36.0], IHn3wVqOXk, 5752715]
[paragraph, [83.0, 748.0, 851.0, 36.0], IHn3wVqOXk, 5752715]
[paragraph, [83.0, 784.0, 851.0, 36.0], IHn3wVqOXk, 5752715]
[paragraph, [84.0, 835.0, 847.0, 36.0], eOq7JQFg9e, 5752715]
[paragraph, [84.0, 871.0, 847.0, 36.0], eOq7JQFg9e, 5752715]
[paragraph, [84.0, 907.0, 847.0, 36.0], eOq7JQFg9e, 5752715]
[paragraph, [84.0, 943.0, 847.0, 36.0], eOq7JQFg9e, 5752715]
[paragraph, [84.0, 979.0, 847.0, 36.0], eOq7JQFg9e, 5752715]
[paragraph, [84.0, 1036.0, 849.0, 36.0], xO3zYMUdoJ, 5752715]
[paragraph, [84.0, 1072.0, 849.0, 36.0], xO3zYMUdoJ, 5752715]
[paragraph, [84.0, 1108.0, 849.0, 36.0], xO3zYMUdoJ, 5752715]
[paragraph, [84.0, 1144.0, 849.0, 36.0], xO3zYMUdoJ, 5752715]
[paragraph, [84.0, 1180.0, 849.0, 36.0], xO3zYMUdoJ, 5752715]
[paragraph, [84.0, 1216.0, 849.0, 36.0], xO3zYMUdoJ, 5752715]
[paragraph, [84.0, 1252.0, 849.0, 36.0], xO3zYMUdoJ, 5752715]
[paragraph, [84.0, 1288.0, 849.0, 36.0], xO3zYMUdoJ, 5752715]
[paragraph, [87.0, 1337.0, 842.0, 36.0], tGkYnVu_Zd, 5752715]
[paragraph, [87.0, 1373.0, 842.0, 36.0], tGkYnVu_Zd, 5752715]
[paragraph, [87.0, 1409.0, 842.0, 36.0], tGkYnVu_Zd, 5752715]
[paragraph, [87.0, 1445.0, 842.0, 36.0], tGkYnVu_Zd, 5752715]
[paragraph, [87.0, 1481.0, 842.0, 36.0], tGkYnVu_Zd, 5752715]
