[792, 612]
[paragraph, [232.0, 4.0, 146.0, 18.0], 2G5FmWIfqq, 6514400]
[paragraph, [232.0, 22.0, 146.0, 18.0], 2G5FmWIfqq, 6514400]
[paragraph, [232.0, 40.0, 146.0, 18.0], 2G5FmWIfqq, 6514400]
[paragraph, [232.0, 58.0, 146.0, 18.0], 2G5FmWIfqq, 6514400]
[paragraph, [389.0, 4.0, 143.0, 18.0], IPoSZwNVOq, 6514400]
[paragraph, [389.0, 22.0, 143.0, 18.0], IPoSZwNVOq, 6514400]
[paragraph, [389.0, 40.0, 143.0, 18.0], IPoSZwNVOq, 6514400]
[paragraph, [389.0, 58.0, 143.0, 18.0], IPoSZwNVOq, 6514400]
[paragraph, [389.0, 76.0, 143.0, 18.0], IPoSZwNVOq, 6514400]
[paragraph, [389.0, 94.0, 143.0, 18.0], IPoSZwNVOq, 6514400]
[paragraph, [389.0, 112.0, 143.0, 18.0], IPoSZwNVOq, 6514400]
[paragraph, [389.0, 130.0, 143.0, 18.0], IPoSZwNVOq, 6514400]
[paragraph, [389.0, 148.0, 143.0, 18.0], IPoSZwNVOq, 6514400]
[paragraph, [389.0, 166.0, 143.0, 18.0], IPoSZwNVOq, 6514400]
[paragraph, [389.0, 184.0, 143.0, 18.0], IPoSZwNVOq, 6514400]
[paragraph, [77.0, 8.0, 143.0, 18.0], p45gZ9Yefm, 6514400]
[paragraph, [74.0, 36.0, 149.0, 18.0], 9rEB8ooL7X, 6514400]
[paragraph, [74.0, 54.0, 149.0, 18.0], 9rEB8ooL7X, 6514400]
[paragraph, [74.0, 72.0, 149.0, 18.0], 9rEB8ooL7X, 6514400]
[paragraph, [74.0, 90.0, 149.0, 18.0], 9rEB8ooL7X, 6514400]
[paragraph, [74.0, 108.0, 149.0, 18.0], 9rEB8ooL7X, 6514400]
[paragraph, [74.0, 126.0, 149.0, 18.0], 9rEB8ooL7X, 6514400]
[paragraph, [74.0, 144.0, 149.0, 18.0], 9rEB8ooL7X, 6514400]
[paragraph, [233.0, 92.0, 147.0, 18.0], 0-rFqunpv8, 6514400]
[paragraph, [233.0, 110.0, 147.0, 18.0], 0-rFqunpv8, 6514400]
[paragraph, [233.0, 128.0, 147.0, 18.0], 0-rFqunpv8, 6514400]
[paragraph, [233.0, 146.0, 147.0, 18.0], 0-rFqunpv8, 6514400]
[paragraph, [233.0, 164.0, 147.0, 18.0], 0-rFqunpv8, 6514400]
[paragraph, [233.0, 182.0, 147.0, 18.0], 0-rFqunpv8, 6514400]
[paragraph, [233.0, 200.0, 147.0, 18.0], 0-rFqunpv8, 6514400]
[paragraph, [71.0, 191.0, 152.0, 18.0], PDbjjDxuAY, 6514400]
[paragraph, [71.0, 209.0, 152.0, 18.0], PDbjjDxuAY, 6514400]
[paragraph, [71.0, 227.0, 152.0, 18.0], PDbjjDxuAY, 6514400]
[paragraph, [386.0, 207.0, 150.0, 18.0], zxYC4og919, 6514400]
[paragraph, [386.0, 225.0, 150.0, 18.0], zxYC4og919, 6514400]
[paragraph, [386.0, 243.0, 150.0, 18.0], zxYC4og919, 6514400]
[paragraph, [230.0, 233.0, 148.0, 18.0], 1Tenk_htLw, 6514400]
[paragraph, [230.0, 251.0, 148.0, 18.0], 1Tenk_htLw, 6514400]
[paragraph, [230.0, 269.0, 148.0, 18.0], 1Tenk_htLw, 6514400]
[paragraph, [230.0, 287.0, 148.0, 18.0], 1Tenk_htLw, 6514400]
[paragraph, [230.0, 305.0, 148.0, 18.0], 1Tenk_htLw, 6514400]
[paragraph, [71.0, 251.0, 151.0, 18.0], yYqrKzcmq8, 6514400]
[paragraph, [71.0, 269.0, 151.0, 18.0], yYqrKzcmq8, 6514400]
[paragraph, [71.0, 287.0, 151.0, 18.0], yYqrKzcmq8, 6514400]
[paragraph, [71.0, 305.0, 151.0, 18.0], yYqrKzcmq8, 6514400]
[paragraph, [71.0, 323.0, 151.0, 18.0], yYqrKzcmq8, 6514400]
[paragraph, [71.0, 341.0, 151.0, 18.0], yYqrKzcmq8, 6514400]
[paragraph, [71.0, 359.0, 151.0, 18.0], yYqrKzcmq8, 6514400]
[paragraph, [71.0, 377.0, 151.0, 18.0], yYqrKzcmq8, 6514400]
[paragraph, [71.0, 395.0, 151.0, 18.0], yYqrKzcmq8, 6514400]
[paragraph, [387.0, 276.0, 149.0, 18.0], Kllkum3qKK, 6514400]
[paragraph, [387.0, 294.0, 149.0, 18.0], Kllkum3qKK, 6514400]
[paragraph, [387.0, 312.0, 149.0, 18.0], Kllkum3qKK, 6514400]
[paragraph, [387.0, 330.0, 149.0, 18.0], Kllkum3qKK, 6514400]
[paragraph, [387.0, 348.0, 149.0, 18.0], Kllkum3qKK, 6514400]
[paragraph, [231.0, 347.0, 150.0, 18.0], HvWTNsyx9o, 6514400]
[paragraph, [231.0, 365.0, 150.0, 18.0], HvWTNsyx9o, 6514400]
[paragraph, [231.0, 383.0, 150.0, 18.0], HvWTNsyx9o, 6514400]
[paragraph, [231.0, 401.0, 150.0, 18.0], HvWTNsyx9o, 6514400]
[paragraph, [231.0, 419.0, 150.0, 18.0], HvWTNsyx9o, 6514400]
[paragraph, [231.0, 437.0, 150.0, 18.0], HvWTNsyx9o, 6514400]
[paragraph, [231.0, 455.0, 150.0, 18.0], HvWTNsyx9o, 6514400]
[paragraph, [231.0, 473.0, 150.0, 18.0], HvWTNsyx9o, 6514400]
[paragraph, [231.0, 491.0, 150.0, 18.0], HvWTNsyx9o, 6514400]
[paragraph, [231.0, 509.0, 150.0, 18.0], HvWTNsyx9o, 6514400]
[paragraph, [231.0, 527.0, 150.0, 18.0], HvWTNsyx9o, 6514400]
[paragraph, [231.0, 545.0, 150.0, 18.0], HvWTNsyx9o, 6514400]
[paragraph, [231.0, 563.0, 150.0, 18.0], HvWTNsyx9o, 6514400]
[paragraph, [231.0, 581.0, 150.0, 18.0], HvWTNsyx9o, 6514400]
[paragraph, [231.0, 599.0, 150.0, 18.0], HvWTNsyx9o, 6514400]
[paragraph, [387.0, 386.0, 149.0, 18.0], xO_9KH19Ew, 6514400]
[paragraph, [387.0, 404.0, 149.0, 18.0], xO_9KH19Ew, 6514400]
[paragraph, [387.0, 422.0, 149.0, 18.0], xO_9KH19Ew, 6514400]
[paragraph, [387.0, 440.0, 149.0, 18.0], xO_9KH19Ew, 6514400]
[paragraph, [70.0, 419.0, 151.0, 18.0], zH8JhuwB3h, 6514400]
[paragraph, [79.0, 460.0, 143.0, 18.0], OHV9SFgyaL, 6514400]
[paragraph, [79.0, 478.0, 143.0, 18.0], OHV9SFgyaL, 6514400]
[paragraph, [79.0, 496.0, 143.0, 18.0], OHV9SFgyaL, 6514400]
[paragraph, [79.0, 514.0, 143.0, 18.0], OHV9SFgyaL, 6514400]
[paragraph, [79.0, 532.0, 143.0, 18.0], OHV9SFgyaL, 6514400]
[paragraph, [79.0, 550.0, 143.0, 18.0], OHV9SFgyaL, 6514400]
[paragraph, [79.0, 568.0, 143.0, 18.0], OHV9SFgyaL, 6514400]
[paragraph, [79.0, 586.0, 143.0, 18.0], OHV9SFgyaL, 6514400]
[paragraph, [79.0, 604.0, 143.0, 18.0], OHV9SFgyaL, 6514400]
[paragraph, [385.0, 471.0, 149.0, 18.0], UQ7VxJ6t9z, 6514400]
[paragraph, [385.0, 489.0, 149.0, 18.0], UQ7VxJ6t9z, 6514400]
[paragraph, [387.0, 516.0, 149.0, 18.0], aA9MUmwKTQ, 6514400]
[paragraph, [387.0, 534.0, 149.0, 18.0], aA9MUmwKTQ, 6514400]
