[2200, 1700]
[section-title, [170.0, 159.0, 407.0, 52.5], shoonya_2sRLD0QWO41W10, 5656978]
[paragraph, [123.0, 221.0, 1428.0, 36.0], shoonya_3s21UVXF8AKJKX, 5656978]
[paragraph, [123.0, 257.0, 1428.0, 36.0], shoonya_3s21UVXF8AKJKX, 5656978]
[paragraph, [123.0, 293.0, 1428.0, 36.0], shoonya_3s21UVXF8AKJKX, 5656978]
[paragraph, [123.0, 329.0, 1428.0, 36.0], shoonya_3s21UVXF8AKJKX, 5656978]
[paragraph, [123.0, 365.0, 1428.0, 36.0], shoonya_3s21UVXF8AKJKX, 5656978]
[paragraph, [123.0, 401.0, 1428.0, 36.0], shoonya_3s21UVXF8AKJKX, 5656978]
[unordered-list, [165.0, 511.0, 1434.0, 36.0], g8C8wUIF8z, 5656978]
[unordered-list, [165.0, 547.0, 1434.0, 36.0], g8C8wUIF8z, 5656978]
[unordered-list, [165.0, 583.0, 1434.0, 36.0], g8C8wUIF8z, 5656978]
[unordered-list, [165.0, 619.0, 1434.0, 36.0], g8C8wUIF8z, 5656978]
[unordered-list, [165.0, 655.0, 1434.0, 36.0], g8C8wUIF8z, 5656978]
[unordered-list, [165.0, 691.0, 1434.0, 36.0], g8C8wUIF8z, 5656978]
[unordered-list, [165.0, 727.0, 1434.0, 36.0], g8C8wUIF8z, 5656978]
[unordered-list, [165.0, 763.0, 1434.0, 36.0], g8C8wUIF8z, 5656978]
[unordered-list, [165.0, 799.0, 1434.0, 36.0], g8C8wUIF8z, 5656978]
[unordered-list, [165.0, 835.0, 1434.0, 36.0], g8C8wUIF8z, 5656978]
[unordered-list, [165.0, 871.0, 1434.0, 36.0], g8C8wUIF8z, 5656978]
[unordered-list, [165.0, 907.0, 1434.0, 36.0], g8C8wUIF8z, 5656978]
[unordered-list, [165.0, 943.0, 1434.0, 36.0], g8C8wUIF8z, 5656978]
[unordered-list, [165.0, 979.0, 1434.0, 36.0], g8C8wUIF8z, 5656978]
[unordered-list, [165.0, 1015.0, 1434.0, 36.0], g8C8wUIF8z, 5656978]
[unordered-list, [165.0, 1051.0, 1434.0, 36.0], g8C8wUIF8z, 5656978]
[unordered-list, [165.0, 1087.0, 1434.0, 36.0], g8C8wUIF8z, 5656978]
[unordered-list, [165.0, 1123.0, 1434.0, 36.0], g8C8wUIF8z, 5656978]
[unordered-list, [165.0, 1159.0, 1434.0, 36.0], g8C8wUIF8z, 5656978]
[unordered-list, [165.0, 1195.0, 1434.0, 36.0], g8C8wUIF8z, 5656978]
[unordered-list, [165.0, 1231.0, 1434.0, 36.0], g8C8wUIF8z, 5656978]
[unordered-list, [165.0, 1267.0, 1434.0, 36.0], g8C8wUIF8z, 5656978]
[unordered-list, [165.0, 1303.0, 1434.0, 36.0], g8C8wUIF8z, 5656978]
[unordered-list, [165.0, 1339.0, 1434.0, 36.0], g8C8wUIF8z, 5656978]
[unordered-list, [165.0, 1375.0, 1434.0, 36.0], g8C8wUIF8z, 5656978]
