[2481, 1654]
[folio, [332.0, 94.0, 144.0, 36.0], q3GiB6vylh, 5721602]
[paragraph, [200.0, 216.0, 1325.0, 36.0], Yd-TdFzgK1, 5721602]
[paragraph, [200.0, 252.0, 1325.0, 36.0], Yd-TdFzgK1, 5721602]
[paragraph, [274.0, 328.0, 373.0, 36.0], 3h6n1XO_j_, 5721602]
[paragraph, [266.0, 375.0, 452.0, 36.0], k_3tmx7Bj3, 5721602]
[section-title, [398.0, 509.0, 474.0, 52.5], c3Am7s1y_K, 5721602]
[paragraph, [196.0, 631.0, 1338.0, 36.0], cK0_0mhoPw, 5721602]
[paragraph, [196.0, 667.0, 1338.0, 36.0], cK0_0mhoPw, 5721602]
[paragraph, [196.0, 703.0, 1338.0, 36.0], cK0_0mhoPw, 5721602]
[paragraph, [196.0, 739.0, 1338.0, 36.0], cK0_0mhoPw, 5721602]
[paragraph, [196.0, 775.0, 1338.0, 36.0], cK0_0mhoPw, 5721602]
[paragraph, [196.0, 811.0, 1338.0, 36.0], cK0_0mhoPw, 5721602]
[paragraph, [196.0, 847.0, 1338.0, 36.0], cK0_0mhoPw, 5721602]
[paragraph, [196.0, 883.0, 1338.0, 36.0], cK0_0mhoPw, 5721602]
[paragraph, [196.0, 919.0, 1338.0, 36.0], cK0_0mhoPw, 5721602]
[paragraph, [196.0, 955.0, 1338.0, 36.0], cK0_0mhoPw, 5721602]
[paragraph, [192.0, 1003.0, 1344.0, 36.0], a44rpeyJWs, 5721602]
[paragraph, [192.0, 1039.0, 1344.0, 36.0], a44rpeyJWs, 5721602]
[paragraph, [214.0, 1108.0, 766.0, 36.0], mJ-L383Uh2, 5721602]
[paragraph, [200.0, 1155.0, 1329.0, 36.0], x8EgXjeKpA, 5721602]
[paragraph, [200.0, 1191.0, 1329.0, 36.0], x8EgXjeKpA, 5721602]
[paragraph, [260.0, 1263.0, 1112.0, 36.0], -dcDOlqD3E, 5721602]
[paragraph, [272.0, 1314.0, 144.0, 36.0], VgH0-Xd_w4, 5721602]
[paragraph, [274.0, 1368.0, 421.0, 36.0], dNiHF2Jq61, 5721602]
[paragraph, [206.0, 1420.0, 1319.0, 36.0], dUOWZQ4DHY, 5721602]
[paragraph, [206.0, 1456.0, 1319.0, 36.0], dUOWZQ4DHY, 5721602]
[paragraph, [253.0, 1521.0, 970.0, 36.0], dmoYR6g9Bo, 5721602]
[paragraph, [280.0, 1574.0, 543.0, 36.0], H22TkpbC2B, 5721602]
[paragraph, [270.0, 1626.0, 555.0, 36.0], RbCfynUVx0, 5721602]
[paragraph, [274.0, 1678.0, 615.0, 36.0], 4vRrYpLu_A, 5721602]
[paragraph, [274.0, 1727.0, 644.0, 36.0], DgC8XZZCHa, 5721602]
[paragraph, [262.0, 1775.0, 733.0, 36.0], Nq2bmsKSbB, 5721602]
[paragraph, [266.0, 1837.0, 342.0, 36.0], Oksm65SAe8, 5721602]
[paragraph, [212.0, 1888.0, 1315.0, 36.0], ViHZpDNxG6, 5721602]
[paragraph, [212.0, 1924.0, 1315.0, 36.0], ViHZpDNxG6, 5721602]
[paragraph, [212.0, 1960.0, 1315.0, 36.0], ViHZpDNxG6, 5721602]
[paragraph, [212.0, 1996.0, 1315.0, 36.0], ViHZpDNxG6, 5721602]
[paragraph, [212.0, 2032.0, 1315.0, 36.0], ViHZpDNxG6, 5721602]
[paragraph, [212.0, 2068.0, 1315.0, 36.0], ViHZpDNxG6, 5721602]
[paragraph, [212.0, 2104.0, 1315.0, 36.0], ViHZpDNxG6, 5721602]
[paragraph, [212.0, 2140.0, 1315.0, 36.0], ViHZpDNxG6, 5721602]
