[2339, 1656]
[dateline, [928.0, 10.0, 308.0, 64.5], Hg3nXMWEdv, 5656944]
[folio, [421.0, 16.0, 500.0, 36.0], EnVvJZys7_, 5656944]
[paragraph, [80.0, 136.0, 1491.0, 36.0], shoonya_0s1UD0R4FMBOKY, 5656944]
[paragraph, [80.0, 172.0, 1491.0, 36.0], shoonya_0s1UD0R4FMBOKY, 5656944]
[paragraph, [80.0, 208.0, 1491.0, 36.0], shoonya_0s1UD0R4FMBOKY, 5656944]
[paragraph, [80.0, 244.0, 1491.0, 36.0], shoonya_0s1UD0R4FMBOKY, 5656944]
[paragraph, [80.0, 280.0, 1491.0, 36.0], shoonya_0s1UD0R4FMBOKY, 5656944]
[paragraph, [80.0, 316.0, 1491.0, 36.0], shoonya_0s1UD0R4FMBOKY, 5656944]
[paragraph, [80.0, 352.0, 1491.0, 36.0], shoonya_0s1UD0R4FMBOKY, 5656944]
[paragraph, [80.0, 388.0, 1491.0, 36.0], shoonya_0s1UD0R4FMBOKY, 5656944]
[paragraph, [80.0, 424.0, 1491.0, 36.0], shoonya_0s1UD0R4FMBOKY, 5656944]
[paragraph, [80.0, 460.0, 1491.0, 36.0], shoonya_0s1UD0R4FMBOKY, 5656944]
[paragraph, [80.0, 496.0, 1491.0, 36.0], shoonya_0s1UD0R4FMBOKY, 5656944]
[paragraph, [80.0, 532.0, 1491.0, 36.0], shoonya_0s1UD0R4FMBOKY, 5656944]
[paragraph, [80.0, 568.0, 1491.0, 36.0], shoonya_0s1UD0R4FMBOKY, 5656944]
[paragraph, [85.0, 642.0, 1488.0, 36.0], shoonya_1sU0IOFF6U3CEL, 5656944]
[paragraph, [85.0, 678.0, 1488.0, 36.0], shoonya_1sU0IOFF6U3CEL, 5656944]
[paragraph, [85.0, 714.0, 1488.0, 36.0], shoonya_1sU0IOFF6U3CEL, 5656944]
[paragraph, [85.0, 750.0, 1488.0, 36.0], shoonya_1sU0IOFF6U3CEL, 5656944]
[paragraph, [85.0, 786.0, 1488.0, 36.0], shoonya_1sU0IOFF6U3CEL, 5656944]
[paragraph, [85.0, 822.0, 1488.0, 36.0], shoonya_1sU0IOFF6U3CEL, 5656944]
[paragraph, [85.0, 858.0, 1488.0, 36.0], shoonya_1sU0IOFF6U3CEL, 5656944]
[folio, [349.0, 2262.0, 961.0, 36.0], swd8YKd3av, 5656944]
