[2175, 1462]
[folio, [160.0, 133.0, 155.0, 36.0], l1XSGo1NGz, 5654890]
[paragraph, [161.0, 239.0, 1159.0, 36.0], shoonya_3sJ619WCXMBRSO, 5654890]
[paragraph, [161.0, 275.0, 1159.0, 36.0], shoonya_3sJ619WCXMBRSO, 5654890]
[paragraph, [161.0, 311.0, 1159.0, 36.0], shoonya_3sJ619WCXMBRSO, 5654890]
[paragraph, [158.0, 411.0, 1170.0, 36.0], shoonya_0sUFCXII323HZH, 5654890]
[paragraph, [158.0, 447.0, 1170.0, 36.0], shoonya_0sUFCXII323HZH, 5654890]
[paragraph, [158.0, 483.0, 1170.0, 36.0], shoonya_0sUFCXII323HZH, 5654890]
[paragraph, [158.0, 519.0, 1170.0, 36.0], shoonya_0sUFCXII323HZH, 5654890]
[paragraph, [158.0, 555.0, 1170.0, 36.0], shoonya_0sUFCXII323HZH, 5654890]
[paragraph, [158.0, 591.0, 1170.0, 36.0], shoonya_0sUFCXII323HZH, 5654890]
[paragraph, [158.0, 627.0, 1170.0, 36.0], shoonya_0sUFCXII323HZH, 5654890]
[paragraph, [158.0, 663.0, 1170.0, 36.0], shoonya_0sUFCXII323HZH, 5654890]
[paragraph, [158.0, 699.0, 1170.0, 36.0], shoonya_0sUFCXII323HZH, 5654890]
[paragraph, [158.0, 735.0, 1170.0, 36.0], shoonya_0sUFCXII323HZH, 5654890]
[paragraph, [158.0, 771.0, 1170.0, 36.0], shoonya_0sUFCXII323HZH, 5654890]
[paragraph, [158.0, 807.0, 1170.0, 36.0], shoonya_0sUFCXII323HZH, 5654890]
[paragraph, [158.0, 843.0, 1170.0, 36.0], shoonya_0sUFCXII323HZH, 5654890]
[paragraph, [158.0, 879.0, 1170.0, 36.0], shoonya_0sUFCXII323HZH, 5654890]
[paragraph, [158.0, 915.0, 1170.0, 36.0], shoonya_0sUFCXII323HZH, 5654890]
[paragraph, [158.0, 951.0, 1170.0, 36.0], shoonya_0sUFCXII323HZH, 5654890]
[paragraph, [158.0, 987.0, 1170.0, 36.0], shoonya_0sUFCXII323HZH, 5654890]
[paragraph, [158.0, 1023.0, 1170.0, 36.0], shoonya_0sUFCXII323HZH, 5654890]
[paragraph, [167.0, 1128.0, 1161.0, 36.0], shoonya_2sAF2NPTEFUCY8, 5654890]
[paragraph, [167.0, 1164.0, 1161.0, 36.0], shoonya_2sAF2NPTEFUCY8, 5654890]
[paragraph, [167.0, 1200.0, 1161.0, 36.0], shoonya_2sAF2NPTEFUCY8, 5654890]
[paragraph, [167.0, 1236.0, 1161.0, 36.0], shoonya_2sAF2NPTEFUCY8, 5654890]
[paragraph, [167.0, 1272.0, 1161.0, 36.0], shoonya_2sAF2NPTEFUCY8, 5654890]
[paragraph, [167.0, 1308.0, 1161.0, 36.0], shoonya_2sAF2NPTEFUCY8, 5654890]
[paragraph, [167.0, 1344.0, 1161.0, 36.0], shoonya_2sAF2NPTEFUCY8, 5654890]
[paragraph, [167.0, 1380.0, 1161.0, 36.0], shoonya_2sAF2NPTEFUCY8, 5654890]
[paragraph, [158.0, 1452.0, 1171.0, 36.0], shoonya_1sA1SPO58YY91M, 5654890]
[paragraph, [158.0, 1488.0, 1171.0, 36.0], shoonya_1sA1SPO58YY91M, 5654890]
[paragraph, [158.0, 1524.0, 1171.0, 36.0], shoonya_1sA1SPO58YY91M, 5654890]
[paragraph, [158.0, 1560.0, 1171.0, 36.0], shoonya_1sA1SPO58YY91M, 5654890]
[paragraph, [158.0, 1596.0, 1171.0, 36.0], shoonya_1sA1SPO58YY91M, 5654890]
[paragraph, [158.0, 1632.0, 1171.0, 36.0], shoonya_1sA1SPO58YY91M, 5654890]
[paragraph, [158.0, 1668.0, 1171.0, 36.0], shoonya_1sA1SPO58YY91M, 5654890]
[paragraph, [158.0, 1704.0, 1171.0, 36.0], shoonya_1sA1SPO58YY91M, 5654890]
[paragraph, [158.0, 1740.0, 1171.0, 36.0], shoonya_1sA1SPO58YY91M, 5654890]
[paragraph, [158.0, 1776.0, 1171.0, 36.0], shoonya_1sA1SPO58YY91M, 5654890]
[paragraph, [158.0, 1812.0, 1171.0, 36.0], shoonya_1sA1SPO58YY91M, 5654890]
[paragraph, [158.0, 1848.0, 1171.0, 36.0], shoonya_1sA1SPO58YY91M, 5654890]
[paragraph, [158.0, 1884.0, 1171.0, 36.0], shoonya_1sA1SPO58YY91M, 5654890]
[paragraph, [158.0, 1920.0, 1171.0, 36.0], shoonya_1sA1SPO58YY91M, 5654890]
[paragraph, [158.0, 1956.0, 1171.0, 36.0], shoonya_1sA1SPO58YY91M, 5654890]
[paragraph, [158.0, 1992.0, 1171.0, 36.0], shoonya_1sA1SPO58YY91M, 5654890]
