[1267, 753]
[folio, [337.0, 76.0, 83.0, 18.0], shoonya_2sJYRDZKA3HNZI, 5699399]
[paragraph, [79.0, 119.0, 596.0, 18.0], shoonya_1s6145LEELKX6C, 5699399]
[paragraph, [79.0, 137.0, 596.0, 18.0], shoonya_1s6145LEELKX6C, 5699399]
[paragraph, [79.0, 155.0, 596.0, 18.0], shoonya_1s6145LEELKX6C, 5699399]
[paragraph, [79.0, 173.0, 596.0, 18.0], shoonya_1s6145LEELKX6C, 5699399]
[paragraph, [79.0, 191.0, 596.0, 18.0], shoonya_1s6145LEELKX6C, 5699399]
[paragraph, [79.0, 209.0, 596.0, 18.0], shoonya_1s6145LEELKX6C, 5699399]
[paragraph, [79.0, 227.0, 596.0, 18.0], shoonya_1s6145LEELKX6C, 5699399]
[paragraph, [79.0, 245.0, 596.0, 18.0], shoonya_1s6145LEELKX6C, 5699399]
[paragraph, [79.0, 263.0, 596.0, 18.0], shoonya_1s6145LEELKX6C, 5699399]
[paragraph, [79.0, 281.0, 596.0, 18.0], shoonya_1s6145LEELKX6C, 5699399]
[paragraph, [79.0, 299.0, 596.0, 18.0], shoonya_1s6145LEELKX6C, 5699399]
[paragraph, [79.0, 317.0, 596.0, 18.0], shoonya_1s6145LEELKX6C, 5699399]
[paragraph, [79.0, 335.0, 596.0, 18.0], shoonya_1s6145LEELKX6C, 5699399]
[paragraph, [79.0, 353.0, 596.0, 18.0], shoonya_1s6145LEELKX6C, 5699399]
[paragraph, [79.0, 371.0, 596.0, 18.0], shoonya_1s6145LEELKX6C, 5699399]
[paragraph, [79.0, 389.0, 596.0, 18.0], shoonya_1s6145LEELKX6C, 5699399]
[paragraph, [79.0, 407.0, 596.0, 18.0], shoonya_1s6145LEELKX6C, 5699399]
[paragraph, [79.0, 425.0, 596.0, 18.0], shoonya_1s6145LEELKX6C, 5699399]
[paragraph, [79.0, 443.0, 596.0, 18.0], shoonya_1s6145LEELKX6C, 5699399]
[paragraph, [79.0, 461.0, 596.0, 18.0], shoonya_1s6145LEELKX6C, 5699399]
[paragraph, [79.0, 479.0, 596.0, 18.0], shoonya_1s6145LEELKX6C, 5699399]
[paragraph, [79.0, 497.0, 596.0, 18.0], shoonya_1s6145LEELKX6C, 5699399]
[paragraph, [79.0, 515.0, 596.0, 18.0], shoonya_1s6145LEELKX6C, 5699399]
[paragraph, [79.0, 533.0, 596.0, 18.0], shoonya_1s6145LEELKX6C, 5699399]
[paragraph, [79.0, 551.0, 596.0, 18.0], shoonya_1s6145LEELKX6C, 5699399]
[paragraph, [79.0, 569.0, 596.0, 18.0], shoonya_1s6145LEELKX6C, 5699399]
[paragraph, [79.0, 587.0, 596.0, 18.0], shoonya_1s6145LEELKX6C, 5699399]
[paragraph, [79.0, 605.0, 596.0, 18.0], shoonya_1s6145LEELKX6C, 5699399]
[paragraph, [79.0, 623.0, 596.0, 18.0], shoonya_1s6145LEELKX6C, 5699399]
[paragraph, [79.0, 641.0, 596.0, 18.0], shoonya_1s6145LEELKX6C, 5699399]
[paragraph, [79.0, 659.0, 596.0, 18.0], shoonya_1s6145LEELKX6C, 5699399]
[paragraph, [79.0, 677.0, 596.0, 18.0], shoonya_1s6145LEELKX6C, 5699399]
[paragraph, [79.0, 695.0, 596.0, 18.0], shoonya_1s6145LEELKX6C, 5699399]
[paragraph, [79.0, 713.0, 596.0, 18.0], shoonya_1s6145LEELKX6C, 5699399]
[paragraph, [79.0, 731.0, 596.0, 18.0], shoonya_1s6145LEELKX6C, 5699399]
[paragraph, [79.0, 749.0, 596.0, 18.0], shoonya_1s6145LEELKX6C, 5699399]
[paragraph, [79.0, 767.0, 596.0, 18.0], shoonya_1s6145LEELKX6C, 5699399]
[paragraph, [79.0, 785.0, 596.0, 18.0], shoonya_1s6145LEELKX6C, 5699399]
[paragraph, [76.0, 809.0, 594.0, 18.0], shoonya_0sXCWRNL4TLRWV, 5699399]
[paragraph, [76.0, 827.0, 594.0, 18.0], shoonya_0sXCWRNL4TLRWV, 5699399]
[paragraph, [76.0, 845.0, 594.0, 18.0], shoonya_0sXCWRNL4TLRWV, 5699399]
[paragraph, [76.0, 863.0, 594.0, 18.0], shoonya_0sXCWRNL4TLRWV, 5699399]
[paragraph, [76.0, 881.0, 594.0, 18.0], shoonya_0sXCWRNL4TLRWV, 5699399]
[paragraph, [76.0, 899.0, 594.0, 18.0], shoonya_0sXCWRNL4TLRWV, 5699399]
[paragraph, [76.0, 917.0, 594.0, 18.0], shoonya_0sXCWRNL4TLRWV, 5699399]
[paragraph, [76.0, 935.0, 594.0, 18.0], shoonya_0sXCWRNL4TLRWV, 5699399]
[paragraph, [76.0, 953.0, 594.0, 18.0], shoonya_0sXCWRNL4TLRWV, 5699399]
[paragraph, [76.0, 971.0, 594.0, 18.0], shoonya_0sXCWRNL4TLRWV, 5699399]
[paragraph, [76.0, 989.0, 594.0, 18.0], shoonya_0sXCWRNL4TLRWV, 5699399]
[paragraph, [76.0, 1007.0, 594.0, 18.0], shoonya_0sXCWRNL4TLRWV, 5699399]
[paragraph, [76.0, 1025.0, 594.0, 18.0], shoonya_0sXCWRNL4TLRWV, 5699399]
[paragraph, [76.0, 1043.0, 594.0, 18.0], shoonya_0sXCWRNL4TLRWV, 5699399]
[paragraph, [76.0, 1061.0, 594.0, 18.0], shoonya_0sXCWRNL4TLRWV, 5699399]
[paragraph, [76.0, 1079.0, 594.0, 18.0], shoonya_0sXCWRNL4TLRWV, 5699399]
[paragraph, [76.0, 1097.0, 594.0, 18.0], shoonya_0sXCWRNL4TLRWV, 5699399]
[paragraph, [76.0, 1115.0, 594.0, 18.0], shoonya_0sXCWRNL4TLRWV, 5699399]
[paragraph, [76.0, 1133.0, 594.0, 18.0], shoonya_0sXCWRNL4TLRWV, 5699399]
[paragraph, [76.0, 1151.0, 594.0, 18.0], shoonya_0sXCWRNL4TLRWV, 5699399]
[paragraph, [76.0, 1169.0, 594.0, 18.0], shoonya_0sXCWRNL4TLRWV, 5699399]
