[1200, 825]
[unordered-list, [175.0, 109.0, 510.0, 18.0], shoonya_0sACV6YOAYBN4A, 5691119]
[unordered-list, [175.0, 127.0, 510.0, 18.0], shoonya_0sACV6YOAYBN4A, 5691119]
[unordered-list, [175.0, 145.0, 510.0, 18.0], shoonya_0sACV6YOAYBN4A, 5691119]
[paragraph, [141.0, 175.0, 542.0, 18.0], u38XMVGEg7, 5691119]
[paragraph, [141.0, 193.0, 542.0, 18.0], u38XMVGEg7, 5691119]
[paragraph, [141.0, 211.0, 542.0, 18.0], u38XMVGEg7, 5691119]
[paragraph, [141.0, 229.0, 542.0, 18.0], u38XMVGEg7, 5691119]
[paragraph, [141.0, 247.0, 542.0, 18.0], u38XMVGEg7, 5691119]
[paragraph, [141.0, 265.0, 542.0, 18.0], u38XMVGEg7, 5691119]
[paragraph, [141.0, 283.0, 542.0, 18.0], u38XMVGEg7, 5691119]
[paragraph, [141.0, 301.0, 542.0, 18.0], u38XMVGEg7, 5691119]
[paragraph, [141.0, 319.0, 542.0, 18.0], u38XMVGEg7, 5691119]
[paragraph, [141.0, 337.0, 542.0, 18.0], u38XMVGEg7, 5691119]
[paragraph, [141.0, 355.0, 542.0, 18.0], u38XMVGEg7, 5691119]
[paragraph, [141.0, 373.0, 542.0, 18.0], u38XMVGEg7, 5691119]
[paragraph, [141.0, 391.0, 542.0, 18.0], u38XMVGEg7, 5691119]
[paragraph, [141.0, 409.0, 542.0, 18.0], u38XMVGEg7, 5691119]
[paragraph, [141.0, 427.0, 542.0, 18.0], u38XMVGEg7, 5691119]
[paragraph, [141.0, 445.0, 542.0, 18.0], u38XMVGEg7, 5691119]
[paragraph, [141.0, 463.0, 542.0, 18.0], u38XMVGEg7, 5691119]
[paragraph, [140.0, 486.0, 546.0, 18.0], QNHsS3JQbR, 5691119]
[paragraph, [140.0, 504.0, 546.0, 18.0], QNHsS3JQbR, 5691119]
[paragraph, [140.0, 522.0, 546.0, 18.0], QNHsS3JQbR, 5691119]
[paragraph, [140.0, 540.0, 546.0, 18.0], QNHsS3JQbR, 5691119]
[paragraph, [140.0, 558.0, 546.0, 18.0], QNHsS3JQbR, 5691119]
[paragraph, [140.0, 576.0, 546.0, 18.0], QNHsS3JQbR, 5691119]
[paragraph, [140.0, 594.0, 546.0, 18.0], QNHsS3JQbR, 5691119]
[paragraph, [140.0, 612.0, 546.0, 18.0], QNHsS3JQbR, 5691119]
[paragraph, [140.0, 630.0, 546.0, 18.0], QNHsS3JQbR, 5691119]
[paragraph, [140.0, 648.0, 546.0, 18.0], QNHsS3JQbR, 5691119]
[paragraph, [140.0, 666.0, 546.0, 18.0], QNHsS3JQbR, 5691119]
[paragraph, [140.0, 684.0, 546.0, 18.0], QNHsS3JQbR, 5691119]
[paragraph, [140.0, 702.0, 546.0, 18.0], QNHsS3JQbR, 5691119]
[paragraph, [140.0, 720.0, 546.0, 18.0], QNHsS3JQbR, 5691119]
[paragraph, [140.0, 738.0, 546.0, 18.0], QNHsS3JQbR, 5691119]
[paragraph, [140.0, 756.0, 546.0, 18.0], QNHsS3JQbR, 5691119]
[paragraph, [140.0, 774.0, 546.0, 18.0], QNHsS3JQbR, 5691119]
[paragraph, [140.0, 792.0, 546.0, 18.0], QNHsS3JQbR, 5691119]
[paragraph, [140.0, 810.0, 546.0, 18.0], QNHsS3JQbR, 5691119]
[paragraph, [140.0, 828.0, 546.0, 18.0], QNHsS3JQbR, 5691119]
[paragraph, [136.0, 850.0, 550.0, 18.0], XvZQvbl1_h, 5691119]
[paragraph, [136.0, 868.0, 550.0, 18.0], XvZQvbl1_h, 5691119]
[paragraph, [136.0, 886.0, 550.0, 18.0], XvZQvbl1_h, 5691119]
[paragraph, [136.0, 904.0, 550.0, 18.0], XvZQvbl1_h, 5691119]
[paragraph, [136.0, 922.0, 550.0, 18.0], XvZQvbl1_h, 5691119]
[paragraph, [136.0, 940.0, 550.0, 18.0], XvZQvbl1_h, 5691119]
[paragraph, [136.0, 958.0, 550.0, 18.0], XvZQvbl1_h, 5691119]
[paragraph, [136.0, 976.0, 550.0, 18.0], XvZQvbl1_h, 5691119]
[paragraph, [136.0, 994.0, 550.0, 18.0], XvZQvbl1_h, 5691119]
[paragraph, [136.0, 1012.0, 550.0, 18.0], XvZQvbl1_h, 5691119]
[paragraph, [136.0, 1030.0, 550.0, 18.0], XvZQvbl1_h, 5691119]
[paragraph, [136.0, 1048.0, 550.0, 18.0], XvZQvbl1_h, 5691119]
