[2578, 2048]
[headline, [274.0, 210.0, 1517.0, 52.5], shoonya_0sLPVC2JVO0101, 6473727]
[headline, [274.0, 262.5, 1517.0, 52.5], shoonya_0sLPVC2JVO0101, 6473727]
[headline, [274.0, 315.0, 1517.0, 52.5], shoonya_0sLPVC2JVO0101, 6473727]
[headline, [274.0, 367.5, 1517.0, 52.5], shoonya_0sLPVC2JVO0101, 6473727]
[sub-headline, [317.0, 596.0, 1402.0, 76.5], Uce7NenR6j, 6473727]
[sub-headline, [317.0, 672.5, 1402.0, 76.5], Uce7NenR6j, 6473727]
[sub-headline, [317.0, 749.0, 1402.0, 76.5], Uce7NenR6j, 6473727]
[flag, [770.0, 919.0, 650.0, 46.5], x6HtIdRM-G, 6473727]
[flag, [770.0, 965.5, 650.0, 46.5], x6HtIdRM-G, 6473727]
[flag, [770.0, 1012.0, 650.0, 46.5], x6HtIdRM-G, 6473727]
[flag, [770.0, 1058.5, 650.0, 46.5], x6HtIdRM-G, 6473727]
[flag, [770.0, 1105.0, 650.0, 46.5], x6HtIdRM-G, 6473727]
[flag, [770.0, 1151.5, 650.0, 46.5], x6HtIdRM-G, 6473727]
[flag, [770.0, 1198.0, 650.0, 46.5], x6HtIdRM-G, 6473727]
[paragraph, [194.0, 1287.0, 1666.0, 46.5], I37tjZ5bOo, 6473727]
[paragraph, [194.0, 1333.5, 1666.0, 46.5], I37tjZ5bOo, 6473727]
[paragraph, [194.0, 1380.0, 1666.0, 46.5], I37tjZ5bOo, 6473727]
[paragraph, [194.0, 1426.5, 1666.0, 46.5], I37tjZ5bOo, 6473727]
[paragraph, [194.0, 1473.0, 1666.0, 46.5], I37tjZ5bOo, 6473727]
[paragraph, [194.0, 1519.5, 1666.0, 46.5], I37tjZ5bOo, 6473727]
[paragraph, [194.0, 1566.0, 1666.0, 46.5], I37tjZ5bOo, 6473727]
[paragraph, [194.0, 1612.5, 1666.0, 46.5], I37tjZ5bOo, 6473727]
[paragraph, [194.0, 1659.0, 1666.0, 46.5], I37tjZ5bOo, 6473727]
[paragraph, [194.0, 1705.5, 1666.0, 46.5], I37tjZ5bOo, 6473727]
[paragraph, [194.0, 1752.0, 1666.0, 46.5], I37tjZ5bOo, 6473727]
[paragraph, [194.0, 1798.5, 1666.0, 46.5], I37tjZ5bOo, 6473727]
[contact-info, [363.0, 2001.0, 1274.0, 46.5], MPpADwPSnV, 6473727]
[contact-info, [363.0, 2047.5, 1274.0, 46.5], MPpADwPSnV, 6473727]
[contact-info, [363.0, 2094.0, 1274.0, 46.5], MPpADwPSnV, 6473727]
[contact-info, [363.0, 2140.5, 1274.0, 46.5], MPpADwPSnV, 6473727]
[contact-info, [363.0, 2187.0, 1274.0, 46.5], MPpADwPSnV, 6473727]
[contact-info, [363.0, 2233.5, 1274.0, 46.5], MPpADwPSnV, 6473727]
[contact-info, [363.0, 2280.0, 1274.0, 46.5], MPpADwPSnV, 6473727]
[contact-info, [163.0, 2355.0, 1469.0, 46.5], 8Ua3dfyS8f, 6473727]
[folio, [1821.0, 2547.0, 1982.0, 46.5], shoonya_1sKRCA7GZW05I4, 6473727]
[folio, [1821.0, 2593.5, 1982.0, 46.5], shoonya_1sKRCA7GZW05I4, 6473727]
[folio, [1821.0, 2640.0, 1982.0, 46.5], shoonya_1sKRCA7GZW05I4, 6473727]
[folio, [1821.0, 2686.5, 1982.0, 46.5], shoonya_1sKRCA7GZW05I4, 6473727]
[folio, [1821.0, 2733.0, 1982.0, 46.5], shoonya_1sKRCA7GZW05I4, 6473727]
[folio, [1821.0, 2779.5, 1982.0, 46.5], shoonya_1sKRCA7GZW05I4, 6473727]
[folio, [1821.0, 2826.0, 1982.0, 46.5], shoonya_1sKRCA7GZW05I4, 6473727]
