[1650, 1275]
[paragraph, [142.0, 151.0, 1040.0, 36.0], shoonya_0sTOETX9QEYIX1, 5704159]
[paragraph, [142.0, 187.0, 1040.0, 36.0], shoonya_0sTOETX9QEYIX1, 5704159]
[paragraph, [142.0, 223.0, 1040.0, 36.0], shoonya_0sTOETX9QEYIX1, 5704159]
[paragraph, [142.0, 259.0, 1040.0, 36.0], shoonya_0sTOETX9QEYIX1, 5704159]
[paragraph, [142.0, 295.0, 1040.0, 36.0], shoonya_0sTOETX9QEYIX1, 5704159]
[paragraph, [142.0, 331.0, 1040.0, 36.0], shoonya_0sTOETX9QEYIX1, 5704159]
[paragraph, [142.0, 367.0, 1040.0, 36.0], shoonya_0sTOETX9QEYIX1, 5704159]
[paragraph, [142.0, 403.0, 1040.0, 36.0], shoonya_0sTOETX9QEYIX1, 5704159]
[paragraph, [142.0, 439.0, 1040.0, 36.0], shoonya_0sTOETX9QEYIX1, 5704159]
[paragraph, [142.0, 475.0, 1040.0, 36.0], shoonya_0sTOETX9QEYIX1, 5704159]
[paragraph, [142.0, 511.0, 1040.0, 36.0], shoonya_0sTOETX9QEYIX1, 5704159]
[paragraph, [143.0, 614.0, 1041.0, 36.0], shoonya_1s51HOA18KT768, 5704159]
[paragraph, [143.0, 650.0, 1041.0, 36.0], shoonya_1s51HOA18KT768, 5704159]
[paragraph, [143.0, 686.0, 1041.0, 36.0], shoonya_1s51HOA18KT768, 5704159]
[paragraph, [143.0, 722.0, 1041.0, 36.0], shoonya_1s51HOA18KT768, 5704159]
[paragraph, [143.0, 758.0, 1041.0, 36.0], shoonya_1s51HOA18KT768, 5704159]
[paragraph, [143.0, 794.0, 1041.0, 36.0], shoonya_1s51HOA18KT768, 5704159]
[paragraph, [143.0, 830.0, 1041.0, 36.0], shoonya_1s51HOA18KT768, 5704159]
[paragraph, [143.0, 866.0, 1041.0, 36.0], shoonya_1s51HOA18KT768, 5704159]
[paragraph, [143.0, 902.0, 1041.0, 36.0], shoonya_1s51HOA18KT768, 5704159]
[paragraph, [143.0, 938.0, 1041.0, 36.0], shoonya_1s51HOA18KT768, 5704159]
[paragraph, [143.0, 974.0, 1041.0, 36.0], shoonya_1s51HOA18KT768, 5704159]
[paragraph, [143.0, 1010.0, 1041.0, 36.0], shoonya_1s51HOA18KT768, 5704159]
[paragraph, [143.0, 1046.0, 1041.0, 36.0], shoonya_1s51HOA18KT768, 5704159]
[paragraph, [143.0, 1082.0, 1041.0, 36.0], shoonya_1s51HOA18KT768, 5704159]
[paragraph, [143.0, 1118.0, 1041.0, 36.0], shoonya_1s51HOA18KT768, 5704159]
[paragraph, [143.0, 1154.0, 1041.0, 36.0], shoonya_1s51HOA18KT768, 5704159]
[paragraph, [143.0, 1190.0, 1041.0, 36.0], shoonya_1s51HOA18KT768, 5704159]
[paragraph, [143.0, 1226.0, 1041.0, 36.0], shoonya_1s51HOA18KT768, 5704159]
[paragraph, [141.0, 1328.0, 1041.0, 36.0], shoonya_2s8Z2CNAQQKJO6, 5704159]
[paragraph, [141.0, 1364.0, 1041.0, 36.0], shoonya_2s8Z2CNAQQKJO6, 5704159]
