[3509, 2482]
[folio, [815.0, 189.0, 515.0, 52.5], 6wHrzS0tWJ, 5691496]
[folio, [815.0, 241.5, 515.0, 52.5], 6wHrzS0tWJ, 5691496]
[paragraph, [244.0, 348.0, 1759.0, 52.5], shoonya_0sJYE4IQBG5SBR, 5691496]
[paragraph, [244.0, 400.5, 1759.0, 52.5], shoonya_0sJYE4IQBG5SBR, 5691496]
[paragraph, [244.0, 453.0, 1759.0, 52.5], shoonya_0sJYE4IQBG5SBR, 5691496]
[paragraph, [244.0, 505.5, 1759.0, 52.5], shoonya_0sJYE4IQBG5SBR, 5691496]
[paragraph, [244.0, 558.0, 1759.0, 52.5], shoonya_0sJYE4IQBG5SBR, 5691496]
[paragraph, [244.0, 610.5, 1759.0, 52.5], shoonya_0sJYE4IQBG5SBR, 5691496]
[paragraph, [276.0, 663.0, 725.0, 52.5], KXRRB4X1Qi, 5691496]
[paragraph, [204.0, 732.0, 1802.0, 52.5], kRO-WeXS1a, 5691496]
[paragraph, [204.0, 784.5, 1802.0, 52.5], kRO-WeXS1a, 5691496]
[paragraph, [204.0, 837.0, 1802.0, 52.5], kRO-WeXS1a, 5691496]
[paragraph, [204.0, 889.5, 1802.0, 52.5], kRO-WeXS1a, 5691496]
[paragraph, [204.0, 942.0, 1802.0, 52.5], kRO-WeXS1a, 5691496]
[paragraph, [276.0, 1048.0, 766.0, 52.5], yDijipetuM, 5691496]
[paragraph, [288.0, 1126.0, 881.0, 52.5], DrrOZanYmM, 5691496]
[paragraph, [198.0, 1203.0, 1811.0, 52.5], 6uMT63Dur8, 5691496]
[paragraph, [198.0, 1255.5, 1811.0, 52.5], 6uMT63Dur8, 5691496]
[paragraph, [198.0, 1308.0, 1811.0, 52.5], 6uMT63Dur8, 5691496]
[paragraph, [198.0, 1360.5, 1811.0, 52.5], 6uMT63Dur8, 5691496]
[paragraph, [198.0, 1413.0, 1811.0, 52.5], 6uMT63Dur8, 5691496]
[paragraph, [198.0, 1465.5, 1811.0, 52.5], 6uMT63Dur8, 5691496]
[paragraph, [198.0, 1518.0, 1811.0, 52.5], 6uMT63Dur8, 5691496]
[paragraph, [198.0, 1570.5, 1811.0, 52.5], 6uMT63Dur8, 5691496]
[paragraph, [198.0, 1623.0, 1811.0, 52.5], 6uMT63Dur8, 5691496]
[paragraph, [198.0, 1675.5, 1811.0, 52.5], 6uMT63Dur8, 5691496]
[paragraph, [279.0, 1752.0, 1523.0, 52.5], 0I6cI3TM8Y, 5691496]
[paragraph, [223.0, 1830.0, 1756.0, 52.5], UXOHeqEgxq, 5691496]
[paragraph, [223.0, 1882.5, 1756.0, 52.5], UXOHeqEgxq, 5691496]
[paragraph, [223.0, 1935.0, 1756.0, 52.5], UXOHeqEgxq, 5691496]
[paragraph, [223.0, 1987.5, 1756.0, 52.5], UXOHeqEgxq, 5691496]
[paragraph, [223.0, 2040.0, 1756.0, 52.5], UXOHeqEgxq, 5691496]
[paragraph, [223.0, 2143.0, 1783.0, 52.5], PLzFsxlvMp, 5691496]
[paragraph, [223.0, 2195.5, 1783.0, 52.5], PLzFsxlvMp, 5691496]
[paragraph, [223.0, 2248.0, 1783.0, 52.5], PLzFsxlvMp, 5691496]
[paragraph, [223.0, 2300.5, 1783.0, 52.5], PLzFsxlvMp, 5691496]
[paragraph, [223.0, 2353.0, 1783.0, 52.5], PLzFsxlvMp, 5691496]
[paragraph, [223.0, 2405.5, 1783.0, 52.5], PLzFsxlvMp, 5691496]
[paragraph, [223.0, 2458.0, 1783.0, 52.5], PLzFsxlvMp, 5691496]
[paragraph, [241.0, 2532.0, 1030.0, 52.5], 0Uy-m_nX31, 5691496]
[paragraph, [235.0, 2603.0, 1777.0, 52.5], hBxYyvaEGj, 5691496]
[paragraph, [235.0, 2655.5, 1777.0, 52.5], hBxYyvaEGj, 5691496]
[paragraph, [235.0, 2708.0, 1777.0, 52.5], hBxYyvaEGj, 5691496]
[paragraph, [235.0, 2760.5, 1777.0, 52.5], hBxYyvaEGj, 5691496]
[paragraph, [235.0, 2813.0, 1777.0, 52.5], hBxYyvaEGj, 5691496]
[paragraph, [235.0, 2865.5, 1777.0, 52.5], hBxYyvaEGj, 5691496]
[paragraph, [325.0, 2928.0, 608.0, 52.5], sTBoc4kP7P, 5691496]
[paragraph, [325.0, 2993.0, 1191.0, 52.5], f3Wr44CWUB, 5691496]
[paragraph, [232.0, 3071.0, 1768.0, 52.5], tCNFop9v7z, 5691496]
[paragraph, [232.0, 3123.5, 1768.0, 52.5], tCNFop9v7z, 5691496]
[paragraph, [232.0, 3176.0, 1768.0, 52.5], tCNFop9v7z, 5691496]
[paragraph, [232.0, 3228.5, 1768.0, 52.5], tCNFop9v7z, 5691496]
