[3509, 2480]
[paragraph, [344.0, 391.0, 1806.0, 52.5], shoonya_0sT3PW067HSOFL, 5723876]
[paragraph, [344.0, 443.5, 1806.0, 52.5], shoonya_0sT3PW067HSOFL, 5723876]
[paragraph, [344.0, 496.0, 1806.0, 52.5], shoonya_0sT3PW067HSOFL, 5723876]
[paragraph, [344.0, 548.5, 1806.0, 52.5], shoonya_0sT3PW067HSOFL, 5723876]
[paragraph, [344.0, 601.0, 1806.0, 52.5], shoonya_0sT3PW067HSOFL, 5723876]
[paragraph, [344.0, 653.5, 1806.0, 52.5], shoonya_0sT3PW067HSOFL, 5723876]
[paragraph, [344.0, 706.0, 1806.0, 52.5], shoonya_0sT3PW067HSOFL, 5723876]
[paragraph, [344.0, 758.5, 1806.0, 52.5], shoonya_0sT3PW067HSOFL, 5723876]
[paragraph, [344.0, 811.0, 1806.0, 52.5], shoonya_0sT3PW067HSOFL, 5723876]
[paragraph, [344.0, 863.5, 1806.0, 52.5], shoonya_0sT3PW067HSOFL, 5723876]
[paragraph, [344.0, 916.0, 1806.0, 52.5], shoonya_0sT3PW067HSOFL, 5723876]
[paragraph, [344.0, 968.5, 1806.0, 52.5], shoonya_0sT3PW067HSOFL, 5723876]
[paragraph, [344.0, 1021.0, 1806.0, 52.5], shoonya_0sT3PW067HSOFL, 5723876]
[paragraph, [344.0, 1073.5, 1806.0, 52.5], shoonya_0sT3PW067HSOFL, 5723876]
[paragraph, [344.0, 1126.0, 1806.0, 52.5], shoonya_0sT3PW067HSOFL, 5723876]
[paragraph, [344.0, 1178.5, 1806.0, 52.5], shoonya_0sT3PW067HSOFL, 5723876]
[paragraph, [344.0, 1231.0, 1806.0, 52.5], shoonya_0sT3PW067HSOFL, 5723876]
[paragraph, [344.0, 1283.5, 1806.0, 52.5], shoonya_0sT3PW067HSOFL, 5723876]
[paragraph, [344.0, 1336.0, 1806.0, 52.5], shoonya_0sT3PW067HSOFL, 5723876]
[paragraph, [344.0, 1388.5, 1806.0, 52.5], shoonya_0sT3PW067HSOFL, 5723876]
[paragraph, [344.0, 1441.0, 1806.0, 52.5], shoonya_0sT3PW067HSOFL, 5723876]
[paragraph, [344.0, 1493.5, 1806.0, 52.5], shoonya_0sT3PW067HSOFL, 5723876]
[paragraph, [344.0, 1546.0, 1806.0, 52.5], shoonya_0sT3PW067HSOFL, 5723876]
[paragraph, [344.0, 1598.5, 1806.0, 52.5], shoonya_0sT3PW067HSOFL, 5723876]
[paragraph, [344.0, 1651.0, 1806.0, 52.5], shoonya_0sT3PW067HSOFL, 5723876]
[paragraph, [344.0, 1703.5, 1806.0, 52.5], shoonya_0sT3PW067HSOFL, 5723876]
[paragraph, [344.0, 1756.0, 1806.0, 52.5], shoonya_0sT3PW067HSOFL, 5723876]
[paragraph, [344.0, 1808.5, 1806.0, 52.5], shoonya_0sT3PW067HSOFL, 5723876]
[paragraph, [344.0, 1861.0, 1806.0, 52.5], shoonya_0sT3PW067HSOFL, 5723876]
[paragraph, [344.0, 1913.5, 1806.0, 52.5], shoonya_0sT3PW067HSOFL, 5723876]
[paragraph, [344.0, 1966.0, 1806.0, 52.5], shoonya_0sT3PW067HSOFL, 5723876]
[paragraph, [344.0, 2018.5, 1806.0, 52.5], shoonya_0sT3PW067HSOFL, 5723876]
[paragraph, [344.0, 2071.0, 1806.0, 52.5], shoonya_0sT3PW067HSOFL, 5723876]
[paragraph, [344.0, 2123.5, 1806.0, 52.5], shoonya_0sT3PW067HSOFL, 5723876]
[paragraph, [344.0, 2176.0, 1806.0, 52.5], shoonya_0sT3PW067HSOFL, 5723876]
[paragraph, [344.0, 2228.5, 1806.0, 52.5], shoonya_0sT3PW067HSOFL, 5723876]
[paragraph, [344.0, 2281.0, 1806.0, 52.5], shoonya_0sT3PW067HSOFL, 5723876]
[paragraph, [344.0, 2333.5, 1806.0, 52.5], shoonya_0sT3PW067HSOFL, 5723876]
[paragraph, [344.0, 2386.0, 1806.0, 52.5], shoonya_0sT3PW067HSOFL, 5723876]
[paragraph, [344.0, 2438.5, 1806.0, 52.5], shoonya_0sT3PW067HSOFL, 5723876]
[paragraph, [344.0, 2491.0, 1806.0, 52.5], shoonya_0sT3PW067HSOFL, 5723876]
[footnote, [365.0, 2871.0, 1770.0, 52.5], gAW5s6BkpS, 5723876]
[footnote, [365.0, 2923.5, 1770.0, 52.5], gAW5s6BkpS, 5723876]
[footnote, [365.0, 2976.0, 1770.0, 52.5], gAW5s6BkpS, 5723876]
[footnote, [365.0, 3028.5, 1770.0, 52.5], gAW5s6BkpS, 5723876]
