[1755, 1240]
[paragraph, [177.0, 183.0, 886.0, 36.0], shoonya_2sESNQ2XHHGOFR, 5704487]
[paragraph, [177.0, 219.0, 886.0, 36.0], shoonya_2sESNQ2XHHGOFR, 5704487]
[paragraph, [177.0, 255.0, 886.0, 36.0], shoonya_2sESNQ2XHHGOFR, 5704487]
[paragraph, [177.0, 291.0, 886.0, 36.0], shoonya_2sESNQ2XHHGOFR, 5704487]
[paragraph, [177.0, 327.0, 886.0, 36.0], shoonya_2sESNQ2XHHGOFR, 5704487]
[paragraph, [177.0, 363.0, 886.0, 36.0], shoonya_2sESNQ2XHHGOFR, 5704487]
[paragraph, [177.0, 399.0, 886.0, 36.0], shoonya_2sESNQ2XHHGOFR, 5704487]
[paragraph, [177.0, 435.0, 886.0, 36.0], shoonya_2sESNQ2XHHGOFR, 5704487]
[paragraph, [177.0, 471.0, 886.0, 36.0], shoonya_2sESNQ2XHHGOFR, 5704487]
[paragraph, [177.0, 507.0, 886.0, 36.0], shoonya_2sESNQ2XHHGOFR, 5704487]
[paragraph, [177.0, 543.0, 886.0, 36.0], shoonya_2sESNQ2XHHGOFR, 5704487]
[paragraph, [177.0, 579.0, 886.0, 36.0], shoonya_2sESNQ2XHHGOFR, 5704487]
[paragraph, [177.0, 615.0, 886.0, 36.0], shoonya_2sESNQ2XHHGOFR, 5704487]
[paragraph, [177.0, 651.0, 886.0, 36.0], shoonya_2sESNQ2XHHGOFR, 5704487]
[paragraph, [177.0, 687.0, 886.0, 36.0], shoonya_2sESNQ2XHHGOFR, 5704487]
[paragraph, [177.0, 723.0, 886.0, 36.0], shoonya_2sESNQ2XHHGOFR, 5704487]
[paragraph, [177.0, 759.0, 886.0, 36.0], shoonya_2sESNQ2XHHGOFR, 5704487]
[paragraph, [177.0, 795.0, 886.0, 36.0], shoonya_2sESNQ2XHHGOFR, 5704487]
[paragraph, [176.0, 891.0, 884.0, 36.0], shoonya_0s8QT1CPLZLN40, 5704487]
[paragraph, [176.0, 927.0, 884.0, 36.0], shoonya_0s8QT1CPLZLN40, 5704487]
[paragraph, [176.0, 963.0, 884.0, 36.0], shoonya_0s8QT1CPLZLN40, 5704487]
[paragraph, [176.0, 999.0, 884.0, 36.0], shoonya_0s8QT1CPLZLN40, 5704487]
[paragraph, [176.0, 1035.0, 884.0, 36.0], shoonya_0s8QT1CPLZLN40, 5704487]
[paragraph, [176.0, 1071.0, 884.0, 36.0], shoonya_0s8QT1CPLZLN40, 5704487]
[paragraph, [176.0, 1107.0, 884.0, 36.0], shoonya_0s8QT1CPLZLN40, 5704487]
[paragraph, [176.0, 1143.0, 884.0, 36.0], shoonya_0s8QT1CPLZLN40, 5704487]
[paragraph, [176.0, 1179.0, 884.0, 36.0], shoonya_0s8QT1CPLZLN40, 5704487]
[paragraph, [176.0, 1215.0, 884.0, 36.0], shoonya_0s8QT1CPLZLN40, 5704487]
[paragraph, [176.0, 1251.0, 884.0, 36.0], shoonya_0s8QT1CPLZLN40, 5704487]
[paragraph, [176.0, 1287.0, 884.0, 36.0], shoonya_0s8QT1CPLZLN40, 5704487]
[paragraph, [176.0, 1323.0, 884.0, 36.0], shoonya_0s8QT1CPLZLN40, 5704487]
[paragraph, [176.0, 1359.0, 884.0, 36.0], shoonya_0s8QT1CPLZLN40, 5704487]
[paragraph, [176.0, 1426.0, 886.0, 36.0], shoonya_1sMBBV0CP6D8DU, 5704487]
[paragraph, [176.0, 1462.0, 886.0, 36.0], shoonya_1sMBBV0CP6D8DU, 5704487]
[paragraph, [176.0, 1498.0, 886.0, 36.0], shoonya_1sMBBV0CP6D8DU, 5704487]
[paragraph, [176.0, 1534.0, 886.0, 36.0], shoonya_1sMBBV0CP6D8DU, 5704487]
