[1387, 987]
[paragraph, [87.0, 95.0, 810.0, 18.0], shoonya_0sU7GU0F6EXZ22, 5652675]
[paragraph, [87.0, 113.0, 810.0, 18.0], shoonya_0sU7GU0F6EXZ22, 5652675]
[paragraph, [87.0, 131.0, 810.0, 18.0], shoonya_0sU7GU0F6EXZ22, 5652675]
[paragraph, [87.0, 149.0, 810.0, 18.0], shoonya_0sU7GU0F6EXZ22, 5652675]
[paragraph, [87.0, 167.0, 810.0, 18.0], shoonya_0sU7GU0F6EXZ22, 5652675]
[paragraph, [87.0, 185.0, 810.0, 18.0], shoonya_0sU7GU0F6EXZ22, 5652675]
[paragraph, [87.0, 203.0, 810.0, 18.0], shoonya_0sU7GU0F6EXZ22, 5652675]
[paragraph, [87.0, 221.0, 810.0, 18.0], shoonya_0sU7GU0F6EXZ22, 5652675]
[paragraph, [87.0, 239.0, 810.0, 18.0], shoonya_0sU7GU0F6EXZ22, 5652675]
[paragraph, [87.0, 257.0, 810.0, 18.0], shoonya_0sU7GU0F6EXZ22, 5652675]
[paragraph, [87.0, 275.0, 810.0, 18.0], shoonya_0sU7GU0F6EXZ22, 5652675]
[paragraph, [87.0, 293.0, 810.0, 18.0], shoonya_0sU7GU0F6EXZ22, 5652675]
[paragraph, [87.0, 311.0, 810.0, 18.0], shoonya_0sU7GU0F6EXZ22, 5652675]
[paragraph, [87.0, 329.0, 810.0, 18.0], shoonya_0sU7GU0F6EXZ22, 5652675]
[paragraph, [87.0, 347.0, 810.0, 18.0], shoonya_0sU7GU0F6EXZ22, 5652675]
[paragraph, [87.0, 365.0, 810.0, 18.0], shoonya_0sU7GU0F6EXZ22, 5652675]
[paragraph, [87.0, 391.0, 819.0, 18.0], shoonya_1sY96C6VFFRF17, 5652675]
[paragraph, [87.0, 409.0, 819.0, 18.0], shoonya_1sY96C6VFFRF17, 5652675]
[paragraph, [87.0, 427.0, 819.0, 18.0], shoonya_1sY96C6VFFRF17, 5652675]
[paragraph, [87.0, 445.0, 819.0, 18.0], shoonya_1sY96C6VFFRF17, 5652675]
[paragraph, [87.0, 463.0, 819.0, 18.0], shoonya_1sY96C6VFFRF17, 5652675]
[paragraph, [87.0, 481.0, 819.0, 18.0], shoonya_1sY96C6VFFRF17, 5652675]
[paragraph, [87.0, 499.0, 819.0, 18.0], shoonya_1sY96C6VFFRF17, 5652675]
[paragraph, [87.0, 517.0, 819.0, 18.0], shoonya_1sY96C6VFFRF17, 5652675]
[paragraph, [87.0, 535.0, 819.0, 18.0], shoonya_1sY96C6VFFRF17, 5652675]
[paragraph, [87.0, 553.0, 819.0, 18.0], shoonya_1sY96C6VFFRF17, 5652675]
[paragraph, [87.0, 571.0, 819.0, 18.0], shoonya_1sY96C6VFFRF17, 5652675]
[paragraph, [87.0, 589.0, 819.0, 18.0], shoonya_1sY96C6VFFRF17, 5652675]
[paragraph, [87.0, 607.0, 819.0, 18.0], shoonya_1sY96C6VFFRF17, 5652675]
[paragraph, [87.0, 625.0, 819.0, 18.0], shoonya_1sY96C6VFFRF17, 5652675]
[paragraph, [87.0, 643.0, 819.0, 18.0], shoonya_1sY96C6VFFRF17, 5652675]
[paragraph, [87.0, 661.0, 819.0, 18.0], shoonya_1sY96C6VFFRF17, 5652675]
[paragraph, [87.0, 679.0, 819.0, 18.0], shoonya_1sY96C6VFFRF17, 5652675]
[paragraph, [87.0, 697.0, 819.0, 18.0], shoonya_1sY96C6VFFRF17, 5652675]
[paragraph, [87.0, 715.0, 819.0, 18.0], shoonya_1sY96C6VFFRF17, 5652675]
[paragraph, [87.0, 733.0, 819.0, 18.0], shoonya_1sY96C6VFFRF17, 5652675]
[paragraph, [87.0, 751.0, 819.0, 18.0], shoonya_1sY96C6VFFRF17, 5652675]
[paragraph, [87.0, 769.0, 819.0, 18.0], shoonya_1sY96C6VFFRF17, 5652675]
[paragraph, [87.0, 787.0, 819.0, 18.0], shoonya_1sY96C6VFFRF17, 5652675]
[paragraph, [87.0, 805.0, 819.0, 18.0], shoonya_1sY96C6VFFRF17, 5652675]
[paragraph, [87.0, 823.0, 819.0, 18.0], shoonya_1sY96C6VFFRF17, 5652675]
[paragraph, [87.0, 841.0, 819.0, 18.0], shoonya_1sY96C6VFFRF17, 5652675]
[paragraph, [87.0, 859.0, 819.0, 18.0], shoonya_1sY96C6VFFRF17, 5652675]
[paragraph, [87.0, 877.0, 819.0, 18.0], shoonya_1sY96C6VFFRF17, 5652675]
[paragraph, [87.0, 895.0, 819.0, 18.0], shoonya_1sY96C6VFFRF17, 5652675]
[paragraph, [87.0, 913.0, 819.0, 18.0], shoonya_1sY96C6VFFRF17, 5652675]
[paragraph, [87.0, 931.0, 819.0, 18.0], shoonya_1sY96C6VFFRF17, 5652675]
[paragraph, [87.0, 949.0, 819.0, 18.0], shoonya_1sY96C6VFFRF17, 5652675]
[paragraph, [87.0, 967.0, 819.0, 18.0], shoonya_1sY96C6VFFRF17, 5652675]
[paragraph, [87.0, 985.0, 819.0, 18.0], shoonya_1sY96C6VFFRF17, 5652675]
[paragraph, [87.0, 1003.0, 819.0, 18.0], shoonya_1sY96C6VFFRF17, 5652675]
[paragraph, [87.0, 1021.0, 819.0, 18.0], shoonya_1sY96C6VFFRF17, 5652675]
[paragraph, [87.0, 1039.0, 819.0, 18.0], shoonya_1sY96C6VFFRF17, 5652675]
[paragraph, [87.0, 1057.0, 819.0, 18.0], shoonya_1sY96C6VFFRF17, 5652675]
[paragraph, [87.0, 1075.0, 819.0, 18.0], shoonya_1sY96C6VFFRF17, 5652675]
[paragraph, [87.0, 1093.0, 819.0, 18.0], shoonya_1sY96C6VFFRF17, 5652675]
[paragraph, [87.0, 1111.0, 819.0, 18.0], shoonya_1sY96C6VFFRF17, 5652675]
[paragraph, [87.0, 1129.0, 819.0, 18.0], shoonya_1sY96C6VFFRF17, 5652675]
[paragraph, [87.0, 1147.0, 819.0, 18.0], shoonya_1sY96C6VFFRF17, 5652675]
[paragraph, [87.0, 1165.0, 819.0, 18.0], shoonya_1sY96C6VFFRF17, 5652675]
[paragraph, [87.0, 1183.0, 819.0, 18.0], shoonya_1sY96C6VFFRF17, 5652675]
