[1492, 1000]
[folio, [411.0, 158.0, 203.0, 18.0], shoonya_2sZV0OVNC29P7D, 5720379]
[paragraph, [154.0, 217.0, 720.0, 18.0], shoonya_0sFBY6ADGOX99R, 5720379]
[paragraph, [154.0, 235.0, 720.0, 18.0], shoonya_0sFBY6ADGOX99R, 5720379]
[paragraph, [154.0, 253.0, 720.0, 18.0], shoonya_0sFBY6ADGOX99R, 5720379]
[paragraph, [154.0, 271.0, 720.0, 18.0], shoonya_0sFBY6ADGOX99R, 5720379]
[paragraph, [154.0, 289.0, 720.0, 18.0], shoonya_0sFBY6ADGOX99R, 5720379]
[paragraph, [154.0, 307.0, 720.0, 18.0], shoonya_0sFBY6ADGOX99R, 5720379]
[paragraph, [151.0, 331.0, 725.0, 18.0], shoonya_1s20FE61ZV4A7U, 5720379]
[paragraph, [151.0, 349.0, 725.0, 18.0], shoonya_1s20FE61ZV4A7U, 5720379]
[paragraph, [151.0, 367.0, 725.0, 18.0], shoonya_1s20FE61ZV4A7U, 5720379]
[paragraph, [151.0, 385.0, 725.0, 18.0], shoonya_1s20FE61ZV4A7U, 5720379]
[paragraph, [151.0, 403.0, 725.0, 18.0], shoonya_1s20FE61ZV4A7U, 5720379]
[paragraph, [151.0, 421.0, 725.0, 18.0], shoonya_1s20FE61ZV4A7U, 5720379]
[paragraph, [151.0, 439.0, 725.0, 18.0], shoonya_1s20FE61ZV4A7U, 5720379]
[paragraph, [151.0, 457.0, 725.0, 18.0], shoonya_1s20FE61ZV4A7U, 5720379]
[paragraph, [151.0, 475.0, 725.0, 18.0], shoonya_1s20FE61ZV4A7U, 5720379]
[paragraph, [151.0, 493.0, 725.0, 18.0], shoonya_1s20FE61ZV4A7U, 5720379]
[paragraph, [151.0, 511.0, 725.0, 18.0], shoonya_1s20FE61ZV4A7U, 5720379]
[paragraph, [151.0, 529.0, 725.0, 18.0], shoonya_1s20FE61ZV4A7U, 5720379]
[paragraph, [151.0, 547.0, 725.0, 18.0], shoonya_1s20FE61ZV4A7U, 5720379]
[paragraph, [151.0, 565.0, 725.0, 18.0], shoonya_1s20FE61ZV4A7U, 5720379]
[paragraph, [151.0, 583.0, 725.0, 18.0], shoonya_1s20FE61ZV4A7U, 5720379]
[paragraph, [151.0, 601.0, 725.0, 18.0], shoonya_1s20FE61ZV4A7U, 5720379]
[paragraph, [151.0, 619.0, 725.0, 18.0], shoonya_1s20FE61ZV4A7U, 5720379]
[paragraph, [151.0, 637.0, 725.0, 18.0], shoonya_1s20FE61ZV4A7U, 5720379]
[paragraph, [151.0, 655.0, 725.0, 18.0], shoonya_1s20FE61ZV4A7U, 5720379]
[paragraph, [151.0, 673.0, 725.0, 18.0], shoonya_1s20FE61ZV4A7U, 5720379]
[paragraph, [151.0, 691.0, 725.0, 18.0], shoonya_1s20FE61ZV4A7U, 5720379]
[paragraph, [151.0, 709.0, 725.0, 18.0], shoonya_1s20FE61ZV4A7U, 5720379]
[paragraph, [151.0, 727.0, 725.0, 18.0], shoonya_1s20FE61ZV4A7U, 5720379]
[paragraph, [151.0, 745.0, 725.0, 18.0], shoonya_1s20FE61ZV4A7U, 5720379]
[paragraph, [151.0, 763.0, 725.0, 18.0], shoonya_1s20FE61ZV4A7U, 5720379]
[paragraph, [151.0, 781.0, 725.0, 18.0], shoonya_1s20FE61ZV4A7U, 5720379]
[paragraph, [151.0, 799.0, 725.0, 18.0], shoonya_1s20FE61ZV4A7U, 5720379]
[paragraph, [151.0, 817.0, 725.0, 18.0], shoonya_1s20FE61ZV4A7U, 5720379]
[paragraph, [151.0, 835.0, 725.0, 18.0], shoonya_1s20FE61ZV4A7U, 5720379]
[paragraph, [151.0, 853.0, 725.0, 18.0], shoonya_1s20FE61ZV4A7U, 5720379]
[paragraph, [151.0, 871.0, 725.0, 18.0], shoonya_1s20FE61ZV4A7U, 5720379]
[paragraph, [151.0, 889.0, 725.0, 18.0], shoonya_1s20FE61ZV4A7U, 5720379]
[paragraph, [151.0, 907.0, 725.0, 18.0], shoonya_1s20FE61ZV4A7U, 5720379]
[paragraph, [151.0, 925.0, 725.0, 18.0], shoonya_1s20FE61ZV4A7U, 5720379]
[paragraph, [151.0, 943.0, 725.0, 18.0], shoonya_1s20FE61ZV4A7U, 5720379]
[paragraph, [151.0, 961.0, 725.0, 18.0], shoonya_1s20FE61ZV4A7U, 5720379]
[paragraph, [151.0, 979.0, 725.0, 18.0], shoonya_1s20FE61ZV4A7U, 5720379]
[paragraph, [151.0, 997.0, 725.0, 18.0], shoonya_1s20FE61ZV4A7U, 5720379]
[paragraph, [151.0, 1015.0, 725.0, 18.0], shoonya_1s20FE61ZV4A7U, 5720379]
[paragraph, [151.0, 1033.0, 725.0, 18.0], shoonya_1s20FE61ZV4A7U, 5720379]
[paragraph, [151.0, 1051.0, 725.0, 18.0], shoonya_1s20FE61ZV4A7U, 5720379]
[paragraph, [147.0, 1077.0, 731.0, 18.0], VnDLiUdf1F, 5720379]
[paragraph, [147.0, 1095.0, 731.0, 18.0], VnDLiUdf1F, 5720379]
[paragraph, [147.0, 1113.0, 731.0, 18.0], VnDLiUdf1F, 5720379]
[paragraph, [147.0, 1131.0, 731.0, 18.0], VnDLiUdf1F, 5720379]
[paragraph, [147.0, 1149.0, 731.0, 18.0], VnDLiUdf1F, 5720379]
[paragraph, [147.0, 1167.0, 731.0, 18.0], VnDLiUdf1F, 5720379]
[paragraph, [147.0, 1185.0, 731.0, 18.0], VnDLiUdf1F, 5720379]
[paragraph, [147.0, 1203.0, 731.0, 18.0], VnDLiUdf1F, 5720379]
[paragraph, [147.0, 1221.0, 731.0, 18.0], VnDLiUdf1F, 5720379]
[paragraph, [147.0, 1239.0, 731.0, 18.0], VnDLiUdf1F, 5720379]
[paragraph, [147.0, 1257.0, 731.0, 18.0], VnDLiUdf1F, 5720379]
[paragraph, [147.0, 1275.0, 731.0, 18.0], VnDLiUdf1F, 5720379]
[paragraph, [147.0, 1293.0, 731.0, 18.0], VnDLiUdf1F, 5720379]
