[2084, 1289]
[ordered-list, [129.0, 268.0, 1036.0, 36.0], shoonya_0sVW3P4CIEPIBV, 5660431]
[ordered-list, [129.0, 304.0, 1036.0, 36.0], shoonya_0sVW3P4CIEPIBV, 5660431]
[ordered-list, [129.0, 340.0, 1036.0, 36.0], shoonya_0sVW3P4CIEPIBV, 5660431]
[ordered-list, [129.0, 376.0, 1036.0, 36.0], shoonya_0sVW3P4CIEPIBV, 5660431]
[ordered-list, [129.0, 412.0, 1036.0, 36.0], shoonya_0sVW3P4CIEPIBV, 5660431]
[paragraph, [133.0, 478.0, 1025.0, 36.0], shoonya_4sQKJBZSW3IHUW, 5660431]
[paragraph, [133.0, 514.0, 1025.0, 36.0], shoonya_4sQKJBZSW3IHUW, 5660431]
[paragraph, [133.0, 550.0, 1025.0, 36.0], shoonya_4sQKJBZSW3IHUW, 5660431]
[paragraph, [133.0, 586.0, 1025.0, 36.0], shoonya_4sQKJBZSW3IHUW, 5660431]
[ordered-list, [126.0, 643.0, 1033.0, 36.0], shoonya_3s73GHS4FR7Z52, 5660431]
[ordered-list, [126.0, 679.0, 1033.0, 36.0], shoonya_3s73GHS4FR7Z52, 5660431]
[ordered-list, [126.0, 715.0, 1033.0, 36.0], shoonya_3s73GHS4FR7Z52, 5660431]
[ordered-list, [126.0, 751.0, 1033.0, 36.0], shoonya_3s73GHS4FR7Z52, 5660431]
[ordered-list, [126.0, 787.0, 1033.0, 36.0], shoonya_3s73GHS4FR7Z52, 5660431]
[ordered-list, [126.0, 823.0, 1033.0, 36.0], shoonya_3s73GHS4FR7Z52, 5660431]
[ordered-list, [126.0, 859.0, 1033.0, 36.0], shoonya_3s73GHS4FR7Z52, 5660431]
[ordered-list, [126.0, 895.0, 1033.0, 36.0], shoonya_3s73GHS4FR7Z52, 5660431]
[ordered-list, [126.0, 931.0, 1033.0, 36.0], shoonya_3s73GHS4FR7Z52, 5660431]
[ordered-list, [126.0, 967.0, 1033.0, 36.0], shoonya_3s73GHS4FR7Z52, 5660431]
[ordered-list, [126.0, 1003.0, 1033.0, 36.0], shoonya_3s73GHS4FR7Z52, 5660431]
[ordered-list, [126.0, 1039.0, 1033.0, 36.0], shoonya_3s73GHS4FR7Z52, 5660431]
[ordered-list, [126.0, 1075.0, 1033.0, 36.0], shoonya_3s73GHS4FR7Z52, 5660431]
[ordered-list, [126.0, 1111.0, 1033.0, 36.0], shoonya_3s73GHS4FR7Z52, 5660431]
[ordered-list, [126.0, 1147.0, 1033.0, 36.0], shoonya_3s73GHS4FR7Z52, 5660431]
[ordered-list, [126.0, 1183.0, 1033.0, 36.0], shoonya_3s73GHS4FR7Z52, 5660431]
[ordered-list, [126.0, 1219.0, 1033.0, 36.0], shoonya_3s73GHS4FR7Z52, 5660431]
[ordered-list, [126.0, 1255.0, 1033.0, 36.0], shoonya_3s73GHS4FR7Z52, 5660431]
[ordered-list, [126.0, 1291.0, 1033.0, 36.0], shoonya_3s73GHS4FR7Z52, 5660431]
[ordered-list, [126.0, 1327.0, 1033.0, 36.0], shoonya_3s73GHS4FR7Z52, 5660431]
[ordered-list, [126.0, 1363.0, 1033.0, 36.0], shoonya_3s73GHS4FR7Z52, 5660431]
[ordered-list, [126.0, 1399.0, 1033.0, 36.0], shoonya_3s73GHS4FR7Z52, 5660431]
[ordered-list, [126.0, 1435.0, 1033.0, 36.0], shoonya_3s73GHS4FR7Z52, 5660431]
[ordered-list, [126.0, 1471.0, 1033.0, 36.0], shoonya_3s73GHS4FR7Z52, 5660431]
[ordered-list, [126.0, 1507.0, 1033.0, 36.0], shoonya_3s73GHS4FR7Z52, 5660431]
[ordered-list, [126.0, 1543.0, 1033.0, 36.0], shoonya_3s73GHS4FR7Z52, 5660431]
[ordered-list, [126.0, 1579.0, 1033.0, 36.0], shoonya_3s73GHS4FR7Z52, 5660431]
[ordered-list, [126.0, 1615.0, 1033.0, 36.0], shoonya_3s73GHS4FR7Z52, 5660431]
[ordered-list, [126.0, 1651.0, 1033.0, 36.0], shoonya_3s73GHS4FR7Z52, 5660431]
[ordered-list, [126.0, 1687.0, 1033.0, 36.0], shoonya_3s73GHS4FR7Z52, 5660431]
[ordered-list, [126.0, 1723.0, 1033.0, 36.0], shoonya_3s73GHS4FR7Z52, 5660431]
[ordered-list, [126.0, 1759.0, 1033.0, 36.0], shoonya_3s73GHS4FR7Z52, 5660431]
[ordered-list, [126.0, 1795.0, 1033.0, 36.0], shoonya_3s73GHS4FR7Z52, 5660431]
[ordered-list, [126.0, 1831.0, 1033.0, 36.0], shoonya_3s73GHS4FR7Z52, 5660431]
[folio, [633.0, 1938.0, 655.0, 36.0], shoonya_2sW2NNWJ4OY14U, 5660431]
[folio, [633.0, 1974.0, 655.0, 36.0], shoonya_2sW2NNWJ4OY14U, 5660431]
