[1250, 1650]
[sub-headline, [577.0, 37.0, 175.0, 25.5], 2G1wCHw-Hs, 5725821]
[headline, [30.0, 41.0, 482.0, 25.5], DYiDndUzJb, 5725821]
[headline, [30.0, 66.5, 482.0, 25.5], DYiDndUzJb, 5725821]
[paragraph, [567.0, 76.0, 536.0, 18.0], LFvIphm_3B, 5725821]
[paragraph, [567.0, 94.0, 536.0, 18.0], LFvIphm_3B, 5725821]
[paragraph, [567.0, 112.0, 536.0, 18.0], LFvIphm_3B, 5725821]
[paragraph, [567.0, 130.0, 536.0, 18.0], LFvIphm_3B, 5725821]
[paragraph, [567.0, 148.0, 536.0, 18.0], LFvIphm_3B, 5725821]
[paragraph, [567.0, 166.0, 536.0, 18.0], LFvIphm_3B, 5725821]
[paragraph, [567.0, 184.0, 536.0, 18.0], LFvIphm_3B, 5725821]
[paragraph, [567.0, 202.0, 536.0, 18.0], LFvIphm_3B, 5725821]
[paragraph, [567.0, 220.0, 536.0, 18.0], LFvIphm_3B, 5725821]
[paragraph, [567.0, 238.0, 536.0, 18.0], LFvIphm_3B, 5725821]
[paragraph, [567.0, 256.0, 536.0, 18.0], LFvIphm_3B, 5725821]
[paragraph, [567.0, 274.0, 536.0, 18.0], LFvIphm_3B, 5725821]
[paragraph, [567.0, 292.0, 536.0, 18.0], LFvIphm_3B, 5725821]
[paragraph, [567.0, 310.0, 536.0, 18.0], LFvIphm_3B, 5725821]
[paragraph, [567.0, 328.0, 536.0, 18.0], LFvIphm_3B, 5725821]
[paragraph, [12.0, 94.0, 525.0, 18.0], krFg5-749z, 5725821]
[paragraph, [12.0, 112.0, 525.0, 18.0], krFg5-749z, 5725821]
[paragraph, [12.0, 130.0, 525.0, 18.0], krFg5-749z, 5725821]
[paragraph, [12.0, 148.0, 525.0, 18.0], krFg5-749z, 5725821]
[paragraph, [12.0, 166.0, 525.0, 18.0], krFg5-749z, 5725821]
[paragraph, [12.0, 184.0, 525.0, 18.0], krFg5-749z, 5725821]
[paragraph, [12.0, 202.0, 525.0, 18.0], krFg5-749z, 5725821]
[paragraph, [12.0, 220.0, 525.0, 18.0], krFg5-749z, 5725821]
[paragraph, [12.0, 238.0, 525.0, 18.0], krFg5-749z, 5725821]
[paragraph, [12.0, 256.0, 525.0, 18.0], krFg5-749z, 5725821]
[paragraph, [12.0, 274.0, 525.0, 18.0], krFg5-749z, 5725821]
[paragraph, [12.0, 292.0, 525.0, 18.0], krFg5-749z, 5725821]
[paragraph, [12.0, 310.0, 525.0, 18.0], krFg5-749z, 5725821]
[paragraph, [12.0, 328.0, 525.0, 18.0], krFg5-749z, 5725821]
[paragraph, [12.0, 346.0, 525.0, 18.0], krFg5-749z, 5725821]
[paragraph, [12.0, 364.0, 525.0, 18.0], krFg5-749z, 5725821]
[paragraph, [12.0, 382.0, 525.0, 18.0], krFg5-749z, 5725821]
[sub-headline, [1128.0, 363.0, 154.0, 25.5], ZgnKyDAsDF, 5725821]
[paragraph, [1124.0, 404.0, 525.0, 18.0], O3qQvWBXmI, 5725821]
[paragraph, [1124.0, 422.0, 525.0, 18.0], O3qQvWBXmI, 5725821]
[paragraph, [1124.0, 440.0, 525.0, 18.0], O3qQvWBXmI, 5725821]
[paragraph, [1124.0, 458.0, 525.0, 18.0], O3qQvWBXmI, 5725821]
[paragraph, [1124.0, 476.0, 525.0, 18.0], O3qQvWBXmI, 5725821]
[paragraph, [1124.0, 494.0, 525.0, 18.0], O3qQvWBXmI, 5725821]
[paragraph, [1124.0, 512.0, 525.0, 18.0], O3qQvWBXmI, 5725821]
[paragraph, [1124.0, 530.0, 525.0, 18.0], O3qQvWBXmI, 5725821]
[paragraph, [1124.0, 548.0, 525.0, 18.0], O3qQvWBXmI, 5725821]
[paragraph, [1124.0, 566.0, 525.0, 18.0], O3qQvWBXmI, 5725821]
