[842, 596]
[paragraph, [84.0, 71.0, 273.0, 18.0], MjK0vLhGeE, 6462368]
[sidebar, [353.0, 72.0, 94.0, 18.0], SUpJTSKKzK, 6462368]
[paragraph, [80.0, 102.0, 398.0, 18.0], DhvcbYEXIV, 6462368]
[paragraph, [80.0, 120.0, 398.0, 18.0], DhvcbYEXIV, 6462368]
[paragraph, [80.0, 138.0, 398.0, 18.0], DhvcbYEXIV, 6462368]
[sidebar, [302.0, 134.0, 91.0, 18.0], DGvNiT3Ilx, 6462368]
[paragraph, [83.0, 162.0, 445.0, 18.0], 3mhG4quBi2, 6462368]
[paragraph, [83.0, 180.0, 445.0, 18.0], 3mhG4quBi2, 6462368]
[paragraph, [83.0, 198.0, 445.0, 18.0], 3mhG4quBi2, 6462368]
[paragraph, [83.0, 227.0, 316.0, 18.0], UWndSFgwUy, 6462368]
[paragraph, [83.0, 245.0, 316.0, 18.0], UWndSFgwUy, 6462368]
[sidebar, [291.0, 257.0, 102.0, 18.0], uruIyBrwkf, 6462368]
[paragraph, [79.0, 284.0, 453.0, 18.0], kGCiHdwhls, 6462368]
[paragraph, [79.0, 302.0, 453.0, 18.0], kGCiHdwhls, 6462368]
[paragraph, [79.0, 320.0, 453.0, 18.0], kGCiHdwhls, 6462368]
[paragraph, [79.0, 338.0, 453.0, 18.0], kGCiHdwhls, 6462368]
[paragraph, [79.0, 356.0, 453.0, 18.0], kGCiHdwhls, 6462368]
[paragraph, [79.0, 374.0, 453.0, 18.0], kGCiHdwhls, 6462368]
[paragraph, [79.0, 392.0, 453.0, 18.0], kGCiHdwhls, 6462368]
[paragraph, [79.0, 410.0, 453.0, 18.0], kGCiHdwhls, 6462368]
[paragraph, [79.0, 428.0, 453.0, 18.0], kGCiHdwhls, 6462368]
