[590, 396]
[chapter-title, [67.0, 145.0, 122.0, 30.0], shoonya_0sVT7ZYXXRBRP7, 6513196]
[paragraph, [68.0, 193.0, 296.0, 18.0], shoonya_1sCUECK6GGM1U8, 6513196]
[paragraph, [68.0, 211.0, 296.0, 18.0], shoonya_1sCUECK6GGM1U8, 6513196]
[paragraph, [68.0, 229.0, 296.0, 18.0], shoonya_1sCUECK6GGM1U8, 6513196]
[paragraph, [68.0, 247.0, 296.0, 18.0], shoonya_1sCUECK6GGM1U8, 6513196]
[paragraph, [68.0, 265.0, 296.0, 18.0], shoonya_1sCUECK6GGM1U8, 6513196]
[paragraph, [68.0, 283.0, 296.0, 18.0], shoonya_1sCUECK6GGM1U8, 6513196]
[paragraph, [68.0, 301.0, 296.0, 18.0], shoonya_1sCUECK6GGM1U8, 6513196]
[paragraph, [68.0, 319.0, 296.0, 18.0], shoonya_1sCUECK6GGM1U8, 6513196]
[paragraph, [68.0, 337.0, 296.0, 18.0], shoonya_1sCUECK6GGM1U8, 6513196]
[paragraph, [68.0, 361.0, 297.0, 18.0], shoonya_2sYDYFQOFB2P1E, 6513196]
[paragraph, [68.0, 379.0, 297.0, 18.0], shoonya_2sYDYFQOFB2P1E, 6513196]
[paragraph, [68.0, 397.0, 297.0, 18.0], shoonya_2sYDYFQOFB2P1E, 6513196]
[paragraph, [68.0, 415.0, 297.0, 18.0], shoonya_2sYDYFQOFB2P1E, 6513196]
[paragraph, [68.0, 433.0, 297.0, 18.0], shoonya_2sYDYFQOFB2P1E, 6513196]
[paragraph, [68.0, 451.0, 297.0, 18.0], shoonya_2sYDYFQOFB2P1E, 6513196]
[paragraph, [68.0, 469.0, 297.0, 18.0], shoonya_2sYDYFQOFB2P1E, 6513196]
[paragraph, [68.0, 487.0, 297.0, 18.0], shoonya_2sYDYFQOFB2P1E, 6513196]
[paragraph, [68.0, 505.0, 297.0, 18.0], shoonya_2sYDYFQOFB2P1E, 6513196]
