[792, 612]
[ordered-list, [50.0, 57.0, 499.0, 18.0], shoonya_0sC5ABGATLVQQG, 5757047]
[ordered-list, [50.0, 75.0, 499.0, 18.0], shoonya_0sC5ABGATLVQQG, 5757047]
[ordered-list, [50.0, 93.0, 499.0, 18.0], shoonya_0sC5ABGATLVQQG, 5757047]
[ordered-list, [50.0, 111.0, 499.0, 18.0], shoonya_0sC5ABGATLVQQG, 5757047]
[ordered-list, [50.0, 129.0, 499.0, 18.0], shoonya_0sC5ABGATLVQQG, 5757047]
[ordered-list, [50.0, 147.0, 499.0, 18.0], shoonya_0sC5ABGATLVQQG, 5757047]
[ordered-list, [50.0, 165.0, 499.0, 18.0], shoonya_0sC5ABGATLVQQG, 5757047]
[ordered-list, [50.0, 183.0, 499.0, 18.0], shoonya_0sC5ABGATLVQQG, 5757047]
[ordered-list, [50.0, 201.0, 499.0, 18.0], shoonya_0sC5ABGATLVQQG, 5757047]
[ordered-list, [50.0, 219.0, 499.0, 18.0], shoonya_0sC5ABGATLVQQG, 5757047]
[ordered-list, [50.0, 237.0, 499.0, 18.0], shoonya_0sC5ABGATLVQQG, 5757047]
[ordered-list, [50.0, 255.0, 499.0, 18.0], shoonya_0sC5ABGATLVQQG, 5757047]
[ordered-list, [50.0, 273.0, 499.0, 18.0], shoonya_0sC5ABGATLVQQG, 5757047]
[ordered-list, [50.0, 291.0, 499.0, 18.0], shoonya_0sC5ABGATLVQQG, 5757047]
[ordered-list, [50.0, 309.0, 499.0, 18.0], shoonya_0sC5ABGATLVQQG, 5757047]
[ordered-list, [50.0, 327.0, 499.0, 18.0], shoonya_0sC5ABGATLVQQG, 5757047]
[ordered-list, [50.0, 345.0, 499.0, 18.0], shoonya_0sC5ABGATLVQQG, 5757047]
[ordered-list, [50.0, 363.0, 499.0, 18.0], shoonya_0sC5ABGATLVQQG, 5757047]
[ordered-list, [50.0, 381.0, 499.0, 18.0], shoonya_0sC5ABGATLVQQG, 5757047]
[ordered-list, [50.0, 399.0, 499.0, 18.0], shoonya_0sC5ABGATLVQQG, 5757047]
[ordered-list, [50.0, 417.0, 499.0, 18.0], shoonya_0sC5ABGATLVQQG, 5757047]
[ordered-list, [50.0, 435.0, 499.0, 18.0], shoonya_0sC5ABGATLVQQG, 5757047]
[ordered-list, [50.0, 453.0, 499.0, 18.0], shoonya_0sC5ABGATLVQQG, 5757047]
[ordered-list, [50.0, 471.0, 499.0, 18.0], shoonya_0sC5ABGATLVQQG, 5757047]
[ordered-list, [50.0, 489.0, 499.0, 18.0], shoonya_0sC5ABGATLVQQG, 5757047]
[ordered-list, [50.0, 507.0, 499.0, 18.0], shoonya_0sC5ABGATLVQQG, 5757047]
[ordered-list, [50.0, 525.0, 499.0, 18.0], shoonya_0sC5ABGATLVQQG, 5757047]
[ordered-list, [50.0, 543.0, 499.0, 18.0], shoonya_0sC5ABGATLVQQG, 5757047]
[ordered-list, [50.0, 561.0, 499.0, 18.0], shoonya_0sC5ABGATLVQQG, 5757047]
[ordered-list, [50.0, 579.0, 499.0, 18.0], shoonya_0sC5ABGATLVQQG, 5757047]
[ordered-list, [50.0, 597.0, 499.0, 18.0], shoonya_0sC5ABGATLVQQG, 5757047]
[ordered-list, [50.0, 615.0, 499.0, 18.0], shoonya_0sC5ABGATLVQQG, 5757047]
[ordered-list, [50.0, 633.0, 499.0, 18.0], shoonya_0sC5ABGATLVQQG, 5757047]
[ordered-list, [50.0, 651.0, 499.0, 18.0], shoonya_0sC5ABGATLVQQG, 5757047]
[ordered-list, [50.0, 669.0, 499.0, 18.0], shoonya_0sC5ABGATLVQQG, 5757047]
[ordered-list, [50.0, 687.0, 499.0, 18.0], shoonya_0sC5ABGATLVQQG, 5757047]
