[792, 612]
[headline, [55.0, 341.0, 389.0, 25.5], X1K-H3aJTx, 6516789]
[headline, [55.0, 366.5, 389.0, 25.5], X1K-H3aJTx, 6516789]
[headline, [62.0, 408.0, 240.0, 25.5], 3Mz6VMv0OA, 6516789]
[headline, [62.0, 433.5, 240.0, 25.5], 3Mz6VMv0OA, 6516789]
[paragraph, [392.0, 420.0, 164.0, 18.0], lZ4uoOOfiN, 6516789]
[paragraph, [390.0, 447.0, 161.0, 18.0], nQdFOlZA37, 6516789]
[paragraph, [390.0, 465.0, 161.0, 18.0], nQdFOlZA37, 6516789]
[paragraph, [390.0, 483.0, 161.0, 18.0], nQdFOlZA37, 6516789]
[paragraph, [390.0, 501.0, 161.0, 18.0], nQdFOlZA37, 6516789]
[paragraph, [390.0, 519.0, 161.0, 18.0], nQdFOlZA37, 6516789]
[paragraph, [390.0, 537.0, 161.0, 18.0], nQdFOlZA37, 6516789]
[paragraph, [227.0, 503.0, 160.0, 18.0], 1FdU5IAKTr, 6516789]
[paragraph, [227.0, 521.0, 160.0, 18.0], 1FdU5IAKTr, 6516789]
[paragraph, [227.0, 539.0, 160.0, 18.0], 1FdU5IAKTr, 6516789]
[paragraph, [227.0, 557.0, 160.0, 18.0], 1FdU5IAKTr, 6516789]
[paragraph, [227.0, 575.0, 160.0, 18.0], 1FdU5IAKTr, 6516789]
[paragraph, [227.0, 593.0, 160.0, 18.0], 1FdU5IAKTr, 6516789]
[paragraph, [55.0, 505.0, 161.0, 18.0], Z89V2D3tby, 6516789]
[paragraph, [55.0, 523.0, 161.0, 18.0], Z89V2D3tby, 6516789]
[paragraph, [55.0, 541.0, 161.0, 18.0], Z89V2D3tby, 6516789]
[paragraph, [55.0, 559.0, 161.0, 18.0], Z89V2D3tby, 6516789]
[paragraph, [390.0, 566.0, 164.0, 18.0], C_zkW9ojxi, 6516789]
[paragraph, [390.0, 584.0, 164.0, 18.0], C_zkW9ojxi, 6516789]
[paragraph, [390.0, 602.0, 164.0, 18.0], C_zkW9ojxi, 6516789]
[paragraph, [390.0, 620.0, 164.0, 18.0], C_zkW9ojxi, 6516789]
[paragraph, [55.0, 579.0, 162.0, 18.0], hSg-SCNoKD, 6516789]
[paragraph, [55.0, 597.0, 162.0, 18.0], hSg-SCNoKD, 6516789]
[paragraph, [55.0, 615.0, 162.0, 18.0], hSg-SCNoKD, 6516789]
[paragraph, [55.0, 633.0, 162.0, 18.0], hSg-SCNoKD, 6516789]
[paragraph, [55.0, 651.0, 162.0, 18.0], hSg-SCNoKD, 6516789]
[paragraph, [55.0, 669.0, 162.0, 18.0], hSg-SCNoKD, 6516789]
[paragraph, [55.0, 687.0, 162.0, 18.0], hSg-SCNoKD, 6516789]
[paragraph, [227.0, 626.0, 160.0, 18.0], p7ZovJAw6K, 6516789]
[paragraph, [227.0, 644.0, 160.0, 18.0], p7ZovJAw6K, 6516789]
[paragraph, [227.0, 662.0, 160.0, 18.0], p7ZovJAw6K, 6516789]
[paragraph, [227.0, 680.0, 160.0, 18.0], p7ZovJAw6K, 6516789]
[paragraph, [227.0, 698.0, 160.0, 18.0], p7ZovJAw6K, 6516789]
[paragraph, [227.0, 716.0, 160.0, 18.0], p7ZovJAw6K, 6516789]
[paragraph, [391.0, 675.0, 163.0, 18.0], D0a5qGOMWM, 6516789]
[paragraph, [391.0, 693.0, 163.0, 18.0], D0a5qGOMWM, 6516789]
[paragraph, [391.0, 711.0, 163.0, 18.0], D0a5qGOMWM, 6516789]
[paragraph, [391.0, 729.0, 163.0, 18.0], D0a5qGOMWM, 6516789]
