[792, 612]
[folio, [310.0, 113.0, 154.0, 18.0], kvd1xVi7yV, 6517195]
[paragraph, [146.0, 142.0, 327.0, 18.0], VaTg6X5s7-, 6517195]
[paragraph, [146.0, 160.0, 327.0, 18.0], VaTg6X5s7-, 6517195]
[paragraph, [146.0, 178.0, 327.0, 18.0], VaTg6X5s7-, 6517195]
[paragraph, [146.0, 196.0, 327.0, 18.0], VaTg6X5s7-, 6517195]
[paragraph, [146.0, 214.0, 327.0, 18.0], VaTg6X5s7-, 6517195]
[paragraph, [146.0, 232.0, 327.0, 18.0], VaTg6X5s7-, 6517195]
[paragraph, [147.0, 266.0, 318.0, 18.0], GSsMnQq8c8, 6517195]
[paragraph, [147.0, 284.0, 318.0, 18.0], GSsMnQq8c8, 6517195]
[paragraph, [147.0, 302.0, 318.0, 18.0], GSsMnQq8c8, 6517195]
[paragraph, [147.0, 320.0, 318.0, 18.0], GSsMnQq8c8, 6517195]
[paragraph, [147.0, 338.0, 318.0, 18.0], GSsMnQq8c8, 6517195]
[paragraph, [147.0, 356.0, 318.0, 18.0], GSsMnQq8c8, 6517195]
[paragraph, [147.0, 374.0, 318.0, 18.0], GSsMnQq8c8, 6517195]
[paragraph, [136.0, 399.0, 335.0, 18.0], d29Hl9LcTh, 6517195]
[paragraph, [136.0, 417.0, 335.0, 18.0], d29Hl9LcTh, 6517195]
[paragraph, [136.0, 435.0, 335.0, 18.0], d29Hl9LcTh, 6517195]
[paragraph, [136.0, 453.0, 335.0, 18.0], d29Hl9LcTh, 6517195]
[ordered-list, [144.0, 489.0, 327.0, 18.0], ZBX2jbI7fd, 6517195]
[ordered-list, [144.0, 507.0, 327.0, 18.0], ZBX2jbI7fd, 6517195]
[ordered-list, [144.0, 525.0, 327.0, 18.0], ZBX2jbI7fd, 6517195]
[ordered-list, [144.0, 543.0, 327.0, 18.0], ZBX2jbI7fd, 6517195]
[ordered-list, [144.0, 561.0, 327.0, 18.0], ZBX2jbI7fd, 6517195]
[ordered-list, [144.0, 579.0, 327.0, 18.0], ZBX2jbI7fd, 6517195]
[ordered-list, [144.0, 597.0, 327.0, 18.0], ZBX2jbI7fd, 6517195]
[ordered-list, [144.0, 615.0, 327.0, 18.0], ZBX2jbI7fd, 6517195]
