[1650, 1275]
[section-title, [117.0, 157.0, 1075.0, 49.5], ya209-J8VR, 5726030]
[ordered-list, [84.0, 242.0, 1139.0, 36.0], UqIY6gK5TR, 5726030]
[ordered-list, [84.0, 278.0, 1139.0, 36.0], UqIY6gK5TR, 5726030]
[ordered-list, [84.0, 314.0, 1139.0, 36.0], UqIY6gK5TR, 5726030]
[ordered-list, [84.0, 350.0, 1139.0, 36.0], UqIY6gK5TR, 5726030]
[ordered-list, [84.0, 386.0, 1139.0, 36.0], UqIY6gK5TR, 5726030]
[ordered-list, [84.0, 422.0, 1139.0, 36.0], UqIY6gK5TR, 5726030]
[ordered-list, [84.0, 458.0, 1139.0, 36.0], UqIY6gK5TR, 5726030]
[ordered-list, [84.0, 494.0, 1139.0, 36.0], UqIY6gK5TR, 5726030]
[ordered-list, [84.0, 530.0, 1139.0, 36.0], UqIY6gK5TR, 5726030]
[ordered-list, [84.0, 566.0, 1139.0, 36.0], UqIY6gK5TR, 5726030]
[ordered-list, [84.0, 602.0, 1139.0, 36.0], UqIY6gK5TR, 5726030]
[ordered-list, [84.0, 638.0, 1139.0, 36.0], UqIY6gK5TR, 5726030]
[ordered-list, [84.0, 674.0, 1139.0, 36.0], UqIY6gK5TR, 5726030]
[ordered-list, [84.0, 710.0, 1139.0, 36.0], UqIY6gK5TR, 5726030]
[ordered-list, [84.0, 746.0, 1139.0, 36.0], UqIY6gK5TR, 5726030]
[ordered-list, [84.0, 782.0, 1139.0, 36.0], UqIY6gK5TR, 5726030]
[ordered-list, [84.0, 818.0, 1139.0, 36.0], UqIY6gK5TR, 5726030]
[ordered-list, [84.0, 854.0, 1139.0, 36.0], UqIY6gK5TR, 5726030]
[ordered-list, [84.0, 890.0, 1139.0, 36.0], UqIY6gK5TR, 5726030]
[sub-ordered-list, [231.0, 288.0, 989.0, 36.0], _OrSPPYNvp, 5726030]
[sub-ordered-list, [226.0, 393.0, 816.0, 36.0], ro9GDMDLgw, 5726030]
[sub-ordered-list, [226.0, 429.0, 816.0, 36.0], ro9GDMDLgw, 5726030]
[sub-ordered-list, [226.0, 465.0, 816.0, 36.0], ro9GDMDLgw, 5726030]
[sub-ordered-list, [226.0, 501.0, 816.0, 36.0], ro9GDMDLgw, 5726030]
[sub-ordered-list, [226.0, 613.0, 626.0, 36.0], Q5zqVccIUj, 5726030]
[sub-ordered-list, [226.0, 748.0, 994.0, 36.0], uoPceIdyyA, 5726030]
[sub-ordered-list, [226.0, 784.0, 994.0, 36.0], uoPceIdyyA, 5726030]
[sub-ordered-list, [226.0, 820.0, 994.0, 36.0], uoPceIdyyA, 5726030]
[sub-ordered-list, [226.0, 856.0, 994.0, 36.0], uoPceIdyyA, 5726030]
[sub-ordered-list, [226.0, 892.0, 994.0, 36.0], uoPceIdyyA, 5726030]
[unordered-list, [165.0, 989.0, 741.0, 36.0], woUEGgyuOQ, 5726030]
[website-link, [224.0, 993.0, 299.0, 18.0], qElb1hrxn2, 5726030]
[website-link, [224.0, 1011.0, 299.0, 18.0], qElb1hrxn2, 5726030]
[figure-caption, [486.0, 1474.0, 377.0, 36.0], 9oKQcwsu8P, 5726030]
