[1300, 750]
[folio, [550.0, 32.0, 125.0, 18.0], shoonya_0sOKLUV0DEW1AZ, 5781793]
[folio, [550.0, 50.0, 125.0, 18.0], shoonya_0sOKLUV0DEW1AZ, 5781793]
[folio, [550.0, 68.0, 125.0, 18.0], shoonya_0sOKLUV0DEW1AZ, 5781793]
[section-title, [301.0, 93.0, 94.0, 30.0], sOwxnZZ9Yp, 5781793]
[ordered-list, [20.0, 130.0, 668.0, 18.0], 6N5Z8FtTwc, 5781793]
[ordered-list, [20.0, 148.0, 668.0, 18.0], 6N5Z8FtTwc, 5781793]
[ordered-list, [20.0, 166.0, 668.0, 18.0], 6N5Z8FtTwc, 5781793]
[ordered-list, [20.0, 184.0, 668.0, 18.0], 6N5Z8FtTwc, 5781793]
[ordered-list, [20.0, 202.0, 668.0, 18.0], 6N5Z8FtTwc, 5781793]
[ordered-list, [20.0, 220.0, 668.0, 18.0], 6N5Z8FtTwc, 5781793]
[ordered-list, [20.0, 238.0, 668.0, 18.0], 6N5Z8FtTwc, 5781793]
[ordered-list, [20.0, 256.0, 668.0, 18.0], 6N5Z8FtTwc, 5781793]
[ordered-list, [20.0, 274.0, 668.0, 18.0], 6N5Z8FtTwc, 5781793]
[ordered-list, [20.0, 292.0, 668.0, 18.0], 6N5Z8FtTwc, 5781793]
[ordered-list, [20.0, 310.0, 668.0, 18.0], 6N5Z8FtTwc, 5781793]
[ordered-list, [20.0, 328.0, 668.0, 18.0], 6N5Z8FtTwc, 5781793]
[ordered-list, [20.0, 346.0, 668.0, 18.0], 6N5Z8FtTwc, 5781793]
[folio, [547.0, 854.0, 126.0, 18.0], X7zZav9YlA, 5781793]
[figure-caption, [48.0, 881.0, 577.0, 18.0], S6naYCzdK6, 5781793]
[ordered-list, [5.0, 921.0, 686.0, 18.0], 7IEnlONAQa, 5781793]
[ordered-list, [5.0, 939.0, 686.0, 18.0], 7IEnlONAQa, 5781793]
[ordered-list, [5.0, 957.0, 686.0, 18.0], 7IEnlONAQa, 5781793]
[ordered-list, [5.0, 975.0, 686.0, 18.0], 7IEnlONAQa, 5781793]
[ordered-list, [5.0, 993.0, 686.0, 18.0], 7IEnlONAQa, 5781793]
[ordered-list, [5.0, 1011.0, 686.0, 18.0], 7IEnlONAQa, 5781793]
[ordered-list, [5.0, 1029.0, 686.0, 18.0], 7IEnlONAQa, 5781793]
[ordered-list, [5.0, 1047.0, 686.0, 18.0], 7IEnlONAQa, 5781793]
[ordered-list, [5.0, 1065.0, 686.0, 18.0], 7IEnlONAQa, 5781793]
[ordered-list, [5.0, 1083.0, 686.0, 18.0], 7IEnlONAQa, 5781793]
[ordered-list, [5.0, 1101.0, 686.0, 18.0], 7IEnlONAQa, 5781793]
[ordered-list, [5.0, 1119.0, 686.0, 18.0], 7IEnlONAQa, 5781793]
[ordered-list, [5.0, 1137.0, 686.0, 18.0], 7IEnlONAQa, 5781793]
[ordered-list, [5.0, 1155.0, 686.0, 18.0], 7IEnlONAQa, 5781793]
[ordered-list, [5.0, 1173.0, 686.0, 18.0], 7IEnlONAQa, 5781793]
[ordered-list, [5.0, 1191.0, 686.0, 18.0], 7IEnlONAQa, 5781793]
[sub-ordered-list, [5.0, 959.0, 685.0, 18.0], uIJekH7I-C, 5781793]
[sub-ordered-list, [5.0, 977.0, 685.0, 18.0], uIJekH7I-C, 5781793]
[sub-ordered-list, [5.0, 995.0, 685.0, 18.0], uIJekH7I-C, 5781793]
[sub-ordered-list, [5.0, 1013.0, 685.0, 18.0], uIJekH7I-C, 5781793]
[sub-ordered-list, [5.0, 1031.0, 685.0, 18.0], uIJekH7I-C, 5781793]
[sub-ordered-list, [5.0, 1049.0, 685.0, 18.0], uIJekH7I-C, 5781793]
[sub-ordered-list, [5.0, 1067.0, 685.0, 18.0], uIJekH7I-C, 5781793]
[sub-ordered-list, [5.0, 1085.0, 685.0, 18.0], uIJekH7I-C, 5781793]
[sub-ordered-list, [5.0, 1103.0, 685.0, 18.0], uIJekH7I-C, 5781793]
[sub-ordered-list, [5.0, 1121.0, 685.0, 18.0], uIJekH7I-C, 5781793]
[sub-ordered-list, [5.0, 1139.0, 685.0, 18.0], uIJekH7I-C, 5781793]
[sub-ordered-list, [5.0, 1157.0, 685.0, 18.0], uIJekH7I-C, 5781793]
[sub-ordered-list, [5.0, 1175.0, 685.0, 18.0], uIJekH7I-C, 5781793]
[sub-ordered-list, [5.0, 1193.0, 685.0, 18.0], uIJekH7I-C, 5781793]
[subsub-ordered-list, [7.0, 1013.0, 683.0, 18.0], rQQd3QZGsS, 5781793]
[subsub-ordered-list, [7.0, 1031.0, 683.0, 18.0], rQQd3QZGsS, 5781793]
[subsub-ordered-list, [7.0, 1049.0, 683.0, 18.0], rQQd3QZGsS, 5781793]
[subsub-ordered-list, [7.0, 1067.0, 683.0, 18.0], rQQd3QZGsS, 5781793]
[subsub-ordered-list, [7.0, 1085.0, 683.0, 18.0], rQQd3QZGsS, 5781793]
[subsub-ordered-list, [7.0, 1103.0, 683.0, 18.0], rQQd3QZGsS, 5781793]
[subsub-ordered-list, [7.0, 1121.0, 683.0, 18.0], rQQd3QZGsS, 5781793]
[subsub-ordered-list, [7.0, 1139.0, 683.0, 18.0], rQQd3QZGsS, 5781793]
[subsub-ordered-list, [7.0, 1157.0, 683.0, 18.0], rQQd3QZGsS, 5781793]
[subsub-ordered-list, [7.0, 1175.0, 683.0, 18.0], rQQd3QZGsS, 5781793]
[subsub-ordered-list, [7.0, 1193.0, 683.0, 18.0], rQQd3QZGsS, 5781793]
