[1951, 1219]
[folio, [240.0, 124.0, 202.0, 36.0], cL8l0yK24F, 5681893]
[paragraph, [123.0, 214.0, 973.0, 36.0], v63BbdQWba, 5681893]
[paragraph, [123.0, 250.0, 973.0, 36.0], v63BbdQWba, 5681893]
[paragraph, [123.0, 286.0, 973.0, 36.0], v63BbdQWba, 5681893]
[paragraph, [123.0, 322.0, 973.0, 36.0], v63BbdQWba, 5681893]
[paragraph, [123.0, 358.0, 973.0, 36.0], v63BbdQWba, 5681893]
[paragraph, [123.0, 394.0, 973.0, 36.0], v63BbdQWba, 5681893]
[paragraph, [126.0, 451.0, 973.0, 36.0], F2CNssNK70, 5681893]
[paragraph, [126.0, 487.0, 973.0, 36.0], F2CNssNK70, 5681893]
[paragraph, [126.0, 523.0, 973.0, 36.0], F2CNssNK70, 5681893]
[paragraph, [126.0, 559.0, 973.0, 36.0], F2CNssNK70, 5681893]
[paragraph, [126.0, 595.0, 973.0, 36.0], F2CNssNK70, 5681893]
[paragraph, [126.0, 631.0, 973.0, 36.0], F2CNssNK70, 5681893]
[paragraph, [126.0, 667.0, 973.0, 36.0], F2CNssNK70, 5681893]
[paragraph, [126.0, 703.0, 973.0, 36.0], F2CNssNK70, 5681893]
[paragraph, [126.0, 739.0, 973.0, 36.0], F2CNssNK70, 5681893]
[paragraph, [126.0, 775.0, 973.0, 36.0], F2CNssNK70, 5681893]
[paragraph, [126.0, 811.0, 973.0, 36.0], F2CNssNK70, 5681893]
[paragraph, [126.0, 847.0, 973.0, 36.0], F2CNssNK70, 5681893]
[paragraph, [126.0, 883.0, 973.0, 36.0], F2CNssNK70, 5681893]
[paragraph, [126.0, 919.0, 973.0, 36.0], F2CNssNK70, 5681893]
[paragraph, [126.0, 955.0, 973.0, 36.0], F2CNssNK70, 5681893]
[paragraph, [126.0, 991.0, 973.0, 36.0], F2CNssNK70, 5681893]
[paragraph, [126.0, 1027.0, 973.0, 36.0], F2CNssNK70, 5681893]
[paragraph, [126.0, 1063.0, 973.0, 36.0], F2CNssNK70, 5681893]
[paragraph, [126.0, 1099.0, 973.0, 36.0], F2CNssNK70, 5681893]
[paragraph, [126.0, 1135.0, 973.0, 36.0], F2CNssNK70, 5681893]
[paragraph, [126.0, 1171.0, 973.0, 36.0], F2CNssNK70, 5681893]
[paragraph, [126.0, 1207.0, 973.0, 36.0], F2CNssNK70, 5681893]
[paragraph, [126.0, 1243.0, 973.0, 36.0], F2CNssNK70, 5681893]
[paragraph, [126.0, 1279.0, 973.0, 36.0], F2CNssNK70, 5681893]
[paragraph, [126.0, 1315.0, 973.0, 36.0], F2CNssNK70, 5681893]
[paragraph, [126.0, 1351.0, 973.0, 36.0], F2CNssNK70, 5681893]
[paragraph, [126.0, 1387.0, 973.0, 36.0], F2CNssNK70, 5681893]
[paragraph, [126.0, 1423.0, 973.0, 36.0], F2CNssNK70, 5681893]
[paragraph, [126.0, 1459.0, 973.0, 36.0], F2CNssNK70, 5681893]
[paragraph, [126.0, 1495.0, 973.0, 36.0], F2CNssNK70, 5681893]
[paragraph, [126.0, 1531.0, 973.0, 36.0], F2CNssNK70, 5681893]
[paragraph, [126.0, 1567.0, 973.0, 36.0], F2CNssNK70, 5681893]
[paragraph, [126.0, 1603.0, 973.0, 36.0], F2CNssNK70, 5681893]
[paragraph, [126.0, 1661.0, 967.0, 36.0], Qm-ZEPmNoG, 5681893]
[paragraph, [126.0, 1697.0, 967.0, 36.0], Qm-ZEPmNoG, 5681893]
[paragraph, [126.0, 1733.0, 967.0, 36.0], Qm-ZEPmNoG, 5681893]
[paragraph, [126.0, 1769.0, 967.0, 36.0], Qm-ZEPmNoG, 5681893]
