[1387, 987]
[paragraph, [62.0, 90.0, 759.0, 18.0], shoonya_0sZLHTIUIP1TX4, 5652521]
[paragraph, [62.0, 108.0, 759.0, 18.0], shoonya_0sZLHTIUIP1TX4, 5652521]
[paragraph, [62.0, 126.0, 759.0, 18.0], shoonya_0sZLHTIUIP1TX4, 5652521]
[paragraph, [62.0, 144.0, 759.0, 18.0], shoonya_0sZLHTIUIP1TX4, 5652521]
[paragraph, [62.0, 162.0, 759.0, 18.0], shoonya_0sZLHTIUIP1TX4, 5652521]
[paragraph, [62.0, 180.0, 759.0, 18.0], shoonya_0sZLHTIUIP1TX4, 5652521]
[paragraph, [64.0, 213.0, 842.0, 18.0], 7BT2n9Hav_, 5652521]
[paragraph, [64.0, 231.0, 842.0, 18.0], 7BT2n9Hav_, 5652521]
[paragraph, [64.0, 249.0, 842.0, 18.0], 7BT2n9Hav_, 5652521]
[paragraph, [64.0, 267.0, 842.0, 18.0], 7BT2n9Hav_, 5652521]
[paragraph, [64.0, 285.0, 842.0, 18.0], 7BT2n9Hav_, 5652521]
[paragraph, [64.0, 303.0, 842.0, 18.0], 7BT2n9Hav_, 5652521]
[paragraph, [64.0, 321.0, 842.0, 18.0], 7BT2n9Hav_, 5652521]
[paragraph, [64.0, 339.0, 842.0, 18.0], 7BT2n9Hav_, 5652521]
[paragraph, [64.0, 357.0, 842.0, 18.0], 7BT2n9Hav_, 5652521]
[paragraph, [64.0, 375.0, 842.0, 18.0], 7BT2n9Hav_, 5652521]
[paragraph, [64.0, 393.0, 842.0, 18.0], 7BT2n9Hav_, 5652521]
[paragraph, [64.0, 411.0, 842.0, 18.0], 7BT2n9Hav_, 5652521]
[paragraph, [64.0, 429.0, 842.0, 18.0], 7BT2n9Hav_, 5652521]
[paragraph, [64.0, 447.0, 842.0, 18.0], 7BT2n9Hav_, 5652521]
[paragraph, [64.0, 465.0, 842.0, 18.0], 7BT2n9Hav_, 5652521]
[paragraph, [64.0, 483.0, 842.0, 18.0], 7BT2n9Hav_, 5652521]
[paragraph, [64.0, 501.0, 842.0, 18.0], 7BT2n9Hav_, 5652521]
[paragraph, [64.0, 519.0, 842.0, 18.0], 7BT2n9Hav_, 5652521]
[paragraph, [64.0, 537.0, 842.0, 18.0], 7BT2n9Hav_, 5652521]
[paragraph, [64.0, 555.0, 842.0, 18.0], 7BT2n9Hav_, 5652521]
[paragraph, [64.0, 573.0, 842.0, 18.0], 7BT2n9Hav_, 5652521]
[paragraph, [64.0, 591.0, 842.0, 18.0], 7BT2n9Hav_, 5652521]
[paragraph, [64.0, 609.0, 842.0, 18.0], 7BT2n9Hav_, 5652521]
[paragraph, [64.0, 627.0, 842.0, 18.0], 7BT2n9Hav_, 5652521]
[paragraph, [64.0, 645.0, 842.0, 18.0], 7BT2n9Hav_, 5652521]
[paragraph, [64.0, 663.0, 842.0, 18.0], 7BT2n9Hav_, 5652521]
[paragraph, [64.0, 681.0, 842.0, 18.0], 7BT2n9Hav_, 5652521]
[paragraph, [64.0, 699.0, 842.0, 18.0], 7BT2n9Hav_, 5652521]
[paragraph, [64.0, 717.0, 842.0, 18.0], 7BT2n9Hav_, 5652521]
[paragraph, [64.0, 735.0, 842.0, 18.0], 7BT2n9Hav_, 5652521]
[paragraph, [64.0, 753.0, 842.0, 18.0], 7BT2n9Hav_, 5652521]
[paragraph, [64.0, 771.0, 842.0, 18.0], 7BT2n9Hav_, 5652521]
[paragraph, [64.0, 789.0, 842.0, 18.0], 7BT2n9Hav_, 5652521]
[paragraph, [64.0, 807.0, 842.0, 18.0], 7BT2n9Hav_, 5652521]
[paragraph, [64.0, 825.0, 842.0, 18.0], 7BT2n9Hav_, 5652521]
[paragraph, [64.0, 843.0, 842.0, 18.0], 7BT2n9Hav_, 5652521]
[paragraph, [64.0, 861.0, 842.0, 18.0], 7BT2n9Hav_, 5652521]
[paragraph, [64.0, 879.0, 842.0, 18.0], 7BT2n9Hav_, 5652521]
[paragraph, [64.0, 897.0, 842.0, 18.0], 7BT2n9Hav_, 5652521]
[paragraph, [64.0, 915.0, 842.0, 18.0], 7BT2n9Hav_, 5652521]
[paragraph, [64.0, 933.0, 842.0, 18.0], 7BT2n9Hav_, 5652521]
[paragraph, [64.0, 951.0, 842.0, 18.0], 7BT2n9Hav_, 5652521]
[paragraph, [64.0, 969.0, 842.0, 18.0], 7BT2n9Hav_, 5652521]
[paragraph, [64.0, 987.0, 842.0, 18.0], 7BT2n9Hav_, 5652521]
[paragraph, [64.0, 1005.0, 842.0, 18.0], 7BT2n9Hav_, 5652521]
[paragraph, [64.0, 1023.0, 842.0, 18.0], 7BT2n9Hav_, 5652521]
[paragraph, [64.0, 1041.0, 842.0, 18.0], 7BT2n9Hav_, 5652521]
[paragraph, [64.0, 1059.0, 842.0, 18.0], 7BT2n9Hav_, 5652521]
[paragraph, [64.0, 1077.0, 842.0, 18.0], 7BT2n9Hav_, 5652521]
[paragraph, [64.0, 1095.0, 842.0, 18.0], 7BT2n9Hav_, 5652521]
[paragraph, [64.0, 1113.0, 842.0, 18.0], 7BT2n9Hav_, 5652521]
[paragraph, [64.0, 1131.0, 842.0, 18.0], 7BT2n9Hav_, 5652521]
[paragraph, [64.0, 1149.0, 842.0, 18.0], 7BT2n9Hav_, 5652521]
[paragraph, [64.0, 1167.0, 842.0, 18.0], 7BT2n9Hav_, 5652521]
[paragraph, [64.0, 1185.0, 842.0, 18.0], 7BT2n9Hav_, 5652521]
[paragraph, [64.0, 1203.0, 842.0, 18.0], 7BT2n9Hav_, 5652521]
[paragraph, [64.0, 1221.0, 842.0, 18.0], 7BT2n9Hav_, 5652521]
[paragraph, [64.0, 1239.0, 842.0, 18.0], 7BT2n9Hav_, 5652521]
