[1951, 1219]
[folio, [199.0, 125.0, 217.0, 36.0], shoonya_0sXN4CQSPLC519, 5682036]
[paragraph, [115.0, 212.0, 975.0, 36.0], Y_YAwGNxDP, 5682036]
[paragraph, [118.0, 278.0, 970.0, 36.0], yJchkc8Ipu, 5682036]
[paragraph, [118.0, 314.0, 970.0, 36.0], yJchkc8Ipu, 5682036]
[paragraph, [118.0, 350.0, 970.0, 36.0], yJchkc8Ipu, 5682036]
[paragraph, [118.0, 386.0, 970.0, 36.0], yJchkc8Ipu, 5682036]
[paragraph, [118.0, 422.0, 970.0, 36.0], yJchkc8Ipu, 5682036]
[paragraph, [118.0, 458.0, 970.0, 36.0], yJchkc8Ipu, 5682036]
[paragraph, [118.0, 508.0, 970.0, 36.0], e5jgQVYNgc, 5682036]
[paragraph, [118.0, 544.0, 970.0, 36.0], e5jgQVYNgc, 5682036]
[paragraph, [118.0, 580.0, 970.0, 36.0], e5jgQVYNgc, 5682036]
[paragraph, [118.0, 616.0, 970.0, 36.0], e5jgQVYNgc, 5682036]
[paragraph, [118.0, 652.0, 970.0, 36.0], e5jgQVYNgc, 5682036]
[paragraph, [118.0, 688.0, 970.0, 36.0], e5jgQVYNgc, 5682036]
[paragraph, [118.0, 724.0, 970.0, 36.0], e5jgQVYNgc, 5682036]
[paragraph, [118.0, 760.0, 970.0, 36.0], e5jgQVYNgc, 5682036]
[paragraph, [118.0, 796.0, 970.0, 36.0], e5jgQVYNgc, 5682036]
[paragraph, [118.0, 832.0, 970.0, 36.0], e5jgQVYNgc, 5682036]
[paragraph, [118.0, 868.0, 970.0, 36.0], e5jgQVYNgc, 5682036]
[paragraph, [117.0, 913.0, 970.0, 36.0], Dj-3YJ3xqN, 5682036]
[paragraph, [117.0, 949.0, 970.0, 36.0], Dj-3YJ3xqN, 5682036]
[paragraph, [117.0, 985.0, 970.0, 36.0], Dj-3YJ3xqN, 5682036]
[paragraph, [117.0, 1021.0, 970.0, 36.0], Dj-3YJ3xqN, 5682036]
[paragraph, [117.0, 1057.0, 970.0, 36.0], Dj-3YJ3xqN, 5682036]
[paragraph, [117.0, 1093.0, 970.0, 36.0], Dj-3YJ3xqN, 5682036]
[paragraph, [117.0, 1129.0, 970.0, 36.0], Dj-3YJ3xqN, 5682036]
[paragraph, [117.0, 1165.0, 970.0, 36.0], Dj-3YJ3xqN, 5682036]
[paragraph, [117.0, 1201.0, 970.0, 36.0], Dj-3YJ3xqN, 5682036]
[paragraph, [115.0, 1252.0, 977.0, 36.0], jJhBWOHPzj, 5682036]
[paragraph, [115.0, 1288.0, 977.0, 36.0], jJhBWOHPzj, 5682036]
[paragraph, [115.0, 1324.0, 977.0, 36.0], jJhBWOHPzj, 5682036]
[paragraph, [115.0, 1360.0, 977.0, 36.0], jJhBWOHPzj, 5682036]
[paragraph, [115.0, 1396.0, 977.0, 36.0], jJhBWOHPzj, 5682036]
[paragraph, [115.0, 1432.0, 977.0, 36.0], jJhBWOHPzj, 5682036]
[paragraph, [115.0, 1468.0, 977.0, 36.0], jJhBWOHPzj, 5682036]
[paragraph, [115.0, 1504.0, 977.0, 36.0], jJhBWOHPzj, 5682036]
[paragraph, [115.0, 1540.0, 977.0, 36.0], jJhBWOHPzj, 5682036]
[paragraph, [115.0, 1576.0, 977.0, 36.0], jJhBWOHPzj, 5682036]
[paragraph, [115.0, 1612.0, 977.0, 36.0], jJhBWOHPzj, 5682036]
[paragraph, [115.0, 1648.0, 977.0, 36.0], jJhBWOHPzj, 5682036]
[paragraph, [115.0, 1684.0, 977.0, 36.0], jJhBWOHPzj, 5682036]
[paragraph, [115.0, 1720.0, 977.0, 36.0], jJhBWOHPzj, 5682036]
[paragraph, [115.0, 1756.0, 977.0, 36.0], jJhBWOHPzj, 5682036]
[paragraph, [115.0, 1792.0, 977.0, 36.0], jJhBWOHPzj, 5682036]
