[2481, 1654]
[folio, [1176.0, 101.0, 142.0, 36.0], shoonya_0s25LC0YSQ2MFJ, 5721085]
[paragraph, [163.0, 221.0, 1281.0, 36.0], VUnjRjVEGI, 5721085]
[paragraph, [163.0, 257.0, 1281.0, 36.0], VUnjRjVEGI, 5721085]
[paragraph, [163.0, 329.0, 1275.0, 36.0], Ei5grtnyPS, 5721085]
[paragraph, [163.0, 365.0, 1275.0, 36.0], Ei5grtnyPS, 5721085]
[paragraph, [217.0, 436.0, 686.0, 36.0], 26xCAAhFIQ, 5721085]
[paragraph, [223.0, 482.0, 911.0, 36.0], -LgSqW-xMU, 5721085]
[paragraph, [215.0, 546.0, 411.0, 36.0], ZKvlZqxChJ, 5721085]
[paragraph, [161.0, 595.0, 1275.0, 36.0], HJ0ThDi_Dp, 5721085]
[paragraph, [161.0, 631.0, 1275.0, 36.0], HJ0ThDi_Dp, 5721085]
[paragraph, [223.0, 701.0, 481.0, 36.0], DIC1bEsfyE, 5721085]
[paragraph, [217.0, 753.0, 851.0, 36.0], GAVcAr8wVQ, 5721085]
[paragraph, [215.0, 811.0, 798.0, 36.0], klp25l_ROd, 5721085]
[paragraph, [163.0, 862.0, 1273.0, 36.0], jRkiV58vev, 5721085]
[paragraph, [163.0, 898.0, 1273.0, 36.0], jRkiV58vev, 5721085]
[paragraph, [221.0, 966.0, 537.0, 36.0], tb1i4__UHK, 5721085]
[paragraph, [146.0, 1018.0, 1294.0, 36.0], hcGaIIeDWG, 5721085]
[paragraph, [146.0, 1054.0, 1294.0, 36.0], hcGaIIeDWG, 5721085]
[paragraph, [146.0, 1090.0, 1294.0, 36.0], hcGaIIeDWG, 5721085]
[paragraph, [146.0, 1126.0, 1294.0, 36.0], hcGaIIeDWG, 5721085]
[paragraph, [146.0, 1179.0, 1302.0, 36.0], CU600fHZ7k, 5721085]
[paragraph, [146.0, 1215.0, 1302.0, 36.0], CU600fHZ7k, 5721085]
[paragraph, [144.0, 1289.0, 1296.0, 36.0], Kj8Kh4kbju, 5721085]
[paragraph, [144.0, 1325.0, 1296.0, 36.0], Kj8Kh4kbju, 5721085]
[paragraph, [144.0, 1361.0, 1296.0, 36.0], Kj8Kh4kbju, 5721085]
[paragraph, [144.0, 1397.0, 1296.0, 36.0], Kj8Kh4kbju, 5721085]
[paragraph, [144.0, 1433.0, 1296.0, 36.0], Kj8Kh4kbju, 5721085]
[paragraph, [144.0, 1469.0, 1296.0, 36.0], Kj8Kh4kbju, 5721085]
[paragraph, [144.0, 1505.0, 1296.0, 36.0], Kj8Kh4kbju, 5721085]
[paragraph, [140.0, 1553.0, 1300.0, 36.0], YRlcO0490z, 5721085]
[paragraph, [140.0, 1589.0, 1300.0, 36.0], YRlcO0490z, 5721085]
[paragraph, [140.0, 1625.0, 1300.0, 36.0], YRlcO0490z, 5721085]
[paragraph, [140.0, 1661.0, 1300.0, 36.0], YRlcO0490z, 5721085]
[paragraph, [140.0, 1697.0, 1300.0, 36.0], YRlcO0490z, 5721085]
[paragraph, [140.0, 1733.0, 1300.0, 36.0], YRlcO0490z, 5721085]
[paragraph, [140.0, 1769.0, 1300.0, 36.0], YRlcO0490z, 5721085]
[paragraph, [140.0, 1805.0, 1300.0, 36.0], YRlcO0490z, 5721085]
[paragraph, [144.0, 1870.0, 1296.0, 36.0], l66ACpguaO, 5721085]
[paragraph, [144.0, 1906.0, 1296.0, 36.0], l66ACpguaO, 5721085]
[paragraph, [144.0, 1942.0, 1296.0, 36.0], l66ACpguaO, 5721085]
[paragraph, [144.0, 1978.0, 1296.0, 36.0], l66ACpguaO, 5721085]
[paragraph, [142.0, 2034.0, 1302.0, 36.0], HPjUYQiTsa, 5721085]
[paragraph, [142.0, 2070.0, 1302.0, 36.0], HPjUYQiTsa, 5721085]
[paragraph, [142.0, 2106.0, 1302.0, 36.0], HPjUYQiTsa, 5721085]
[paragraph, [142.0, 2142.0, 1302.0, 36.0], HPjUYQiTsa, 5721085]
