[2339, 1656]
[headline, [653.0, 191.0, 346.0, 67.5], shoonya_0sCOT5GOQCEKZB, 5752608]
[paragraph, [163.0, 321.0, 688.0, 36.0], 6VQFjrRZWn, 5752608]
[paragraph, [163.0, 357.0, 688.0, 36.0], 6VQFjrRZWn, 5752608]
[paragraph, [163.0, 393.0, 688.0, 36.0], 6VQFjrRZWn, 5752608]
[paragraph, [163.0, 429.0, 688.0, 36.0], 6VQFjrRZWn, 5752608]
[paragraph, [163.0, 465.0, 688.0, 36.0], 6VQFjrRZWn, 5752608]
[paragraph, [163.0, 501.0, 688.0, 36.0], 6VQFjrRZWn, 5752608]
[paragraph, [163.0, 537.0, 688.0, 36.0], 6VQFjrRZWn, 5752608]
[paragraph, [163.0, 573.0, 688.0, 36.0], 6VQFjrRZWn, 5752608]
[paragraph, [163.0, 609.0, 688.0, 36.0], 6VQFjrRZWn, 5752608]
[paragraph, [163.0, 645.0, 688.0, 36.0], 6VQFjrRZWn, 5752608]
[paragraph, [163.0, 681.0, 688.0, 36.0], 6VQFjrRZWn, 5752608]
[paragraph, [163.0, 717.0, 688.0, 36.0], 6VQFjrRZWn, 5752608]
[paragraph, [163.0, 753.0, 688.0, 36.0], 6VQFjrRZWn, 5752608]
[paragraph, [163.0, 789.0, 688.0, 36.0], 6VQFjrRZWn, 5752608]
[paragraph, [174.0, 962.0, 694.0, 36.0], EUyCGbFX3p, 5752608]
[paragraph, [174.0, 998.0, 694.0, 36.0], EUyCGbFX3p, 5752608]
[paragraph, [174.0, 1034.0, 694.0, 36.0], EUyCGbFX3p, 5752608]
[paragraph, [174.0, 1070.0, 694.0, 36.0], EUyCGbFX3p, 5752608]
[paragraph, [174.0, 1106.0, 694.0, 36.0], EUyCGbFX3p, 5752608]
[paragraph, [174.0, 1142.0, 694.0, 36.0], EUyCGbFX3p, 5752608]
[paragraph, [174.0, 1178.0, 694.0, 36.0], EUyCGbFX3p, 5752608]
[paragraph, [174.0, 1214.0, 694.0, 36.0], EUyCGbFX3p, 5752608]
[paragraph, [174.0, 1250.0, 694.0, 36.0], EUyCGbFX3p, 5752608]
[paragraph, [174.0, 1286.0, 694.0, 36.0], EUyCGbFX3p, 5752608]
[paragraph, [174.0, 1322.0, 694.0, 36.0], EUyCGbFX3p, 5752608]
[paragraph, [174.0, 1358.0, 694.0, 36.0], EUyCGbFX3p, 5752608]
[paragraph, [174.0, 1394.0, 694.0, 36.0], EUyCGbFX3p, 5752608]
[paragraph, [174.0, 1430.0, 694.0, 36.0], EUyCGbFX3p, 5752608]
[paragraph, [174.0, 1466.0, 694.0, 36.0], EUyCGbFX3p, 5752608]
[paragraph, [174.0, 1502.0, 694.0, 36.0], EUyCGbFX3p, 5752608]
[paragraph, [174.0, 1538.0, 694.0, 36.0], EUyCGbFX3p, 5752608]
[paragraph, [174.0, 1574.0, 694.0, 36.0], EUyCGbFX3p, 5752608]
[paragraph, [180.0, 1716.0, 683.0, 36.0], ACoblwX1bt, 5752608]
[paragraph, [180.0, 1752.0, 683.0, 36.0], ACoblwX1bt, 5752608]
[paragraph, [180.0, 1788.0, 683.0, 36.0], ACoblwX1bt, 5752608]
[paragraph, [180.0, 1824.0, 683.0, 36.0], ACoblwX1bt, 5752608]
[paragraph, [180.0, 1860.0, 683.0, 36.0], ACoblwX1bt, 5752608]
[paragraph, [180.0, 1896.0, 683.0, 36.0], ACoblwX1bt, 5752608]
[paragraph, [180.0, 1932.0, 683.0, 36.0], ACoblwX1bt, 5752608]
[paragraph, [180.0, 1968.0, 683.0, 36.0], ACoblwX1bt, 5752608]
[paragraph, [180.0, 2004.0, 683.0, 36.0], ACoblwX1bt, 5752608]
[paragraph, [180.0, 2040.0, 683.0, 36.0], ACoblwX1bt, 5752608]
[paragraph, [180.0, 2076.0, 683.0, 36.0], ACoblwX1bt, 5752608]
[folio, [273.0, 2239.0, 429.0, 36.0], ZYdeyM6Qnn, 5752608]
[folio, [273.0, 2275.0, 429.0, 36.0], ZYdeyM6Qnn, 5752608]
