[1951, 1219]
[folio, [769.0, 120.0, 204.0, 36.0], shoonya_0s8HKD78UWSYZF, 5682849]
[paragraph, [121.0, 207.0, 970.0, 36.0], VMvrwJeMwn, 5682849]
[paragraph, [121.0, 243.0, 970.0, 36.0], VMvrwJeMwn, 5682849]
[paragraph, [121.0, 279.0, 970.0, 36.0], VMvrwJeMwn, 5682849]
[paragraph, [121.0, 315.0, 970.0, 36.0], VMvrwJeMwn, 5682849]
[paragraph, [121.0, 351.0, 970.0, 36.0], VMvrwJeMwn, 5682849]
[paragraph, [121.0, 387.0, 970.0, 36.0], VMvrwJeMwn, 5682849]
[paragraph, [121.0, 423.0, 970.0, 36.0], VMvrwJeMwn, 5682849]
[paragraph, [121.0, 459.0, 970.0, 36.0], VMvrwJeMwn, 5682849]
[paragraph, [120.0, 560.0, 976.0, 36.0], whVPt-xoSh, 5682849]
[paragraph, [120.0, 596.0, 976.0, 36.0], whVPt-xoSh, 5682849]
[paragraph, [120.0, 632.0, 976.0, 36.0], whVPt-xoSh, 5682849]
[paragraph, [120.0, 668.0, 976.0, 36.0], whVPt-xoSh, 5682849]
[paragraph, [120.0, 704.0, 976.0, 36.0], whVPt-xoSh, 5682849]
[paragraph, [120.0, 740.0, 976.0, 36.0], whVPt-xoSh, 5682849]
[paragraph, [120.0, 776.0, 976.0, 36.0], whVPt-xoSh, 5682849]
[paragraph, [120.0, 812.0, 976.0, 36.0], whVPt-xoSh, 5682849]
[paragraph, [120.0, 848.0, 976.0, 36.0], whVPt-xoSh, 5682849]
[paragraph, [120.0, 884.0, 976.0, 36.0], whVPt-xoSh, 5682849]
[paragraph, [120.0, 920.0, 976.0, 36.0], whVPt-xoSh, 5682849]
[paragraph, [120.0, 956.0, 976.0, 36.0], whVPt-xoSh, 5682849]
[paragraph, [120.0, 992.0, 976.0, 36.0], whVPt-xoSh, 5682849]
[paragraph, [120.0, 1028.0, 976.0, 36.0], whVPt-xoSh, 5682849]
[paragraph, [120.0, 1064.0, 976.0, 36.0], whVPt-xoSh, 5682849]
[paragraph, [120.0, 1100.0, 976.0, 36.0], whVPt-xoSh, 5682849]
[paragraph, [120.0, 1136.0, 976.0, 36.0], whVPt-xoSh, 5682849]
[paragraph, [115.0, 1198.0, 979.0, 36.0], QAJ-Id4h2y, 5682849]
[paragraph, [115.0, 1234.0, 979.0, 36.0], QAJ-Id4h2y, 5682849]
[paragraph, [115.0, 1270.0, 979.0, 36.0], QAJ-Id4h2y, 5682849]
[paragraph, [115.0, 1306.0, 979.0, 36.0], QAJ-Id4h2y, 5682849]
[paragraph, [115.0, 1342.0, 979.0, 36.0], QAJ-Id4h2y, 5682849]
[paragraph, [115.0, 1378.0, 979.0, 36.0], QAJ-Id4h2y, 5682849]
[paragraph, [115.0, 1414.0, 979.0, 36.0], QAJ-Id4h2y, 5682849]
[paragraph, [115.0, 1450.0, 979.0, 36.0], QAJ-Id4h2y, 5682849]
[paragraph, [115.0, 1486.0, 979.0, 36.0], QAJ-Id4h2y, 5682849]
[paragraph, [115.0, 1522.0, 979.0, 36.0], QAJ-Id4h2y, 5682849]
[paragraph, [115.0, 1558.0, 979.0, 36.0], QAJ-Id4h2y, 5682849]
[paragraph, [115.0, 1594.0, 979.0, 36.0], QAJ-Id4h2y, 5682849]
[paragraph, [115.0, 1630.0, 979.0, 36.0], QAJ-Id4h2y, 5682849]
[paragraph, [115.0, 1666.0, 979.0, 36.0], QAJ-Id4h2y, 5682849]
[paragraph, [115.0, 1702.0, 979.0, 36.0], QAJ-Id4h2y, 5682849]
[paragraph, [115.0, 1738.0, 979.0, 36.0], QAJ-Id4h2y, 5682849]
[paragraph, [115.0, 1774.0, 979.0, 36.0], QAJ-Id4h2y, 5682849]
