[834, 618]
[folio, [51.0, 46.0, 102.0, 18.0], 5BZrwaCEQ8, 5712425]
[folio, [51.0, 64.0, 102.0, 18.0], 5BZrwaCEQ8, 5712425]
[folio, [51.0, 82.0, 102.0, 18.0], 5BZrwaCEQ8, 5712425]
[folio, [365.0, 46.0, 214.0, 18.0], 0WtFoo-31t, 5712425]
[folio, [365.0, 64.0, 214.0, 18.0], 0WtFoo-31t, 5712425]
[folio, [365.0, 82.0, 214.0, 18.0], 0WtFoo-31t, 5712425]
[folio, [224.0, 52.0, 97.0, 18.0], 2znAGlbHJB, 5712425]
[folio, [224.0, 70.0, 97.0, 18.0], 2znAGlbHJB, 5712425]
[folio, [224.0, 88.0, 97.0, 18.0], 2znAGlbHJB, 5712425]
[headline, [218.0, 116.0, 290.0, 25.5], J-IBnfPe-3, 5712425]
[headline, [218.0, 141.5, 290.0, 25.5], J-IBnfPe-3, 5712425]
[headline, [218.0, 167.0, 290.0, 25.5], J-IBnfPe-3, 5712425]
[folio, [69.0, 123.0, 91.0, 18.0], Gn1y2bTN3P, 5712425]
[folio, [69.0, 141.0, 91.0, 18.0], Gn1y2bTN3P, 5712425]
[unordered-list, [174.0, 224.0, 123.0, 18.0], KMv6qahxd0, 5712425]
[unordered-list, [174.0, 242.0, 123.0, 18.0], KMv6qahxd0, 5712425]
[unordered-list, [174.0, 260.0, 123.0, 18.0], KMv6qahxd0, 5712425]
[unordered-list, [174.0, 278.0, 123.0, 18.0], KMv6qahxd0, 5712425]
[unordered-list, [174.0, 296.0, 123.0, 18.0], KMv6qahxd0, 5712425]
[unordered-list, [174.0, 314.0, 123.0, 18.0], KMv6qahxd0, 5712425]
[unordered-list, [174.0, 332.0, 123.0, 18.0], KMv6qahxd0, 5712425]
[unordered-list, [426.0, 228.0, 128.0, 18.0], ri7MEi15hR, 5712425]
[unordered-list, [426.0, 246.0, 128.0, 18.0], ri7MEi15hR, 5712425]
[unordered-list, [426.0, 264.0, 128.0, 18.0], ri7MEi15hR, 5712425]
[unordered-list, [426.0, 282.0, 128.0, 18.0], ri7MEi15hR, 5712425]
[unordered-list, [426.0, 300.0, 128.0, 18.0], ri7MEi15hR, 5712425]
[unordered-list, [426.0, 318.0, 128.0, 18.0], ri7MEi15hR, 5712425]
[unordered-list, [426.0, 336.0, 128.0, 18.0], ri7MEi15hR, 5712425]
[unordered-list, [172.0, 395.0, 126.0, 18.0], tV5zGQX3Xv, 5712425]
[unordered-list, [172.0, 413.0, 126.0, 18.0], tV5zGQX3Xv, 5712425]
[unordered-list, [172.0, 431.0, 126.0, 18.0], tV5zGQX3Xv, 5712425]
[unordered-list, [172.0, 449.0, 126.0, 18.0], tV5zGQX3Xv, 5712425]
[unordered-list, [172.0, 467.0, 126.0, 18.0], tV5zGQX3Xv, 5712425]
[unordered-list, [172.0, 485.0, 126.0, 18.0], tV5zGQX3Xv, 5712425]
[unordered-list, [172.0, 503.0, 126.0, 18.0], tV5zGQX3Xv, 5712425]
[unordered-list, [172.0, 521.0, 126.0, 18.0], tV5zGQX3Xv, 5712425]
[unordered-list, [421.0, 401.0, 125.0, 18.0], r7_VWiiYwx, 5712425]
[unordered-list, [421.0, 419.0, 125.0, 18.0], r7_VWiiYwx, 5712425]
[unordered-list, [421.0, 437.0, 125.0, 18.0], r7_VWiiYwx, 5712425]
[unordered-list, [421.0, 455.0, 125.0, 18.0], r7_VWiiYwx, 5712425]
[unordered-list, [421.0, 473.0, 125.0, 18.0], r7_VWiiYwx, 5712425]
[unordered-list, [421.0, 491.0, 125.0, 18.0], r7_VWiiYwx, 5712425]
[unordered-list, [421.0, 509.0, 125.0, 18.0], r7_VWiiYwx, 5712425]
[unordered-list, [421.0, 527.0, 125.0, 18.0], r7_VWiiYwx, 5712425]
[unordered-list, [428.0, 580.0, 121.0, 18.0], ObHbaYNJg5, 5712425]
[unordered-list, [428.0, 598.0, 121.0, 18.0], ObHbaYNJg5, 5712425]
[unordered-list, [428.0, 616.0, 121.0, 18.0], ObHbaYNJg5, 5712425]
[unordered-list, [428.0, 634.0, 121.0, 18.0], ObHbaYNJg5, 5712425]
[unordered-list, [428.0, 652.0, 121.0, 18.0], ObHbaYNJg5, 5712425]
[unordered-list, [428.0, 670.0, 121.0, 18.0], ObHbaYNJg5, 5712425]
