[792, 612]
[folio, [56.0, 44.0, 155.0, 18.0], ewvbRKdERv, 6491331]
[paragraph, [55.0, 79.0, 259.0, 18.0], shoonya_1sUROFXVXVAFCI, 6491331]
[paragraph, [55.0, 97.0, 259.0, 18.0], shoonya_1sUROFXVXVAFCI, 6491331]
[paragraph, [55.0, 115.0, 259.0, 18.0], shoonya_1sUROFXVXVAFCI, 6491331]
[paragraph, [55.0, 133.0, 259.0, 18.0], shoonya_1sUROFXVXVAFCI, 6491331]
[paragraph, [55.0, 151.0, 259.0, 18.0], shoonya_1sUROFXVXVAFCI, 6491331]
[paragraph, [55.0, 169.0, 259.0, 18.0], shoonya_1sUROFXVXVAFCI, 6491331]
[paragraph, [55.0, 187.0, 259.0, 18.0], shoonya_1sUROFXVXVAFCI, 6491331]
[paragraph, [55.0, 205.0, 259.0, 18.0], shoonya_1sUROFXVXVAFCI, 6491331]
[paragraph, [55.0, 223.0, 259.0, 18.0], shoonya_1sUROFXVXVAFCI, 6491331]
[paragraph, [55.0, 241.0, 259.0, 18.0], shoonya_1sUROFXVXVAFCI, 6491331]
[paragraph, [55.0, 259.0, 259.0, 18.0], shoonya_1sUROFXVXVAFCI, 6491331]
[paragraph, [55.0, 277.0, 259.0, 18.0], shoonya_1sUROFXVXVAFCI, 6491331]
[paragraph, [55.0, 295.0, 259.0, 18.0], shoonya_1sUROFXVXVAFCI, 6491331]
[paragraph, [55.0, 313.0, 259.0, 18.0], shoonya_1sUROFXVXVAFCI, 6491331]
[paragraph, [55.0, 331.0, 259.0, 18.0], shoonya_1sUROFXVXVAFCI, 6491331]
[paragraph, [55.0, 349.0, 259.0, 18.0], shoonya_1sUROFXVXVAFCI, 6491331]
[paragraph, [55.0, 367.0, 259.0, 18.0], shoonya_1sUROFXVXVAFCI, 6491331]
[paragraph, [55.0, 385.0, 259.0, 18.0], shoonya_1sUROFXVXVAFCI, 6491331]
[paragraph, [316.0, 79.0, 253.0, 18.0], YvGjOpBSod, 6491331]
