[2339, 1653]
[folio, [705.0, 166.0, 280.0, 36.0], shoonya_0s7AXY9W5PZFIS, 5689127]
[folio, [700.0, 218.0, 293.0, 36.0], CVy3OBpgGR, 5689127]
[folio, [592.0, 389.0, 473.0, 36.0], tQi6TaZeO2, 5689127]
[paragraph, [184.0, 439.0, 1322.0, 36.0], shoonya_1sJWYHUHA7H2WO, 5689127]
[paragraph, [184.0, 475.0, 1322.0, 36.0], shoonya_1sJWYHUHA7H2WO, 5689127]
[paragraph, [184.0, 511.0, 1322.0, 36.0], shoonya_1sJWYHUHA7H2WO, 5689127]
[paragraph, [184.0, 547.0, 1322.0, 36.0], shoonya_1sJWYHUHA7H2WO, 5689127]
[paragraph, [184.0, 583.0, 1322.0, 36.0], shoonya_1sJWYHUHA7H2WO, 5689127]
[paragraph, [184.0, 619.0, 1322.0, 36.0], shoonya_1sJWYHUHA7H2WO, 5689127]
[paragraph, [184.0, 655.0, 1322.0, 36.0], shoonya_1sJWYHUHA7H2WO, 5689127]
[paragraph, [184.0, 691.0, 1322.0, 36.0], shoonya_1sJWYHUHA7H2WO, 5689127]
[paragraph, [184.0, 727.0, 1322.0, 36.0], shoonya_1sJWYHUHA7H2WO, 5689127]
[unordered-list, [193.0, 777.0, 1309.0, 36.0], shoonya_4sBSFSYAQUYYNQ, 5689127]
[unordered-list, [193.0, 813.0, 1309.0, 36.0], shoonya_4sBSFSYAQUYYNQ, 5689127]
[unordered-list, [193.0, 849.0, 1309.0, 36.0], shoonya_4sBSFSYAQUYYNQ, 5689127]
[unordered-list, [193.0, 885.0, 1309.0, 36.0], shoonya_4sBSFSYAQUYYNQ, 5689127]
[unordered-list, [193.0, 921.0, 1309.0, 36.0], shoonya_4sBSFSYAQUYYNQ, 5689127]
[unordered-list, [193.0, 957.0, 1309.0, 36.0], shoonya_4sBSFSYAQUYYNQ, 5689127]
[unordered-list, [193.0, 993.0, 1309.0, 36.0], shoonya_4sBSFSYAQUYYNQ, 5689127]
[unordered-list, [193.0, 1029.0, 1309.0, 36.0], shoonya_4sBSFSYAQUYYNQ, 5689127]
[reference, [183.0, 1107.0, 891.0, 36.0], shoonya_3sZUZQPCM43U5G, 5689127]
[reference, [183.0, 1143.0, 891.0, 36.0], shoonya_3sZUZQPCM43U5G, 5689127]
[reference, [183.0, 1179.0, 891.0, 36.0], shoonya_3sZUZQPCM43U5G, 5689127]
[reference, [183.0, 1215.0, 891.0, 36.0], shoonya_3sZUZQPCM43U5G, 5689127]
[reference, [183.0, 1251.0, 891.0, 36.0], shoonya_3sZUZQPCM43U5G, 5689127]
[reference, [181.0, 1334.0, 1000.0, 36.0], shoonya_2sBLQLTVGFTVTT, 5689127]
[reference, [181.0, 1370.0, 1000.0, 36.0], shoonya_2sBLQLTVGFTVTT, 5689127]
[reference, [181.0, 1406.0, 1000.0, 36.0], shoonya_2sBLQLTVGFTVTT, 5689127]
[reference, [181.0, 1442.0, 1000.0, 36.0], shoonya_2sBLQLTVGFTVTT, 5689127]
[reference, [181.0, 1478.0, 1000.0, 36.0], shoonya_2sBLQLTVGFTVTT, 5689127]
[reference, [181.0, 1514.0, 1000.0, 36.0], shoonya_2sBLQLTVGFTVTT, 5689127]
[reference, [181.0, 1550.0, 1000.0, 36.0], shoonya_2sBLQLTVGFTVTT, 5689127]
[reference, [181.0, 1586.0, 1000.0, 36.0], shoonya_2sBLQLTVGFTVTT, 5689127]
[reference, [181.0, 1622.0, 1000.0, 36.0], shoonya_2sBLQLTVGFTVTT, 5689127]
[reference, [181.0, 1658.0, 1000.0, 36.0], shoonya_2sBLQLTVGFTVTT, 5689127]
[reference, [181.0, 1694.0, 1000.0, 36.0], shoonya_2sBLQLTVGFTVTT, 5689127]
[reference, [181.0, 1730.0, 1000.0, 36.0], shoonya_2sBLQLTVGFTVTT, 5689127]
[reference, [181.0, 1766.0, 1000.0, 36.0], shoonya_2sBLQLTVGFTVTT, 5689127]
[reference, [181.0, 1802.0, 1000.0, 36.0], shoonya_2sBLQLTVGFTVTT, 5689127]
[reference, [181.0, 1838.0, 1000.0, 36.0], shoonya_2sBLQLTVGFTVTT, 5689127]
[reference, [181.0, 1874.0, 1000.0, 36.0], shoonya_2sBLQLTVGFTVTT, 5689127]
[reference, [181.0, 1910.0, 1000.0, 36.0], shoonya_2sBLQLTVGFTVTT, 5689127]
[reference, [181.0, 1946.0, 1000.0, 36.0], shoonya_2sBLQLTVGFTVTT, 5689127]
[reference, [181.0, 1982.0, 1000.0, 36.0], shoonya_2sBLQLTVGFTVTT, 5689127]
[reference, [181.0, 2018.0, 1000.0, 36.0], shoonya_2sBLQLTVGFTVTT, 5689127]
[reference, [181.0, 2054.0, 1000.0, 36.0], shoonya_2sBLQLTVGFTVTT, 5689127]
