[5478, 3644]
[folio, [2259.0, 496.0, 806.0, 52.5], ufvTJWCIbm, 5709797]
[folio, [2259.0, 548.5, 806.0, 52.5], ufvTJWCIbm, 5709797]
[folio, [2259.0, 601.0, 806.0, 52.5], ufvTJWCIbm, 5709797]
[paragraph, [396.0, 705.0, 2701.0, 52.5], 1Y__95tkYL, 5709797]
[paragraph, [396.0, 757.5, 2701.0, 52.5], 1Y__95tkYL, 5709797]
[paragraph, [396.0, 810.0, 2701.0, 52.5], 1Y__95tkYL, 5709797]
[paragraph, [396.0, 862.5, 2701.0, 52.5], 1Y__95tkYL, 5709797]
[paragraph, [396.0, 915.0, 2701.0, 52.5], 1Y__95tkYL, 5709797]
[paragraph, [396.0, 967.5, 2701.0, 52.5], 1Y__95tkYL, 5709797]
[paragraph, [396.0, 1020.0, 2701.0, 52.5], 1Y__95tkYL, 5709797]
[quote, [423.0, 1088.0, 2664.0, 52.5], e5cTPEDPZE, 5709797]
[quote, [423.0, 1140.5, 2664.0, 52.5], e5cTPEDPZE, 5709797]
[quote, [423.0, 1193.0, 2664.0, 52.5], e5cTPEDPZE, 5709797]
[quote, [423.0, 1245.5, 2664.0, 52.5], e5cTPEDPZE, 5709797]
[quote, [646.0, 1315.0, 1088.0, 52.5], hn5-IQaiiO, 5709797]
[quote, [646.0, 1367.5, 1088.0, 52.5], hn5-IQaiiO, 5709797]
[quote, [382.0, 1466.0, 2673.0, 52.5], FbpVF-Kq1h, 5709797]
[quote, [382.0, 1518.5, 2673.0, 52.5], FbpVF-Kq1h, 5709797]
[quote, [382.0, 1571.0, 2673.0, 52.5], FbpVF-Kq1h, 5709797]
[quote, [382.0, 1623.5, 2673.0, 52.5], FbpVF-Kq1h, 5709797]
[paragraph, [423.0, 1730.0, 2655.0, 52.5], Jsg71qL4kZ, 5709797]
[paragraph, [423.0, 1782.5, 2655.0, 52.5], Jsg71qL4kZ, 5709797]
[paragraph, [423.0, 1835.0, 2655.0, 52.5], Jsg71qL4kZ, 5709797]
[paragraph, [423.0, 1887.5, 2655.0, 52.5], Jsg71qL4kZ, 5709797]
[paragraph, [423.0, 1940.0, 2655.0, 52.5], Jsg71qL4kZ, 5709797]
[paragraph, [423.0, 1992.5, 2655.0, 52.5], Jsg71qL4kZ, 5709797]
[paragraph, [423.0, 2045.0, 2655.0, 52.5], Jsg71qL4kZ, 5709797]
[paragraph, [601.0, 2117.0, 2136.0, 52.5], vaHYChdcZi, 5709797]
[paragraph, [601.0, 2169.5, 2136.0, 52.5], vaHYChdcZi, 5709797]
[quote, [400.0, 2249.0, 2514.0, 52.5], gPDUC7Pdul, 5709797]
[quote, [400.0, 2301.5, 2514.0, 52.5], gPDUC7Pdul, 5709797]
[quote, [400.0, 2354.0, 2514.0, 52.5], gPDUC7Pdul, 5709797]
[quote, [400.0, 2406.5, 2514.0, 52.5], gPDUC7Pdul, 5709797]
[quote, [396.0, 2504.0, 2714.0, 52.5], QGjuKxqzGq, 5709797]
[quote, [396.0, 2556.5, 2714.0, 52.5], QGjuKxqzGq, 5709797]
[quote, [396.0, 2609.0, 2714.0, 52.5], QGjuKxqzGq, 5709797]
[quote, [396.0, 2661.5, 2714.0, 52.5], QGjuKxqzGq, 5709797]
[quote, [396.0, 2714.0, 2714.0, 52.5], QGjuKxqzGq, 5709797]
[paragraph, [392.0, 2784.0, 2861.0, 52.5], shoonya_0sDAZ5XFEHUFSK, 5709797]
[paragraph, [392.0, 2836.5, 2861.0, 52.5], shoonya_0sDAZ5XFEHUFSK, 5709797]
[paragraph, [392.0, 2889.0, 2861.0, 52.5], shoonya_0sDAZ5XFEHUFSK, 5709797]
[paragraph, [392.0, 2941.5, 2861.0, 52.5], shoonya_0sDAZ5XFEHUFSK, 5709797]
[paragraph, [392.0, 2994.0, 2861.0, 52.5], shoonya_0sDAZ5XFEHUFSK, 5709797]
[paragraph, [392.0, 3046.5, 2861.0, 52.5], shoonya_0sDAZ5XFEHUFSK, 5709797]
[paragraph, [392.0, 3099.0, 2861.0, 52.5], shoonya_0sDAZ5XFEHUFSK, 5709797]
[paragraph, [368.0, 3164.0, 2814.0, 52.5], SP765veHcC, 5709797]
[paragraph, [368.0, 3216.5, 2814.0, 52.5], SP765veHcC, 5709797]
[paragraph, [368.0, 3269.0, 2814.0, 52.5], SP765veHcC, 5709797]
[paragraph, [368.0, 3321.5, 2814.0, 52.5], SP765veHcC, 5709797]
[paragraph, [368.0, 3374.0, 2814.0, 52.5], SP765veHcC, 5709797]
[paragraph, [368.0, 3426.5, 2814.0, 52.5], SP765veHcC, 5709797]
[paragraph, [368.0, 3479.0, 2814.0, 52.5], SP765veHcC, 5709797]
[quote, [610.0, 3560.0, 2136.0, 52.5], 3-cmVdcU54, 5709797]
[quote, [610.0, 3612.5, 2136.0, 52.5], 3-cmVdcU54, 5709797]
[quote, [610.0, 3665.0, 2136.0, 52.5], 3-cmVdcU54, 5709797]
