[1200, 825]
[paragraph, [136.0, 105.0, 545.0, 18.0], shoonya_3sE4ZEGU05SA39, 5690872]
[paragraph, [136.0, 123.0, 545.0, 18.0], shoonya_3sE4ZEGU05SA39, 5690872]
[paragraph, [136.0, 141.0, 545.0, 18.0], shoonya_3sE4ZEGU05SA39, 5690872]
[paragraph, [136.0, 159.0, 545.0, 18.0], shoonya_3sE4ZEGU05SA39, 5690872]
[paragraph, [136.0, 177.0, 545.0, 18.0], shoonya_3sE4ZEGU05SA39, 5690872]
[paragraph, [136.0, 195.0, 545.0, 18.0], shoonya_3sE4ZEGU05SA39, 5690872]
[paragraph, [136.0, 213.0, 545.0, 18.0], shoonya_3sE4ZEGU05SA39, 5690872]
[paragraph, [136.0, 231.0, 545.0, 18.0], shoonya_3sE4ZEGU05SA39, 5690872]
[paragraph, [136.0, 249.0, 545.0, 18.0], shoonya_3sE4ZEGU05SA39, 5690872]
[paragraph, [136.0, 267.0, 545.0, 18.0], shoonya_3sE4ZEGU05SA39, 5690872]
[paragraph, [136.0, 285.0, 545.0, 18.0], shoonya_3sE4ZEGU05SA39, 5690872]
[paragraph, [136.0, 303.0, 545.0, 18.0], shoonya_3sE4ZEGU05SA39, 5690872]
[paragraph, [136.0, 321.0, 545.0, 18.0], shoonya_3sE4ZEGU05SA39, 5690872]
[paragraph, [136.0, 339.0, 545.0, 18.0], shoonya_3sE4ZEGU05SA39, 5690872]
[paragraph, [136.0, 357.0, 545.0, 18.0], shoonya_3sE4ZEGU05SA39, 5690872]
[paragraph, [136.0, 375.0, 545.0, 18.0], shoonya_3sE4ZEGU05SA39, 5690872]
[paragraph, [136.0, 393.0, 545.0, 18.0], shoonya_3sE4ZEGU05SA39, 5690872]
[paragraph, [136.0, 411.0, 545.0, 18.0], shoonya_3sE4ZEGU05SA39, 5690872]
[paragraph, [136.0, 429.0, 545.0, 18.0], shoonya_3sE4ZEGU05SA39, 5690872]
[paragraph, [136.0, 447.0, 545.0, 18.0], shoonya_3sE4ZEGU05SA39, 5690872]
[paragraph, [136.0, 465.0, 545.0, 18.0], shoonya_3sE4ZEGU05SA39, 5690872]
[paragraph, [136.0, 483.0, 545.0, 18.0], shoonya_3sE4ZEGU05SA39, 5690872]
[paragraph, [136.0, 501.0, 545.0, 18.0], shoonya_3sE4ZEGU05SA39, 5690872]
[paragraph, [136.0, 519.0, 545.0, 18.0], shoonya_3sE4ZEGU05SA39, 5690872]
[paragraph, [136.0, 537.0, 545.0, 18.0], shoonya_3sE4ZEGU05SA39, 5690872]
[paragraph, [145.0, 572.0, 535.0, 18.0], shoonya_0s9WVM8Z4932A2, 5690872]
[paragraph, [145.0, 590.0, 535.0, 18.0], shoonya_0s9WVM8Z4932A2, 5690872]
[paragraph, [145.0, 608.0, 535.0, 18.0], shoonya_0s9WVM8Z4932A2, 5690872]
[paragraph, [145.0, 626.0, 535.0, 18.0], shoonya_0s9WVM8Z4932A2, 5690872]
[paragraph, [145.0, 644.0, 535.0, 18.0], shoonya_0s9WVM8Z4932A2, 5690872]
[paragraph, [145.0, 662.0, 535.0, 18.0], shoonya_0s9WVM8Z4932A2, 5690872]
[paragraph, [145.0, 680.0, 535.0, 18.0], shoonya_0s9WVM8Z4932A2, 5690872]
[paragraph, [145.0, 698.0, 535.0, 18.0], shoonya_0s9WVM8Z4932A2, 5690872]
[paragraph, [145.0, 716.0, 535.0, 18.0], shoonya_0s9WVM8Z4932A2, 5690872]
[paragraph, [145.0, 734.0, 535.0, 18.0], shoonya_0s9WVM8Z4932A2, 5690872]
[paragraph, [145.0, 752.0, 535.0, 18.0], shoonya_0s9WVM8Z4932A2, 5690872]
[paragraph, [145.0, 770.0, 535.0, 18.0], shoonya_0s9WVM8Z4932A2, 5690872]
[paragraph, [145.0, 788.0, 535.0, 18.0], shoonya_0s9WVM8Z4932A2, 5690872]
[paragraph, [145.0, 806.0, 535.0, 18.0], shoonya_0s9WVM8Z4932A2, 5690872]
[paragraph, [145.0, 824.0, 535.0, 18.0], shoonya_0s9WVM8Z4932A2, 5690872]
[paragraph, [145.0, 842.0, 535.0, 18.0], shoonya_0s9WVM8Z4932A2, 5690872]
[paragraph, [143.0, 878.0, 538.0, 18.0], shoonya_1sP3R2Q58W0O3N, 5690872]
[paragraph, [143.0, 896.0, 538.0, 18.0], shoonya_1sP3R2Q58W0O3N, 5690872]
[paragraph, [143.0, 914.0, 538.0, 18.0], shoonya_1sP3R2Q58W0O3N, 5690872]
[paragraph, [143.0, 932.0, 538.0, 18.0], shoonya_1sP3R2Q58W0O3N, 5690872]
[paragraph, [143.0, 950.0, 538.0, 18.0], shoonya_1sP3R2Q58W0O3N, 5690872]
[paragraph, [143.0, 968.0, 538.0, 18.0], shoonya_1sP3R2Q58W0O3N, 5690872]
[paragraph, [143.0, 986.0, 538.0, 18.0], shoonya_1sP3R2Q58W0O3N, 5690872]
[paragraph, [143.0, 1004.0, 538.0, 18.0], shoonya_1sP3R2Q58W0O3N, 5690872]
[paragraph, [143.0, 1022.0, 538.0, 18.0], shoonya_1sP3R2Q58W0O3N, 5690872]
[paragraph, [143.0, 1040.0, 538.0, 18.0], shoonya_1sP3R2Q58W0O3N, 5690872]
