[1200, 825]
[paragraph, [141.0, 108.0, 540.0, 18.0], shoonya_5sROBWKRAOVVVT, 5691417]
[paragraph, [141.0, 126.0, 540.0, 18.0], shoonya_5sROBWKRAOVVVT, 5691417]
[paragraph, [141.0, 144.0, 540.0, 18.0], shoonya_5sROBWKRAOVVVT, 5691417]
[paragraph, [140.0, 167.0, 542.0, 18.0], shoonya_2sEH4IB746KS8F, 5691417]
[paragraph, [140.0, 185.0, 542.0, 18.0], shoonya_2sEH4IB746KS8F, 5691417]
[paragraph, [140.0, 203.0, 542.0, 18.0], shoonya_2sEH4IB746KS8F, 5691417]
[paragraph, [140.0, 221.0, 542.0, 18.0], shoonya_2sEH4IB746KS8F, 5691417]
[paragraph, [140.0, 239.0, 542.0, 18.0], shoonya_2sEH4IB746KS8F, 5691417]
[paragraph, [140.0, 257.0, 542.0, 18.0], shoonya_2sEH4IB746KS8F, 5691417]
[paragraph, [140.0, 275.0, 542.0, 18.0], shoonya_2sEH4IB746KS8F, 5691417]
[paragraph, [140.0, 293.0, 542.0, 18.0], shoonya_2sEH4IB746KS8F, 5691417]
[paragraph, [140.0, 311.0, 542.0, 18.0], shoonya_2sEH4IB746KS8F, 5691417]
[paragraph, [140.0, 329.0, 542.0, 18.0], shoonya_2sEH4IB746KS8F, 5691417]
[paragraph, [140.0, 347.0, 542.0, 18.0], shoonya_2sEH4IB746KS8F, 5691417]
[paragraph, [140.0, 365.0, 542.0, 18.0], shoonya_2sEH4IB746KS8F, 5691417]
[paragraph, [140.0, 383.0, 542.0, 18.0], shoonya_2sEH4IB746KS8F, 5691417]
[paragraph, [145.0, 417.0, 537.0, 18.0], shoonya_0s3UPACP9YH1XV, 5691417]
[paragraph, [145.0, 435.0, 537.0, 18.0], shoonya_0s3UPACP9YH1XV, 5691417]
[paragraph, [145.0, 453.0, 537.0, 18.0], shoonya_0s3UPACP9YH1XV, 5691417]
[paragraph, [145.0, 471.0, 537.0, 18.0], shoonya_0s3UPACP9YH1XV, 5691417]
[paragraph, [145.0, 489.0, 537.0, 18.0], shoonya_0s3UPACP9YH1XV, 5691417]
[paragraph, [145.0, 507.0, 537.0, 18.0], shoonya_0s3UPACP9YH1XV, 5691417]
[paragraph, [145.0, 525.0, 537.0, 18.0], shoonya_0s3UPACP9YH1XV, 5691417]
[paragraph, [145.0, 543.0, 537.0, 18.0], shoonya_0s3UPACP9YH1XV, 5691417]
[paragraph, [145.0, 561.0, 537.0, 18.0], shoonya_0s3UPACP9YH1XV, 5691417]
[paragraph, [145.0, 579.0, 537.0, 18.0], shoonya_0s3UPACP9YH1XV, 5691417]
[paragraph, [145.0, 597.0, 537.0, 18.0], shoonya_0s3UPACP9YH1XV, 5691417]
[paragraph, [145.0, 615.0, 537.0, 18.0], shoonya_0s3UPACP9YH1XV, 5691417]
[paragraph, [145.0, 633.0, 537.0, 18.0], shoonya_0s3UPACP9YH1XV, 5691417]
[paragraph, [145.0, 651.0, 537.0, 18.0], shoonya_0s3UPACP9YH1XV, 5691417]
[paragraph, [145.0, 669.0, 537.0, 18.0], shoonya_0s3UPACP9YH1XV, 5691417]
[paragraph, [145.0, 687.0, 537.0, 18.0], shoonya_0s3UPACP9YH1XV, 5691417]
[paragraph, [145.0, 705.0, 537.0, 18.0], shoonya_0s3UPACP9YH1XV, 5691417]
[paragraph, [145.0, 723.0, 537.0, 18.0], shoonya_0s3UPACP9YH1XV, 5691417]
[paragraph, [145.0, 741.0, 537.0, 18.0], shoonya_0s3UPACP9YH1XV, 5691417]
[paragraph, [145.0, 759.0, 537.0, 18.0], shoonya_0s3UPACP9YH1XV, 5691417]
[paragraph, [140.0, 784.0, 544.0, 18.0], shoonya_7sH3O877TE6ZJU, 5691417]
[paragraph, [140.0, 802.0, 544.0, 18.0], shoonya_7sH3O877TE6ZJU, 5691417]
[paragraph, [140.0, 820.0, 544.0, 18.0], shoonya_7sH3O877TE6ZJU, 5691417]
[paragraph, [138.0, 847.0, 546.0, 18.0], shoonya_6sKX35TXYTLV4O, 5691417]
[paragraph, [138.0, 865.0, 546.0, 18.0], shoonya_6sKX35TXYTLV4O, 5691417]
[paragraph, [138.0, 883.0, 546.0, 18.0], shoonya_6sKX35TXYTLV4O, 5691417]
[paragraph, [138.0, 901.0, 546.0, 18.0], shoonya_6sKX35TXYTLV4O, 5691417]
[paragraph, [138.0, 919.0, 546.0, 18.0], shoonya_6sKX35TXYTLV4O, 5691417]
[paragraph, [138.0, 937.0, 546.0, 18.0], shoonya_6sKX35TXYTLV4O, 5691417]
[paragraph, [136.0, 969.0, 550.0, 18.0], shoonya_4sYSGTB59NL8LD, 5691417]
[paragraph, [136.0, 987.0, 550.0, 18.0], shoonya_4sYSGTB59NL8LD, 5691417]
[paragraph, [136.0, 1005.0, 550.0, 18.0], shoonya_4sYSGTB59NL8LD, 5691417]
[paragraph, [136.0, 1023.0, 550.0, 18.0], shoonya_4sYSGTB59NL8LD, 5691417]
[paragraph, [136.0, 1041.0, 550.0, 18.0], shoonya_4sYSGTB59NL8LD, 5691417]
