[3954, 2784]
[paragraph, [294.0, 316.0, 1604.0, 52.5], obVcl4jYqJ, 5715369]
[paragraph, [294.0, 368.5, 1604.0, 52.5], obVcl4jYqJ, 5715369]
[paragraph, [294.0, 421.0, 1604.0, 52.5], obVcl4jYqJ, 5715369]
[paragraph, [294.0, 473.5, 1604.0, 52.5], obVcl4jYqJ, 5715369]
[paragraph, [294.0, 526.0, 1604.0, 52.5], obVcl4jYqJ, 5715369]
[paragraph, [294.0, 578.5, 1604.0, 52.5], obVcl4jYqJ, 5715369]
[paragraph, [231.0, 642.0, 1751.0, 52.5], jmHJNBF00O, 5715369]
[paragraph, [231.0, 694.5, 1751.0, 52.5], jmHJNBF00O, 5715369]
[paragraph, [231.0, 747.0, 1751.0, 52.5], jmHJNBF00O, 5715369]
[paragraph, [231.0, 799.5, 1751.0, 52.5], jmHJNBF00O, 5715369]
[paragraph, [231.0, 852.0, 1751.0, 52.5], jmHJNBF00O, 5715369]
[paragraph, [231.0, 904.5, 1751.0, 52.5], jmHJNBF00O, 5715369]
[section-title, [189.0, 1021.0, 1481.0, 93.0], ZzklGrAiac, 5715369]
[section-title, [189.0, 1114.0, 1481.0, 93.0], ZzklGrAiac, 5715369]
[section-title, [189.0, 1207.0, 1481.0, 93.0], ZzklGrAiac, 5715369]
[section-title, [189.0, 1300.0, 1481.0, 93.0], ZzklGrAiac, 5715369]
[section-title, [189.0, 1393.0, 1481.0, 93.0], ZzklGrAiac, 5715369]
[section-title, [189.0, 1486.0, 1481.0, 93.0], ZzklGrAiac, 5715369]
[paragraph, [1558.0, 1158.0, 1151.0, 52.5], RVoFZBGuVI, 5715369]
[paragraph, [1558.0, 1210.5, 1151.0, 52.5], RVoFZBGuVI, 5715369]
[paragraph, [1558.0, 1263.0, 1151.0, 52.5], RVoFZBGuVI, 5715369]
[paragraph, [1558.0, 1315.5, 1151.0, 52.5], RVoFZBGuVI, 5715369]
[paragraph, [1558.0, 1368.0, 1151.0, 52.5], RVoFZBGuVI, 5715369]
[paragraph, [1558.0, 1420.5, 1151.0, 52.5], RVoFZBGuVI, 5715369]
[paragraph, [1558.0, 1473.0, 1151.0, 52.5], RVoFZBGuVI, 5715369]
[paragraph, [1558.0, 1525.5, 1151.0, 52.5], RVoFZBGuVI, 5715369]
[paragraph, [1558.0, 1578.0, 1151.0, 52.5], RVoFZBGuVI, 5715369]
[paragraph, [1558.0, 1630.5, 1151.0, 52.5], RVoFZBGuVI, 5715369]
[paragraph, [1558.0, 1683.0, 1151.0, 52.5], RVoFZBGuVI, 5715369]
[paragraph, [1558.0, 1735.5, 1151.0, 52.5], RVoFZBGuVI, 5715369]
[paragraph, [1558.0, 1788.0, 1151.0, 52.5], RVoFZBGuVI, 5715369]
[paragraph, [1088.0, 2352.0, 677.0, 52.5], I3Y6WAKodL, 5715369]
[paragraph, [1088.0, 2404.5, 677.0, 52.5], I3Y6WAKodL, 5715369]
[paragraph, [1088.0, 2457.0, 677.0, 52.5], I3Y6WAKodL, 5715369]
[paragraph, [1088.0, 2509.5, 677.0, 52.5], I3Y6WAKodL, 5715369]
[paragraph, [1088.0, 2562.0, 677.0, 52.5], I3Y6WAKodL, 5715369]
[paragraph, [1088.0, 2614.5, 677.0, 52.5], I3Y6WAKodL, 5715369]
[unordered-list, [747.0, 2728.0, 905.0, 52.5], pLMTbW8Tgx, 5715369]
[unordered-list, [747.0, 2780.5, 905.0, 52.5], pLMTbW8Tgx, 5715369]
[unordered-list, [747.0, 2833.0, 905.0, 52.5], pLMTbW8Tgx, 5715369]
[unordered-list, [747.0, 2885.5, 905.0, 52.5], pLMTbW8Tgx, 5715369]
[unordered-list, [747.0, 2938.0, 905.0, 52.5], pLMTbW8Tgx, 5715369]
[unordered-list, [747.0, 2990.5, 905.0, 52.5], pLMTbW8Tgx, 5715369]
[unordered-list, [747.0, 3043.0, 905.0, 52.5], pLMTbW8Tgx, 5715369]
[paragraph, [688.0, 3160.0, 842.0, 52.5], mPDkBwE-41, 5715369]
[paragraph, [688.0, 3212.5, 842.0, 52.5], mPDkBwE-41, 5715369]
[paragraph, [688.0, 3265.0, 842.0, 52.5], mPDkBwE-41, 5715369]
[contact-info, [726.0, 3360.0, 1913.0, 52.5], Qhyr24BccI, 5715369]
[contact-info, [726.0, 3412.5, 1913.0, 52.5], Qhyr24BccI, 5715369]
[contact-info, [726.0, 3465.0, 1913.0, 52.5], Qhyr24BccI, 5715369]
[contact-info, [726.0, 3517.5, 1913.0, 52.5], Qhyr24BccI, 5715369]
[contact-info, [726.0, 3570.0, 1913.0, 52.5], Qhyr24BccI, 5715369]
[contact-info, [119.0, 3694.0, 572.0, 52.5], wYy2vTiSSY, 5715369]
[contact-info, [119.0, 3746.5, 572.0, 52.5], wYy2vTiSSY, 5715369]
[contact-info, [119.0, 3799.0, 572.0, 52.5], wYy2vTiSSY, 5715369]
