[1951, 1219]
[folio, [796.0, 118.0, 206.0, 36.0], shoonya_0sVUKUY9K5V3V8, 5683103]
[paragraph, [129.0, 202.0, 967.0, 36.0], b4haIwAaQq, 5683103]
[paragraph, [129.0, 238.0, 967.0, 36.0], b4haIwAaQq, 5683103]
[paragraph, [129.0, 274.0, 967.0, 36.0], b4haIwAaQq, 5683103]
[paragraph, [129.0, 310.0, 967.0, 36.0], b4haIwAaQq, 5683103]
[paragraph, [129.0, 346.0, 967.0, 36.0], b4haIwAaQq, 5683103]
[paragraph, [129.0, 382.0, 967.0, 36.0], b4haIwAaQq, 5683103]
[paragraph, [129.0, 418.0, 967.0, 36.0], b4haIwAaQq, 5683103]
[paragraph, [126.0, 499.0, 972.0, 36.0], fG_OztcaYV, 5683103]
[paragraph, [126.0, 535.0, 972.0, 36.0], fG_OztcaYV, 5683103]
[paragraph, [126.0, 571.0, 972.0, 36.0], fG_OztcaYV, 5683103]
[paragraph, [126.0, 607.0, 972.0, 36.0], fG_OztcaYV, 5683103]
[paragraph, [126.0, 643.0, 972.0, 36.0], fG_OztcaYV, 5683103]
[paragraph, [126.0, 679.0, 972.0, 36.0], fG_OztcaYV, 5683103]
[paragraph, [126.0, 715.0, 972.0, 36.0], fG_OztcaYV, 5683103]
[paragraph, [126.0, 751.0, 972.0, 36.0], fG_OztcaYV, 5683103]
[paragraph, [126.0, 787.0, 972.0, 36.0], fG_OztcaYV, 5683103]
[paragraph, [126.0, 823.0, 972.0, 36.0], fG_OztcaYV, 5683103]
[paragraph, [126.0, 859.0, 972.0, 36.0], fG_OztcaYV, 5683103]
[paragraph, [126.0, 895.0, 972.0, 36.0], fG_OztcaYV, 5683103]
[paragraph, [126.0, 931.0, 972.0, 36.0], fG_OztcaYV, 5683103]
[paragraph, [126.0, 967.0, 972.0, 36.0], fG_OztcaYV, 5683103]
[paragraph, [126.0, 1003.0, 972.0, 36.0], fG_OztcaYV, 5683103]
[paragraph, [126.0, 1039.0, 972.0, 36.0], fG_OztcaYV, 5683103]
[paragraph, [126.0, 1075.0, 972.0, 36.0], fG_OztcaYV, 5683103]
[paragraph, [123.0, 1141.0, 969.0, 36.0], 5e2WSR9DYd, 5683103]
[paragraph, [123.0, 1177.0, 969.0, 36.0], 5e2WSR9DYd, 5683103]
[paragraph, [123.0, 1213.0, 969.0, 36.0], 5e2WSR9DYd, 5683103]
[paragraph, [123.0, 1249.0, 969.0, 36.0], 5e2WSR9DYd, 5683103]
[paragraph, [123.0, 1285.0, 969.0, 36.0], 5e2WSR9DYd, 5683103]
[paragraph, [123.0, 1321.0, 969.0, 36.0], 5e2WSR9DYd, 5683103]
[paragraph, [123.0, 1357.0, 969.0, 36.0], 5e2WSR9DYd, 5683103]
[paragraph, [123.0, 1393.0, 969.0, 36.0], 5e2WSR9DYd, 5683103]
[paragraph, [123.0, 1429.0, 969.0, 36.0], 5e2WSR9DYd, 5683103]
[paragraph, [123.0, 1465.0, 969.0, 36.0], 5e2WSR9DYd, 5683103]
[paragraph, [123.0, 1501.0, 969.0, 36.0], 5e2WSR9DYd, 5683103]
[paragraph, [123.0, 1537.0, 969.0, 36.0], 5e2WSR9DYd, 5683103]
[paragraph, [123.0, 1573.0, 969.0, 36.0], 5e2WSR9DYd, 5683103]
[paragraph, [123.0, 1609.0, 969.0, 36.0], 5e2WSR9DYd, 5683103]
[paragraph, [123.0, 1645.0, 969.0, 36.0], 5e2WSR9DYd, 5683103]
[paragraph, [123.0, 1681.0, 969.0, 36.0], 5e2WSR9DYd, 5683103]
[paragraph, [123.0, 1717.0, 969.0, 36.0], 5e2WSR9DYd, 5683103]
[paragraph, [123.0, 1753.0, 969.0, 36.0], 5e2WSR9DYd, 5683103]
[paragraph, [123.0, 1789.0, 969.0, 36.0], 5e2WSR9DYd, 5683103]
