[666, 1322]
[paragraph, [890.0, 94.0, 173.0, 18.0], shoonya_11sTZMMESV6U6F, 5657167]
[paragraph, [890.0, 112.0, 173.0, 18.0], shoonya_11sTZMMESV6U6F, 5657167]
[paragraph, [890.0, 130.0, 173.0, 18.0], shoonya_11sTZMMESV6U6F, 5657167]
[paragraph, [256.0, 131.0, 174.0, 18.0], shoonya_14sA1AAFCVC7L2, 5657167]
[paragraph, [256.0, 149.0, 174.0, 18.0], shoonya_14sA1AAFCVC7L2, 5657167]
[paragraph, [256.0, 167.0, 174.0, 18.0], shoonya_14sA1AAFCVC7L2, 5657167]
[paragraph, [665.0, 146.0, 173.0, 18.0], shoonya_0sLX9UKHCQV5TD, 5657167]
[paragraph, [665.0, 164.0, 173.0, 18.0], shoonya_0sLX9UKHCQV5TD, 5657167]
[paragraph, [665.0, 182.0, 173.0, 18.0], shoonya_0sLX9UKHCQV5TD, 5657167]
[paragraph, [665.0, 200.0, 173.0, 18.0], shoonya_0sLX9UKHCQV5TD, 5657167]
[paragraph, [665.0, 218.0, 173.0, 18.0], shoonya_0sLX9UKHCQV5TD, 5657167]
[paragraph, [665.0, 236.0, 173.0, 18.0], shoonya_0sLX9UKHCQV5TD, 5657167]
[paragraph, [665.0, 254.0, 173.0, 18.0], shoonya_0sLX9UKHCQV5TD, 5657167]
[paragraph, [665.0, 272.0, 173.0, 18.0], shoonya_0sLX9UKHCQV5TD, 5657167]
[paragraph, [665.0, 290.0, 173.0, 18.0], shoonya_0sLX9UKHCQV5TD, 5657167]
[paragraph, [665.0, 308.0, 173.0, 18.0], shoonya_0sLX9UKHCQV5TD, 5657167]
[paragraph, [890.0, 163.0, 173.0, 18.0], shoonya_4sINQBW8MJBX58, 5657167]
[paragraph, [890.0, 181.0, 173.0, 18.0], shoonya_4sINQBW8MJBX58, 5657167]
[paragraph, [890.0, 199.0, 173.0, 18.0], shoonya_4sINQBW8MJBX58, 5657167]
[paragraph, [890.0, 217.0, 173.0, 18.0], shoonya_4sINQBW8MJBX58, 5657167]
[paragraph, [890.0, 235.0, 173.0, 18.0], shoonya_4sINQBW8MJBX58, 5657167]
[paragraph, [890.0, 253.0, 173.0, 18.0], shoonya_4sINQBW8MJBX58, 5657167]
[paragraph, [890.0, 271.0, 173.0, 18.0], shoonya_4sINQBW8MJBX58, 5657167]
[paragraph, [890.0, 289.0, 173.0, 18.0], shoonya_4sINQBW8MJBX58, 5657167]
[paragraph, [890.0, 307.0, 173.0, 18.0], shoonya_4sINQBW8MJBX58, 5657167]
[paragraph, [257.0, 197.0, 173.0, 18.0], shoonya_2s0OSQD3LCV8GH, 5657167]
[paragraph, [257.0, 215.0, 173.0, 18.0], shoonya_2s0OSQD3LCV8GH, 5657167]
[paragraph, [257.0, 233.0, 173.0, 18.0], shoonya_2s0OSQD3LCV8GH, 5657167]
[paragraph, [257.0, 251.0, 173.0, 18.0], shoonya_2s0OSQD3LCV8GH, 5657167]
[paragraph, [257.0, 269.0, 173.0, 18.0], shoonya_2s0OSQD3LCV8GH, 5657167]
[paragraph, [257.0, 287.0, 173.0, 18.0], shoonya_2s0OSQD3LCV8GH, 5657167]
[paragraph, [257.0, 305.0, 173.0, 18.0], shoonya_2s0OSQD3LCV8GH, 5657167]
[paragraph, [257.0, 323.0, 173.0, 18.0], shoonya_2s0OSQD3LCV8GH, 5657167]
[paragraph, [257.0, 341.0, 173.0, 18.0], shoonya_2s0OSQD3LCV8GH, 5657167]
[paragraph, [257.0, 359.0, 173.0, 18.0], shoonya_2s0OSQD3LCV8GH, 5657167]
[paragraph, [257.0, 377.0, 173.0, 18.0], shoonya_2s0OSQD3LCV8GH, 5657167]
[paragraph, [1074.0, 248.0, 173.0, 18.0], shoonya_12sL5DTECIT2HD, 5657167]
[paragraph, [1074.0, 266.0, 173.0, 18.0], shoonya_12sL5DTECIT2HD, 5657167]
[paragraph, [482.0, 276.0, 171.0, 18.0], shoonya_20s6HWDK5A2WGQ, 5657167]
[paragraph, [482.0, 299.0, 173.0, 18.0], shoonya_3sJU0TOQ6QO49A, 5657167]
[paragraph, [482.0, 317.0, 173.0, 18.0], shoonya_3sJU0TOQ6QO49A, 5657167]
[paragraph, [482.0, 335.0, 173.0, 18.0], shoonya_3sJU0TOQ6QO49A, 5657167]
[paragraph, [482.0, 353.0, 173.0, 18.0], shoonya_3sJU0TOQ6QO49A, 5657167]
[paragraph, [482.0, 371.0, 173.0, 18.0], shoonya_3sJU0TOQ6QO49A, 5657167]
[paragraph, [482.0, 389.0, 173.0, 18.0], shoonya_3sJU0TOQ6QO49A, 5657167]
[paragraph, [482.0, 407.0, 173.0, 18.0], shoonya_3sJU0TOQ6QO49A, 5657167]
[paragraph, [482.0, 425.0, 173.0, 18.0], shoonya_3sJU0TOQ6QO49A, 5657167]
[paragraph, [1074.0, 300.0, 172.0, 18.0], shoonya_16sQIFXJOK80KJ, 5657167]
[paragraph, [1074.0, 318.0, 172.0, 18.0], shoonya_16sQIFXJOK80KJ, 5657167]
[paragraph, [75.0, 311.0, 173.0, 18.0], shoonya_1s1EXJ0JZBL6D4, 5657167]
[paragraph, [75.0, 329.0, 173.0, 18.0], shoonya_1s1EXJ0JZBL6D4, 5657167]
[paragraph, [75.0, 347.0, 173.0, 18.0], shoonya_1s1EXJ0JZBL6D4, 5657167]
[paragraph, [75.0, 365.0, 173.0, 18.0], shoonya_1s1EXJ0JZBL6D4, 5657167]
[paragraph, [75.0, 383.0, 173.0, 18.0], shoonya_1s1EXJ0JZBL6D4, 5657167]
[paragraph, [75.0, 401.0, 173.0, 18.0], shoonya_1s1EXJ0JZBL6D4, 5657167]
[paragraph, [75.0, 419.0, 173.0, 18.0], shoonya_1s1EXJ0JZBL6D4, 5657167]
[paragraph, [75.0, 437.0, 173.0, 18.0], shoonya_1s1EXJ0JZBL6D4, 5657167]
[paragraph, [75.0, 455.0, 173.0, 18.0], shoonya_1s1EXJ0JZBL6D4, 5657167]
[paragraph, [75.0, 473.0, 173.0, 18.0], shoonya_1s1EXJ0JZBL6D4, 5657167]
[paragraph, [75.0, 491.0, 173.0, 18.0], shoonya_1s1EXJ0JZBL6D4, 5657167]
[paragraph, [891.0, 332.0, 173.0, 18.0], shoonya_10sRJNO2Z4OHQD, 5657167]
[paragraph, [891.0, 350.0, 173.0, 18.0], shoonya_10sRJNO2Z4OHQD, 5657167]
[paragraph, [891.0, 368.0, 173.0, 18.0], shoonya_10sRJNO2Z4OHQD, 5657167]
