[1492, 1000]
[folio, [325.0, 147.0, 368.0, 18.0], Bodlvsmt3d, 5720758]
[folio, [325.0, 165.0, 368.0, 18.0], Bodlvsmt3d, 5720758]
[paragraph, [136.0, 207.0, 739.0, 18.0], shoonya_0sQ3MZ6UC5XAH7, 5720758]
[paragraph, [136.0, 225.0, 739.0, 18.0], shoonya_0sQ3MZ6UC5XAH7, 5720758]
[paragraph, [136.0, 243.0, 739.0, 18.0], shoonya_0sQ3MZ6UC5XAH7, 5720758]
[paragraph, [136.0, 261.0, 739.0, 18.0], shoonya_0sQ3MZ6UC5XAH7, 5720758]
[paragraph, [137.0, 286.0, 734.0, 18.0], 5dq1-tc0d1, 5720758]
[paragraph, [137.0, 304.0, 734.0, 18.0], 5dq1-tc0d1, 5720758]
[paragraph, [137.0, 322.0, 734.0, 18.0], 5dq1-tc0d1, 5720758]
[paragraph, [137.0, 340.0, 734.0, 18.0], 5dq1-tc0d1, 5720758]
[paragraph, [137.0, 358.0, 734.0, 18.0], 5dq1-tc0d1, 5720758]
[paragraph, [137.0, 376.0, 734.0, 18.0], 5dq1-tc0d1, 5720758]
[paragraph, [140.0, 407.0, 733.0, 18.0], BpObH0G76g, 5720758]
[paragraph, [140.0, 425.0, 733.0, 18.0], BpObH0G76g, 5720758]
[paragraph, [140.0, 443.0, 733.0, 18.0], BpObH0G76g, 5720758]
[paragraph, [140.0, 461.0, 733.0, 18.0], BpObH0G76g, 5720758]
[paragraph, [147.0, 479.0, 727.0, 18.0], YSoQmkMz_r, 5720758]
[paragraph, [147.0, 497.0, 727.0, 18.0], YSoQmkMz_r, 5720758]
[paragraph, [147.0, 515.0, 727.0, 18.0], YSoQmkMz_r, 5720758]
[paragraph, [147.0, 533.0, 727.0, 18.0], YSoQmkMz_r, 5720758]
[paragraph, [144.0, 561.0, 730.0, 18.0], b0tz7uDg8d, 5720758]
[paragraph, [144.0, 579.0, 730.0, 18.0], b0tz7uDg8d, 5720758]
[paragraph, [144.0, 597.0, 730.0, 18.0], b0tz7uDg8d, 5720758]
[paragraph, [144.0, 615.0, 730.0, 18.0], b0tz7uDg8d, 5720758]
[paragraph, [149.0, 643.0, 727.0, 18.0], SC_p_nUYUM, 5720758]
[paragraph, [149.0, 661.0, 727.0, 18.0], SC_p_nUYUM, 5720758]
[paragraph, [149.0, 679.0, 727.0, 18.0], SC_p_nUYUM, 5720758]
[paragraph, [149.0, 697.0, 727.0, 18.0], SC_p_nUYUM, 5720758]
[paragraph, [149.0, 715.0, 727.0, 18.0], SC_p_nUYUM, 5720758]
[paragraph, [149.0, 733.0, 727.0, 18.0], SC_p_nUYUM, 5720758]
[paragraph, [138.0, 759.0, 727.0, 18.0], 0KrEP9JcPW, 5720758]
[paragraph, [138.0, 777.0, 727.0, 18.0], 0KrEP9JcPW, 5720758]
[paragraph, [138.0, 795.0, 727.0, 18.0], 0KrEP9JcPW, 5720758]
[paragraph, [138.0, 813.0, 727.0, 18.0], 0KrEP9JcPW, 5720758]
[paragraph, [138.0, 834.0, 727.0, 18.0], i-Z2CA0d-h, 5720758]
[paragraph, [138.0, 852.0, 727.0, 18.0], i-Z2CA0d-h, 5720758]
[paragraph, [138.0, 870.0, 727.0, 18.0], i-Z2CA0d-h, 5720758]
[paragraph, [138.0, 888.0, 727.0, 18.0], i-Z2CA0d-h, 5720758]
[paragraph, [143.0, 915.0, 727.0, 18.0], 3ep9yUtDwX, 5720758]
[paragraph, [143.0, 933.0, 727.0, 18.0], 3ep9yUtDwX, 5720758]
[paragraph, [143.0, 951.0, 727.0, 18.0], 3ep9yUtDwX, 5720758]
[paragraph, [143.0, 969.0, 727.0, 18.0], 3ep9yUtDwX, 5720758]
[paragraph, [141.0, 996.0, 727.0, 18.0], r0wmetjgS3, 5720758]
[paragraph, [141.0, 1014.0, 727.0, 18.0], r0wmetjgS3, 5720758]
[paragraph, [141.0, 1032.0, 727.0, 18.0], r0wmetjgS3, 5720758]
[paragraph, [141.0, 1050.0, 727.0, 18.0], r0wmetjgS3, 5720758]
[paragraph, [144.0, 1072.0, 727.0, 18.0], pD82LRuOow, 5720758]
[paragraph, [144.0, 1090.0, 727.0, 18.0], pD82LRuOow, 5720758]
[paragraph, [144.0, 1108.0, 727.0, 18.0], pD82LRuOow, 5720758]
[paragraph, [144.0, 1126.0, 727.0, 18.0], pD82LRuOow, 5720758]
[paragraph, [144.0, 1144.0, 727.0, 18.0], pD82LRuOow, 5720758]
[paragraph, [144.0, 1162.0, 727.0, 18.0], pD82LRuOow, 5720758]
[paragraph, [144.0, 1180.0, 727.0, 18.0], pD82LRuOow, 5720758]
[paragraph, [144.0, 1198.0, 727.0, 18.0], pD82LRuOow, 5720758]
[paragraph, [144.0, 1216.0, 727.0, 18.0], pD82LRuOow, 5720758]
[paragraph, [144.0, 1234.0, 727.0, 18.0], pD82LRuOow, 5720758]
[paragraph, [144.0, 1252.0, 727.0, 18.0], pD82LRuOow, 5720758]
[paragraph, [144.0, 1270.0, 727.0, 18.0], pD82LRuOow, 5720758]
[paragraph, [144.0, 1288.0, 727.0, 18.0], pD82LRuOow, 5720758]
