[1755, 1240]
[folio, [636.0, 78.0, 503.0, 36.0], yw8W6sQPJL, 5744081]
[paragraph, [198.0, 204.0, 929.0, 36.0], shoonya_5sJ7XNEBQOB74X, 5744081]
[paragraph, [198.0, 240.0, 929.0, 36.0], shoonya_5sJ7XNEBQOB74X, 5744081]
[paragraph, [198.0, 276.0, 929.0, 36.0], shoonya_5sJ7XNEBQOB74X, 5744081]
[paragraph, [198.0, 312.0, 929.0, 36.0], shoonya_5sJ7XNEBQOB74X, 5744081]
[paragraph, [198.0, 348.0, 929.0, 36.0], shoonya_5sJ7XNEBQOB74X, 5744081]
[paragraph, [198.0, 384.0, 929.0, 36.0], shoonya_5sJ7XNEBQOB74X, 5744081]
[paragraph, [198.0, 420.0, 929.0, 36.0], shoonya_5sJ7XNEBQOB74X, 5744081]
[paragraph, [198.0, 456.0, 929.0, 36.0], shoonya_5sJ7XNEBQOB74X, 5744081]
[paragraph, [198.0, 492.0, 929.0, 36.0], shoonya_5sJ7XNEBQOB74X, 5744081]
[paragraph, [198.0, 528.0, 929.0, 36.0], shoonya_5sJ7XNEBQOB74X, 5744081]
[paragraph, [198.0, 564.0, 929.0, 36.0], shoonya_5sJ7XNEBQOB74X, 5744081]
[paragraph, [198.0, 600.0, 929.0, 36.0], shoonya_5sJ7XNEBQOB74X, 5744081]
[paragraph, [197.0, 674.0, 955.0, 36.0], QVtD44PPkx, 5744081]
[paragraph, [197.0, 710.0, 955.0, 36.0], QVtD44PPkx, 5744081]
[paragraph, [197.0, 746.0, 955.0, 36.0], QVtD44PPkx, 5744081]
[paragraph, [197.0, 782.0, 955.0, 36.0], QVtD44PPkx, 5744081]
[paragraph, [197.0, 818.0, 955.0, 36.0], QVtD44PPkx, 5744081]
[paragraph, [198.0, 887.0, 932.0, 36.0], shoonya_1s1F34VMU6ZNGU, 5744081]
[paragraph, [198.0, 923.0, 932.0, 36.0], shoonya_1s1F34VMU6ZNGU, 5744081]
[paragraph, [198.0, 959.0, 932.0, 36.0], shoonya_1s1F34VMU6ZNGU, 5744081]
[paragraph, [198.0, 995.0, 932.0, 36.0], shoonya_1s1F34VMU6ZNGU, 5744081]
[paragraph, [198.0, 1031.0, 932.0, 36.0], shoonya_1s1F34VMU6ZNGU, 5744081]
[paragraph, [198.0, 1067.0, 932.0, 36.0], shoonya_1s1F34VMU6ZNGU, 5744081]
[paragraph, [198.0, 1103.0, 932.0, 36.0], shoonya_1s1F34VMU6ZNGU, 5744081]
[paragraph, [198.0, 1139.0, 932.0, 36.0], shoonya_1s1F34VMU6ZNGU, 5744081]
[paragraph, [198.0, 1175.0, 932.0, 36.0], shoonya_1s1F34VMU6ZNGU, 5744081]
[paragraph, [198.0, 1211.0, 932.0, 36.0], shoonya_1s1F34VMU6ZNGU, 5744081]
[paragraph, [198.0, 1247.0, 932.0, 36.0], shoonya_1s1F34VMU6ZNGU, 5744081]
[paragraph, [198.0, 1283.0, 932.0, 36.0], shoonya_1s1F34VMU6ZNGU, 5744081]
[paragraph, [198.0, 1319.0, 932.0, 36.0], shoonya_1s1F34VMU6ZNGU, 5744081]
[paragraph, [198.0, 1355.0, 932.0, 36.0], shoonya_1s1F34VMU6ZNGU, 5744081]
[paragraph, [198.0, 1391.0, 932.0, 36.0], shoonya_1s1F34VMU6ZNGU, 5744081]
[paragraph, [199.0, 1459.0, 928.0, 36.0], shoonya_6sAZ9U69R1VJI3, 5744081]
[paragraph, [199.0, 1495.0, 928.0, 36.0], shoonya_6sAZ9U69R1VJI3, 5744081]
[paragraph, [199.0, 1531.0, 928.0, 36.0], shoonya_6sAZ9U69R1VJI3, 5744081]
