[1004, 650]
[paragraph, [47.0, 263.0, 603.0, 18.0], BogZ2fyKgl, 5741211]
[paragraph, [47.0, 281.0, 603.0, 18.0], BogZ2fyKgl, 5741211]
[paragraph, [47.0, 299.0, 603.0, 18.0], BogZ2fyKgl, 5741211]
[paragraph, [47.0, 317.0, 603.0, 18.0], BogZ2fyKgl, 5741211]
[paragraph, [47.0, 335.0, 603.0, 18.0], BogZ2fyKgl, 5741211]
[paragraph, [47.0, 353.0, 603.0, 18.0], BogZ2fyKgl, 5741211]
[paragraph, [47.0, 371.0, 603.0, 18.0], BogZ2fyKgl, 5741211]
[paragraph, [47.0, 389.0, 603.0, 18.0], BogZ2fyKgl, 5741211]
[paragraph, [55.0, 410.0, 555.0, 18.0], R83otT5TXv, 5741211]
[paragraph, [55.0, 428.0, 555.0, 18.0], R83otT5TXv, 5741211]
[paragraph, [55.0, 446.0, 555.0, 18.0], R83otT5TXv, 5741211]
[paragraph, [55.0, 464.0, 555.0, 18.0], R83otT5TXv, 5741211]
[paragraph, [55.0, 482.0, 555.0, 18.0], R83otT5TXv, 5741211]
[paragraph, [55.0, 500.0, 555.0, 18.0], R83otT5TXv, 5741211]
[paragraph, [55.0, 518.0, 555.0, 18.0], R83otT5TXv, 5741211]
[paragraph, [55.0, 536.0, 555.0, 18.0], R83otT5TXv, 5741211]
[paragraph, [55.0, 554.0, 555.0, 18.0], R83otT5TXv, 5741211]
[paragraph, [55.0, 572.0, 555.0, 18.0], R83otT5TXv, 5741211]
[paragraph, [55.0, 590.0, 555.0, 18.0], R83otT5TXv, 5741211]
[paragraph, [55.0, 608.0, 555.0, 18.0], R83otT5TXv, 5741211]
[paragraph, [55.0, 626.0, 555.0, 18.0], R83otT5TXv, 5741211]
[paragraph, [55.0, 644.0, 555.0, 18.0], R83otT5TXv, 5741211]
[paragraph, [55.0, 662.0, 555.0, 18.0], R83otT5TXv, 5741211]
[paragraph, [55.0, 680.0, 555.0, 18.0], R83otT5TXv, 5741211]
[paragraph, [55.0, 698.0, 555.0, 18.0], R83otT5TXv, 5741211]
[paragraph, [55.0, 716.0, 555.0, 18.0], R83otT5TXv, 5741211]
[paragraph, [55.0, 734.0, 555.0, 18.0], R83otT5TXv, 5741211]
[paragraph, [55.0, 752.0, 555.0, 18.0], R83otT5TXv, 5741211]
[paragraph, [55.0, 770.0, 555.0, 18.0], R83otT5TXv, 5741211]
[paragraph, [55.0, 788.0, 555.0, 18.0], R83otT5TXv, 5741211]
[paragraph, [55.0, 806.0, 555.0, 18.0], R83otT5TXv, 5741211]
[paragraph, [55.0, 824.0, 555.0, 18.0], R83otT5TXv, 5741211]
[paragraph, [55.0, 842.0, 555.0, 18.0], R83otT5TXv, 5741211]
[paragraph, [55.0, 860.0, 555.0, 18.0], R83otT5TXv, 5741211]
[paragraph, [55.0, 878.0, 555.0, 18.0], R83otT5TXv, 5741211]
[paragraph, [55.0, 896.0, 555.0, 18.0], R83otT5TXv, 5741211]
[paragraph, [55.0, 914.0, 555.0, 18.0], R83otT5TXv, 5741211]
[paragraph, [55.0, 932.0, 555.0, 18.0], R83otT5TXv, 5741211]
[footnote, [352.0, 965.0, 248.0, 18.0], QLDPdsJnBL, 5741211]
