[842, 595]
[paragraph, [103.0, 70.0, 425.0, 18.0], shoonya_0sJEMGX66T3NEG, 6459341]
[paragraph, [103.0, 88.0, 425.0, 18.0], shoonya_0sJEMGX66T3NEG, 6459341]
[paragraph, [103.0, 106.0, 425.0, 18.0], shoonya_0sJEMGX66T3NEG, 6459341]
[paragraph, [103.0, 124.0, 425.0, 18.0], shoonya_0sJEMGX66T3NEG, 6459341]
[paragraph, [103.0, 142.0, 425.0, 18.0], shoonya_0sJEMGX66T3NEG, 6459341]
[paragraph, [103.0, 160.0, 425.0, 18.0], shoonya_0sJEMGX66T3NEG, 6459341]
[paragraph, [103.0, 178.0, 425.0, 18.0], shoonya_0sJEMGX66T3NEG, 6459341]
[paragraph, [103.0, 196.0, 425.0, 18.0], shoonya_0sJEMGX66T3NEG, 6459341]
[paragraph, [103.0, 214.0, 425.0, 18.0], shoonya_0sJEMGX66T3NEG, 6459341]
[paragraph, [103.0, 232.0, 425.0, 18.0], shoonya_0sJEMGX66T3NEG, 6459341]
[paragraph, [103.0, 250.0, 425.0, 18.0], shoonya_0sJEMGX66T3NEG, 6459341]
[paragraph, [103.0, 268.0, 425.0, 18.0], shoonya_0sJEMGX66T3NEG, 6459341]
[paragraph, [103.0, 286.0, 425.0, 18.0], shoonya_0sJEMGX66T3NEG, 6459341]
[paragraph, [103.0, 304.0, 425.0, 18.0], shoonya_0sJEMGX66T3NEG, 6459341]
[paragraph, [103.0, 322.0, 425.0, 18.0], shoonya_0sJEMGX66T3NEG, 6459341]
[paragraph, [103.0, 340.0, 425.0, 18.0], shoonya_0sJEMGX66T3NEG, 6459341]
[paragraph, [103.0, 358.0, 425.0, 18.0], shoonya_0sJEMGX66T3NEG, 6459341]
[paragraph, [103.0, 376.0, 425.0, 18.0], shoonya_0sJEMGX66T3NEG, 6459341]
[paragraph, [103.0, 394.0, 425.0, 18.0], shoonya_0sJEMGX66T3NEG, 6459341]
[paragraph, [103.0, 412.0, 425.0, 18.0], shoonya_0sJEMGX66T3NEG, 6459341]
[paragraph, [103.0, 430.0, 425.0, 18.0], shoonya_0sJEMGX66T3NEG, 6459341]
[paragraph, [103.0, 448.0, 425.0, 18.0], shoonya_0sJEMGX66T3NEG, 6459341]
[paragraph, [103.0, 466.0, 425.0, 18.0], shoonya_0sJEMGX66T3NEG, 6459341]
[paragraph, [103.0, 484.0, 425.0, 18.0], shoonya_0sJEMGX66T3NEG, 6459341]
[paragraph, [103.0, 502.0, 425.0, 18.0], shoonya_0sJEMGX66T3NEG, 6459341]
[paragraph, [103.0, 520.0, 425.0, 18.0], shoonya_0sJEMGX66T3NEG, 6459341]
[paragraph, [103.0, 538.0, 425.0, 18.0], shoonya_0sJEMGX66T3NEG, 6459341]
[paragraph, [103.0, 556.0, 425.0, 18.0], shoonya_0sJEMGX66T3NEG, 6459341]
[paragraph, [100.0, 587.0, 428.0, 18.0], shoonya_3sGUQXWBQG7GKI, 6459341]
[paragraph, [100.0, 605.0, 428.0, 18.0], shoonya_3sGUQXWBQG7GKI, 6459341]
[paragraph, [100.0, 623.0, 428.0, 18.0], shoonya_3sGUQXWBQG7GKI, 6459341]
[paragraph, [100.0, 641.0, 428.0, 18.0], shoonya_3sGUQXWBQG7GKI, 6459341]
[paragraph, [100.0, 659.0, 428.0, 18.0], shoonya_3sGUQXWBQG7GKI, 6459341]
[paragraph, [100.0, 677.0, 428.0, 18.0], shoonya_3sGUQXWBQG7GKI, 6459341]
[paragraph, [100.0, 695.0, 428.0, 18.0], shoonya_3sGUQXWBQG7GKI, 6459341]
[paragraph, [100.0, 713.0, 428.0, 18.0], shoonya_3sGUQXWBQG7GKI, 6459341]
[folio, [479.0, 801.0, 105.0, 18.0], hc_oZGGXSw, 6459341]
