[911, 559]
[paragraph, [31.0, 56.0, 506.0, 18.0], shoonya_3s0JRDRPKXHWMJ, 5776366]
[paragraph, [31.0, 74.0, 506.0, 18.0], shoonya_3s0JRDRPKXHWMJ, 5776366]
[paragraph, [30.0, 96.0, 505.0, 18.0], shoonya_1sPQ4J10D83ZIR, 5776366]
[paragraph, [30.0, 114.0, 505.0, 18.0], shoonya_1sPQ4J10D83ZIR, 5776366]
[paragraph, [30.0, 132.0, 505.0, 18.0], shoonya_1sPQ4J10D83ZIR, 5776366]
[paragraph, [30.0, 150.0, 505.0, 18.0], shoonya_1sPQ4J10D83ZIR, 5776366]
[paragraph, [29.0, 177.0, 513.0, 18.0], shoonya_2sL25BXMHQ7SQ0, 5776366]
[paragraph, [29.0, 195.0, 513.0, 18.0], shoonya_2sL25BXMHQ7SQ0, 5776366]
[paragraph, [29.0, 213.0, 513.0, 18.0], shoonya_2sL25BXMHQ7SQ0, 5776366]
[paragraph, [29.0, 231.0, 513.0, 18.0], shoonya_2sL25BXMHQ7SQ0, 5776366]
[paragraph, [29.0, 249.0, 513.0, 18.0], shoonya_2sL25BXMHQ7SQ0, 5776366]
[paragraph, [29.0, 267.0, 513.0, 18.0], shoonya_2sL25BXMHQ7SQ0, 5776366]
[paragraph, [29.0, 285.0, 513.0, 18.0], shoonya_2sL25BXMHQ7SQ0, 5776366]
[paragraph, [29.0, 303.0, 513.0, 18.0], shoonya_2sL25BXMHQ7SQ0, 5776366]
[paragraph, [29.0, 321.0, 513.0, 18.0], shoonya_2sL25BXMHQ7SQ0, 5776366]
[paragraph, [29.0, 339.0, 513.0, 18.0], shoonya_2sL25BXMHQ7SQ0, 5776366]
[paragraph, [29.0, 357.0, 513.0, 18.0], shoonya_2sL25BXMHQ7SQ0, 5776366]
[paragraph, [29.0, 375.0, 513.0, 18.0], shoonya_2sL25BXMHQ7SQ0, 5776366]
[paragraph, [29.0, 393.0, 513.0, 18.0], shoonya_2sL25BXMHQ7SQ0, 5776366]
[paragraph, [29.0, 411.0, 513.0, 18.0], shoonya_2sL25BXMHQ7SQ0, 5776366]
[paragraph, [29.0, 429.0, 513.0, 18.0], shoonya_2sL25BXMHQ7SQ0, 5776366]
[paragraph, [29.0, 447.0, 513.0, 18.0], shoonya_2sL25BXMHQ7SQ0, 5776366]
[paragraph, [29.0, 465.0, 513.0, 18.0], shoonya_2sL25BXMHQ7SQ0, 5776366]
[paragraph, [29.0, 483.0, 513.0, 18.0], shoonya_2sL25BXMHQ7SQ0, 5776366]
[paragraph, [29.0, 501.0, 513.0, 18.0], shoonya_2sL25BXMHQ7SQ0, 5776366]
[paragraph, [29.0, 519.0, 513.0, 18.0], shoonya_2sL25BXMHQ7SQ0, 5776366]
[paragraph, [29.0, 537.0, 513.0, 18.0], shoonya_2sL25BXMHQ7SQ0, 5776366]
[paragraph, [29.0, 555.0, 513.0, 18.0], shoonya_2sL25BXMHQ7SQ0, 5776366]
[paragraph, [29.0, 573.0, 513.0, 18.0], shoonya_2sL25BXMHQ7SQ0, 5776366]
[paragraph, [29.0, 591.0, 513.0, 18.0], shoonya_2sL25BXMHQ7SQ0, 5776366]
[paragraph, [29.0, 609.0, 513.0, 18.0], shoonya_2sL25BXMHQ7SQ0, 5776366]
[paragraph, [29.0, 627.0, 513.0, 18.0], shoonya_2sL25BXMHQ7SQ0, 5776366]
[paragraph, [29.0, 645.0, 513.0, 18.0], shoonya_2sL25BXMHQ7SQ0, 5776366]
[paragraph, [29.0, 663.0, 513.0, 18.0], shoonya_2sL25BXMHQ7SQ0, 5776366]
[paragraph, [29.0, 681.0, 513.0, 18.0], shoonya_2sL25BXMHQ7SQ0, 5776366]
[paragraph, [31.0, 695.0, 508.0, 18.0], shoonya_0sMC735Y40WRWM, 5776366]
[paragraph, [31.0, 713.0, 508.0, 18.0], shoonya_0sMC735Y40WRWM, 5776366]
[paragraph, [31.0, 731.0, 508.0, 18.0], shoonya_0sMC735Y40WRWM, 5776366]
[paragraph, [31.0, 749.0, 508.0, 18.0], shoonya_0sMC735Y40WRWM, 5776366]
[paragraph, [31.0, 767.0, 508.0, 18.0], shoonya_0sMC735Y40WRWM, 5776366]
[paragraph, [31.0, 785.0, 508.0, 18.0], shoonya_0sMC735Y40WRWM, 5776366]
[paragraph, [31.0, 803.0, 508.0, 18.0], shoonya_0sMC735Y40WRWM, 5776366]
[paragraph, [31.0, 821.0, 508.0, 18.0], shoonya_0sMC735Y40WRWM, 5776366]
[paragraph, [31.0, 839.0, 508.0, 18.0], shoonya_0sMC735Y40WRWM, 5776366]
[paragraph, [31.0, 857.0, 508.0, 18.0], shoonya_0sMC735Y40WRWM, 5776366]
[paragraph, [31.0, 875.0, 508.0, 18.0], shoonya_0sMC735Y40WRWM, 5776366]
