[2339, 1609]
[folio, [823.0, 96.0, 566.0, 36.0], MGSgBjZ8Su, 5657085]
[folio, [823.0, 132.0, 566.0, 36.0], MGSgBjZ8Su, 5657085]
[folio, [220.0, 108.0, 399.0, 36.0], KwlheuA14P, 5657085]
[chapter-title, [518.0, 204.0, 576.0, 70.5], 5WBSE7W0LL, 5657085]
[author, [691.0, 329.0, 214.0, 36.0], Qa_-qgNo_I, 5657085]
[contact-info, [228.0, 385.0, 1213.0, 36.0], Klv5v7bHyU, 5657085]
[contact-info, [228.0, 421.0, 1213.0, 36.0], Klv5v7bHyU, 5657085]
[contact-info, [228.0, 457.0, 1213.0, 36.0], Klv5v7bHyU, 5657085]
[contact-info, [228.0, 493.0, 1213.0, 36.0], Klv5v7bHyU, 5657085]
[contact-info, [228.0, 529.0, 1213.0, 36.0], Klv5v7bHyU, 5657085]
[contact-info, [228.0, 565.0, 1213.0, 36.0], Klv5v7bHyU, 5657085]
[paragraph, [138.0, 769.0, 1328.0, 36.0], shoonya_4sRITWMNTK6TMI, 5657085]
[paragraph, [138.0, 805.0, 1328.0, 36.0], shoonya_4sRITWMNTK6TMI, 5657085]
[paragraph, [138.0, 841.0, 1328.0, 36.0], shoonya_4sRITWMNTK6TMI, 5657085]
[paragraph, [138.0, 877.0, 1328.0, 36.0], shoonya_4sRITWMNTK6TMI, 5657085]
[paragraph, [115.0, 964.0, 1369.0, 36.0], shoonya_1sGIQH68UQTDYO, 5657085]
[paragraph, [115.0, 1000.0, 1369.0, 36.0], shoonya_1sGIQH68UQTDYO, 5657085]
[paragraph, [115.0, 1036.0, 1369.0, 36.0], shoonya_1sGIQH68UQTDYO, 5657085]
[paragraph, [115.0, 1072.0, 1369.0, 36.0], shoonya_1sGIQH68UQTDYO, 5657085]
[paragraph, [115.0, 1108.0, 1369.0, 36.0], shoonya_1sGIQH68UQTDYO, 5657085]
[paragraph, [115.0, 1144.0, 1369.0, 36.0], shoonya_1sGIQH68UQTDYO, 5657085]
[paragraph, [115.0, 1180.0, 1369.0, 36.0], shoonya_1sGIQH68UQTDYO, 5657085]
[paragraph, [104.0, 1241.0, 1390.0, 36.0], shoonya_0sUMES21JHZGE2, 5657085]
[paragraph, [104.0, 1277.0, 1390.0, 36.0], shoonya_0sUMES21JHZGE2, 5657085]
[paragraph, [104.0, 1313.0, 1390.0, 36.0], shoonya_0sUMES21JHZGE2, 5657085]
[paragraph, [104.0, 1349.0, 1390.0, 36.0], shoonya_0sUMES21JHZGE2, 5657085]
[paragraph, [104.0, 1385.0, 1390.0, 36.0], shoonya_0sUMES21JHZGE2, 5657085]
[paragraph, [104.0, 1421.0, 1390.0, 36.0], shoonya_0sUMES21JHZGE2, 5657085]
[paragraph, [104.0, 1457.0, 1390.0, 36.0], shoonya_0sUMES21JHZGE2, 5657085]
[paragraph, [104.0, 1493.0, 1390.0, 36.0], shoonya_0sUMES21JHZGE2, 5657085]
[paragraph, [104.0, 1529.0, 1390.0, 36.0], shoonya_0sUMES21JHZGE2, 5657085]
[paragraph, [104.0, 1565.0, 1390.0, 36.0], shoonya_0sUMES21JHZGE2, 5657085]
[paragraph, [104.0, 1601.0, 1390.0, 36.0], shoonya_0sUMES21JHZGE2, 5657085]
[paragraph, [104.0, 1637.0, 1390.0, 36.0], shoonya_0sUMES21JHZGE2, 5657085]
[paragraph, [104.0, 1673.0, 1390.0, 36.0], shoonya_0sUMES21JHZGE2, 5657085]
[paragraph, [104.0, 1709.0, 1390.0, 36.0], shoonya_0sUMES21JHZGE2, 5657085]
[paragraph, [104.0, 1745.0, 1390.0, 36.0], shoonya_0sUMES21JHZGE2, 5657085]
[paragraph, [104.0, 1781.0, 1390.0, 36.0], shoonya_0sUMES21JHZGE2, 5657085]
[paragraph, [104.0, 1817.0, 1390.0, 36.0], shoonya_0sUMES21JHZGE2, 5657085]
[paragraph, [104.0, 1853.0, 1390.0, 36.0], shoonya_0sUMES21JHZGE2, 5657085]
[paragraph, [104.0, 1889.0, 1390.0, 36.0], shoonya_0sUMES21JHZGE2, 5657085]
[paragraph, [104.0, 1925.0, 1390.0, 36.0], shoonya_0sUMES21JHZGE2, 5657085]
[paragraph, [104.0, 1961.0, 1390.0, 36.0], shoonya_0sUMES21JHZGE2, 5657085]
[paragraph, [104.0, 1997.0, 1390.0, 36.0], shoonya_0sUMES21JHZGE2, 5657085]
[paragraph, [104.0, 2033.0, 1390.0, 36.0], shoonya_0sUMES21JHZGE2, 5657085]
[paragraph, [104.0, 2069.0, 1390.0, 36.0], shoonya_0sUMES21JHZGE2, 5657085]
[folio, [128.0, 2146.0, 570.0, 36.0], 1_B1QgoXGQ, 5657085]
[folio, [128.0, 2182.0, 570.0, 36.0], 1_B1QgoXGQ, 5657085]
[folio, [915.0, 2150.0, 558.0, 36.0], wKDdDpeNP8, 5657085]
[folio, [915.0, 2186.0, 558.0, 36.0], wKDdDpeNP8, 5657085]
