[842, 596]
[section-title, [243.0, 157.0, 106.0, 30.0], zQapmHm9yX, 5718074]
[paragraph, [39.0, 211.0, 511.0, 18.0], shoonya_0s0FUDXA48GS2P, 5718074]
[paragraph, [39.0, 229.0, 511.0, 18.0], shoonya_0s0FUDXA48GS2P, 5718074]
[paragraph, [39.0, 247.0, 511.0, 18.0], shoonya_0s0FUDXA48GS2P, 5718074]
[paragraph, [39.0, 265.0, 511.0, 18.0], shoonya_0s0FUDXA48GS2P, 5718074]
[paragraph, [39.0, 283.0, 511.0, 18.0], shoonya_0s0FUDXA48GS2P, 5718074]
[paragraph, [39.0, 301.0, 511.0, 18.0], shoonya_0s0FUDXA48GS2P, 5718074]
[paragraph, [39.0, 319.0, 511.0, 18.0], shoonya_0s0FUDXA48GS2P, 5718074]
[paragraph, [39.0, 337.0, 511.0, 18.0], shoonya_0s0FUDXA48GS2P, 5718074]
[paragraph, [39.0, 355.0, 511.0, 18.0], shoonya_0s0FUDXA48GS2P, 5718074]
[paragraph, [39.0, 373.0, 511.0, 18.0], shoonya_0s0FUDXA48GS2P, 5718074]
[paragraph, [39.0, 391.0, 511.0, 18.0], shoonya_0s0FUDXA48GS2P, 5718074]
[paragraph, [41.0, 436.0, 511.0, 18.0], shoonya_1sHPLIIF0RQ56N, 5718074]
[paragraph, [41.0, 454.0, 511.0, 18.0], shoonya_1sHPLIIF0RQ56N, 5718074]
[paragraph, [41.0, 472.0, 511.0, 18.0], shoonya_1sHPLIIF0RQ56N, 5718074]
[paragraph, [41.0, 490.0, 511.0, 18.0], shoonya_1sHPLIIF0RQ56N, 5718074]
[paragraph, [41.0, 508.0, 511.0, 18.0], shoonya_1sHPLIIF0RQ56N, 5718074]
[paragraph, [39.0, 541.0, 516.0, 18.0], LZkgDLO0L4, 5718074]
[paragraph, [39.0, 559.0, 516.0, 18.0], LZkgDLO0L4, 5718074]
[contact-info, [379.0, 598.0, 168.0, 18.0], mfNM5qSp85, 5718074]
[contact-info, [379.0, 616.0, 168.0, 18.0], mfNM5qSp85, 5718074]
[contact-info, [379.0, 634.0, 168.0, 18.0], mfNM5qSp85, 5718074]
[contact-info, [379.0, 652.0, 168.0, 18.0], mfNM5qSp85, 5718074]
[paragraph, [47.0, 734.0, 517.0, 18.0], RB6-kNaXDA, 5718074]
[paragraph, [47.0, 752.0, 517.0, 18.0], RB6-kNaXDA, 5718074]
