[644, 393]
[folio, [152.0, 30.0, 96.0, 18.0], CPlX5hETGA, 6459231]
[paragraph, [29.0, 56.0, 333.0, 18.0], shoonya_0sSG24OVX1OAK4, 6459231]
[paragraph, [29.0, 74.0, 333.0, 18.0], shoonya_0sSG24OVX1OAK4, 6459231]
[paragraph, [29.0, 92.0, 333.0, 18.0], shoonya_0sSG24OVX1OAK4, 6459231]
[paragraph, [29.0, 110.0, 333.0, 18.0], shoonya_0sSG24OVX1OAK4, 6459231]
[paragraph, [29.0, 128.0, 333.0, 18.0], shoonya_0sSG24OVX1OAK4, 6459231]
[paragraph, [29.0, 146.0, 333.0, 18.0], shoonya_0sSG24OVX1OAK4, 6459231]
[paragraph, [29.0, 164.0, 333.0, 18.0], shoonya_0sSG24OVX1OAK4, 6459231]
[paragraph, [29.0, 182.0, 333.0, 18.0], shoonya_0sSG24OVX1OAK4, 6459231]
[paragraph, [29.0, 200.0, 333.0, 18.0], shoonya_0sSG24OVX1OAK4, 6459231]
[paragraph, [29.0, 218.0, 333.0, 18.0], shoonya_0sSG24OVX1OAK4, 6459231]
[paragraph, [29.0, 236.0, 333.0, 18.0], shoonya_0sSG24OVX1OAK4, 6459231]
[paragraph, [29.0, 254.0, 333.0, 18.0], shoonya_0sSG24OVX1OAK4, 6459231]
[paragraph, [29.0, 272.0, 333.0, 18.0], shoonya_0sSG24OVX1OAK4, 6459231]
[paragraph, [29.0, 290.0, 333.0, 18.0], shoonya_0sSG24OVX1OAK4, 6459231]
[paragraph, [29.0, 308.0, 333.0, 18.0], shoonya_0sSG24OVX1OAK4, 6459231]
[paragraph, [29.0, 326.0, 333.0, 18.0], shoonya_0sSG24OVX1OAK4, 6459231]
[paragraph, [29.0, 344.0, 333.0, 18.0], shoonya_0sSG24OVX1OAK4, 6459231]
[paragraph, [29.0, 362.0, 333.0, 18.0], shoonya_0sSG24OVX1OAK4, 6459231]
[paragraph, [29.0, 380.0, 333.0, 18.0], shoonya_0sSG24OVX1OAK4, 6459231]
[paragraph, [29.0, 398.0, 333.0, 18.0], shoonya_0sSG24OVX1OAK4, 6459231]
[paragraph, [29.0, 416.0, 333.0, 18.0], shoonya_0sSG24OVX1OAK4, 6459231]
[paragraph, [29.0, 434.0, 333.0, 18.0], shoonya_0sSG24OVX1OAK4, 6459231]
[paragraph, [29.0, 452.0, 333.0, 18.0], shoonya_0sSG24OVX1OAK4, 6459231]
[paragraph, [34.0, 506.0, 324.0, 18.0], OGeNg3c-S6, 6459231]
[paragraph, [34.0, 524.0, 324.0, 18.0], OGeNg3c-S6, 6459231]
[paragraph, [34.0, 542.0, 324.0, 18.0], OGeNg3c-S6, 6459231]
[paragraph, [34.0, 560.0, 324.0, 18.0], OGeNg3c-S6, 6459231]
[paragraph, [34.0, 578.0, 324.0, 18.0], OGeNg3c-S6, 6459231]
