[594, 353]
[folio, [103.0, 4.0, 143.0, 18.0], shoonya_2sDO1C0CI86NIN, 5700685]
[paragraph, [0.0, 33.0, 342.0, 18.0], shoonya_1s7GNNYCOKNI3V, 5700685]
[paragraph, [0.0, 51.0, 342.0, 18.0], shoonya_1s7GNNYCOKNI3V, 5700685]
[paragraph, [0.0, 69.0, 342.0, 18.0], shoonya_1s7GNNYCOKNI3V, 5700685]
[paragraph, [0.0, 87.0, 342.0, 18.0], shoonya_1s7GNNYCOKNI3V, 5700685]
[paragraph, [0.0, 105.0, 342.0, 18.0], shoonya_1s7GNNYCOKNI3V, 5700685]
[paragraph, [0.0, 123.0, 342.0, 18.0], shoonya_1s7GNNYCOKNI3V, 5700685]
[paragraph, [0.0, 141.0, 342.0, 18.0], shoonya_1s7GNNYCOKNI3V, 5700685]
[paragraph, [29.0, 174.0, 315.0, 18.0], shoonya_0sJFEJKA4ZJ8W9, 5700685]
[paragraph, [67.0, 195.0, 270.0, 18.0], mcnDRGK7wY, 5700685]
[paragraph, [67.0, 213.0, 270.0, 18.0], mcnDRGK7wY, 5700685]
[paragraph, [67.0, 231.0, 270.0, 18.0], mcnDRGK7wY, 5700685]
[paragraph, [4.0, 265.0, 333.0, 18.0], E-R7nQTm_Q, 5700685]
[paragraph, [4.0, 283.0, 333.0, 18.0], E-R7nQTm_Q, 5700685]
[paragraph, [4.0, 301.0, 333.0, 18.0], E-R7nQTm_Q, 5700685]
[paragraph, [4.0, 319.0, 333.0, 18.0], E-R7nQTm_Q, 5700685]
[paragraph, [4.0, 337.0, 333.0, 18.0], E-R7nQTm_Q, 5700685]
[paragraph, [4.0, 355.0, 333.0, 18.0], E-R7nQTm_Q, 5700685]
[paragraph, [4.0, 373.0, 333.0, 18.0], E-R7nQTm_Q, 5700685]
[paragraph, [4.0, 391.0, 333.0, 18.0], E-R7nQTm_Q, 5700685]
[paragraph, [4.0, 409.0, 333.0, 18.0], E-R7nQTm_Q, 5700685]
[paragraph, [4.0, 427.0, 333.0, 18.0], E-R7nQTm_Q, 5700685]
[paragraph, [4.0, 445.0, 333.0, 18.0], E-R7nQTm_Q, 5700685]
[paragraph, [4.0, 463.0, 333.0, 18.0], E-R7nQTm_Q, 5700685]
[paragraph, [4.0, 481.0, 333.0, 18.0], E-R7nQTm_Q, 5700685]
[paragraph, [4.0, 499.0, 333.0, 18.0], E-R7nQTm_Q, 5700685]
[paragraph, [4.0, 517.0, 333.0, 18.0], E-R7nQTm_Q, 5700685]
[paragraph, [4.0, 535.0, 333.0, 18.0], E-R7nQTm_Q, 5700685]
[paragraph, [4.0, 553.0, 333.0, 18.0], E-R7nQTm_Q, 5700685]
