[1755, 1240]
[paragraph, [181.0, 184.0, 879.0, 36.0], shoonya_3sMN0AIL2FO6UV, 5704457]
[paragraph, [181.0, 220.0, 879.0, 36.0], shoonya_3sMN0AIL2FO6UV, 5704457]
[paragraph, [181.0, 256.0, 879.0, 36.0], shoonya_3sMN0AIL2FO6UV, 5704457]
[paragraph, [181.0, 292.0, 879.0, 36.0], shoonya_3sMN0AIL2FO6UV, 5704457]
[paragraph, [181.0, 328.0, 879.0, 36.0], shoonya_3sMN0AIL2FO6UV, 5704457]
[paragraph, [181.0, 364.0, 879.0, 36.0], shoonya_3sMN0AIL2FO6UV, 5704457]
[paragraph, [181.0, 400.0, 879.0, 36.0], shoonya_3sMN0AIL2FO6UV, 5704457]
[paragraph, [181.0, 436.0, 879.0, 36.0], shoonya_3sMN0AIL2FO6UV, 5704457]
[paragraph, [181.0, 472.0, 879.0, 36.0], shoonya_3sMN0AIL2FO6UV, 5704457]
[paragraph, [183.0, 540.0, 876.0, 36.0], shoonya_0s3TE1CL3GX9HD, 5704457]
[paragraph, [183.0, 576.0, 876.0, 36.0], shoonya_0s3TE1CL3GX9HD, 5704457]
[paragraph, [183.0, 612.0, 876.0, 36.0], shoonya_0s3TE1CL3GX9HD, 5704457]
[paragraph, [183.0, 648.0, 876.0, 36.0], shoonya_0s3TE1CL3GX9HD, 5704457]
[paragraph, [183.0, 684.0, 876.0, 36.0], shoonya_0s3TE1CL3GX9HD, 5704457]
[paragraph, [183.0, 720.0, 876.0, 36.0], shoonya_0s3TE1CL3GX9HD, 5704457]
[paragraph, [183.0, 756.0, 876.0, 36.0], shoonya_0s3TE1CL3GX9HD, 5704457]
[paragraph, [183.0, 792.0, 876.0, 36.0], shoonya_0s3TE1CL3GX9HD, 5704457]
[paragraph, [183.0, 828.0, 876.0, 36.0], shoonya_0s3TE1CL3GX9HD, 5704457]
[paragraph, [180.0, 893.0, 878.0, 36.0], shoonya_2sC2WHSYPRXEKE, 5704457]
[paragraph, [180.0, 929.0, 878.0, 36.0], shoonya_2sC2WHSYPRXEKE, 5704457]
[paragraph, [180.0, 965.0, 878.0, 36.0], shoonya_2sC2WHSYPRXEKE, 5704457]
[paragraph, [180.0, 1001.0, 878.0, 36.0], shoonya_2sC2WHSYPRXEKE, 5704457]
[paragraph, [180.0, 1037.0, 878.0, 36.0], shoonya_2sC2WHSYPRXEKE, 5704457]
[paragraph, [180.0, 1073.0, 878.0, 36.0], shoonya_2sC2WHSYPRXEKE, 5704457]
[paragraph, [180.0, 1109.0, 878.0, 36.0], shoonya_2sC2WHSYPRXEKE, 5704457]
[paragraph, [180.0, 1145.0, 878.0, 36.0], shoonya_2sC2WHSYPRXEKE, 5704457]
[paragraph, [180.0, 1181.0, 878.0, 36.0], shoonya_2sC2WHSYPRXEKE, 5704457]
[paragraph, [181.0, 1247.0, 878.0, 36.0], shoonya_1s2GHYB5VGR3WB, 5704457]
[paragraph, [181.0, 1283.0, 878.0, 36.0], shoonya_1s2GHYB5VGR3WB, 5704457]
[paragraph, [181.0, 1319.0, 878.0, 36.0], shoonya_1s2GHYB5VGR3WB, 5704457]
[paragraph, [181.0, 1355.0, 878.0, 36.0], shoonya_1s2GHYB5VGR3WB, 5704457]
[paragraph, [181.0, 1391.0, 878.0, 36.0], shoonya_1s2GHYB5VGR3WB, 5704457]
[paragraph, [181.0, 1427.0, 878.0, 36.0], shoonya_1s2GHYB5VGR3WB, 5704457]
[paragraph, [181.0, 1463.0, 878.0, 36.0], shoonya_1s2GHYB5VGR3WB, 5704457]
[paragraph, [181.0, 1499.0, 878.0, 36.0], shoonya_1s2GHYB5VGR3WB, 5704457]
[paragraph, [181.0, 1535.0, 878.0, 36.0], shoonya_1s2GHYB5VGR3WB, 5704457]
