[1806, 1262]
[folio, [166.0, 100.0, 512.0, 36.0], shoonya_3s515GF2BSWYG5, 5680930]
[paragraph, [656.0, 175.0, 508.0, 36.0], shoonya_2sLSEBHJ7I7O5S, 5680930]
[paragraph, [656.0, 211.0, 508.0, 36.0], shoonya_2sLSEBHJ7I7O5S, 5680930]
[paragraph, [656.0, 247.0, 508.0, 36.0], shoonya_2sLSEBHJ7I7O5S, 5680930]
[paragraph, [656.0, 283.0, 508.0, 36.0], shoonya_2sLSEBHJ7I7O5S, 5680930]
[paragraph, [656.0, 319.0, 508.0, 36.0], shoonya_2sLSEBHJ7I7O5S, 5680930]
[paragraph, [97.0, 176.0, 514.0, 36.0], shoonya_0sICU3HFA7HVT1, 5680930]
[paragraph, [97.0, 212.0, 514.0, 36.0], shoonya_0sICU3HFA7HVT1, 5680930]
[paragraph, [97.0, 248.0, 514.0, 36.0], shoonya_0sICU3HFA7HVT1, 5680930]
[paragraph, [97.0, 284.0, 514.0, 36.0], shoonya_0sICU3HFA7HVT1, 5680930]
[paragraph, [97.0, 320.0, 514.0, 36.0], shoonya_0sICU3HFA7HVT1, 5680930]
[paragraph, [97.0, 356.0, 514.0, 36.0], shoonya_0sICU3HFA7HVT1, 5680930]
[paragraph, [97.0, 392.0, 514.0, 36.0], shoonya_0sICU3HFA7HVT1, 5680930]
[paragraph, [97.0, 428.0, 514.0, 36.0], shoonya_0sICU3HFA7HVT1, 5680930]
[paragraph, [97.0, 464.0, 514.0, 36.0], shoonya_0sICU3HFA7HVT1, 5680930]
[paragraph, [97.0, 500.0, 514.0, 36.0], shoonya_0sICU3HFA7HVT1, 5680930]
[paragraph, [97.0, 536.0, 514.0, 36.0], shoonya_0sICU3HFA7HVT1, 5680930]
[paragraph, [97.0, 572.0, 514.0, 36.0], shoonya_0sICU3HFA7HVT1, 5680930]
[paragraph, [97.0, 608.0, 514.0, 36.0], shoonya_0sICU3HFA7HVT1, 5680930]
[paragraph, [97.0, 644.0, 514.0, 36.0], shoonya_0sICU3HFA7HVT1, 5680930]
[paragraph, [649.0, 365.0, 507.0, 36.0], YhJZUHQ_yM, 5680930]
[paragraph, [649.0, 401.0, 507.0, 36.0], YhJZUHQ_yM, 5680930]
[paragraph, [649.0, 437.0, 507.0, 36.0], YhJZUHQ_yM, 5680930]
[paragraph, [649.0, 473.0, 507.0, 36.0], YhJZUHQ_yM, 5680930]
