[594, 353]
[folio, [128.0, 5.0, 93.0, 18.0], shoonya_2s4TY5CHN6ZV5Q, 5700807]
[paragraph, [10.0, 35.0, 334.0, 18.0], shoonya_0sW3CMEPPW6S9S, 5700807]
[paragraph, [10.0, 53.0, 334.0, 18.0], shoonya_0sW3CMEPPW6S9S, 5700807]
[paragraph, [70.0, 114.0, 275.0, 18.0], AtMscIcH27, 5700807]
[paragraph, [70.0, 132.0, 275.0, 18.0], AtMscIcH27, 5700807]
[sidebar, [8.0, 125.0, 60.0, 18.0], PU4erqcz95, 5700807]
[paragraph, [8.0, 167.0, 338.0, 18.0], WeLI2cH7eY, 5700807]
[paragraph, [8.0, 185.0, 338.0, 18.0], WeLI2cH7eY, 5700807]
[paragraph, [8.0, 203.0, 338.0, 18.0], WeLI2cH7eY, 5700807]
[paragraph, [8.0, 221.0, 338.0, 18.0], WeLI2cH7eY, 5700807]
[paragraph, [8.0, 239.0, 338.0, 18.0], WeLI2cH7eY, 5700807]
[paragraph, [8.0, 257.0, 338.0, 18.0], WeLI2cH7eY, 5700807]
[paragraph, [8.0, 275.0, 338.0, 18.0], WeLI2cH7eY, 5700807]
[paragraph, [8.0, 293.0, 338.0, 18.0], WeLI2cH7eY, 5700807]
[paragraph, [8.0, 311.0, 338.0, 18.0], WeLI2cH7eY, 5700807]
[paragraph, [8.0, 329.0, 338.0, 18.0], WeLI2cH7eY, 5700807]
[paragraph, [8.0, 347.0, 338.0, 18.0], WeLI2cH7eY, 5700807]
[paragraph, [8.0, 365.0, 338.0, 18.0], WeLI2cH7eY, 5700807]
[paragraph, [8.0, 383.0, 338.0, 18.0], WeLI2cH7eY, 5700807]
[paragraph, [8.0, 401.0, 338.0, 18.0], WeLI2cH7eY, 5700807]
[paragraph, [8.0, 419.0, 338.0, 18.0], WeLI2cH7eY, 5700807]
[paragraph, [8.0, 437.0, 338.0, 18.0], WeLI2cH7eY, 5700807]
[paragraph, [8.0, 455.0, 338.0, 18.0], WeLI2cH7eY, 5700807]
[paragraph, [8.0, 473.0, 338.0, 18.0], WeLI2cH7eY, 5700807]
[paragraph, [8.0, 491.0, 338.0, 18.0], WeLI2cH7eY, 5700807]
[paragraph, [8.0, 509.0, 338.0, 18.0], WeLI2cH7eY, 5700807]
[paragraph, [8.0, 527.0, 338.0, 18.0], WeLI2cH7eY, 5700807]
[paragraph, [8.0, 545.0, 338.0, 18.0], WeLI2cH7eY, 5700807]
[paragraph, [8.0, 563.0, 338.0, 18.0], WeLI2cH7eY, 5700807]
