[1754, 1241]
[quote, [116.0, 162.0, 383.0, 36.0], dwUL6ZWmyV, 6471975]
[quote, [116.0, 198.0, 383.0, 36.0], dwUL6ZWmyV, 6471975]
[quote, [116.0, 234.0, 383.0, 36.0], dwUL6ZWmyV, 6471975]
[quote, [116.0, 270.0, 383.0, 36.0], dwUL6ZWmyV, 6471975]
[author, [600.0, 290.0, 144.0, 36.0], R3l_0qxb68, 6471975]
[headline, [445.0, 381.0, 331.0, 37.5], egj1uJsEHG, 6471975]
[headline, [445.0, 418.5, 331.0, 37.5], egj1uJsEHG, 6471975]
[headline, [445.0, 456.0, 331.0, 37.5], egj1uJsEHG, 6471975]
[headline, [445.0, 493.5, 331.0, 37.5], egj1uJsEHG, 6471975]
[paragraph, [629.0, 577.0, 511.0, 36.0], 15kQ1Vd1nn, 6471975]
[paragraph, [629.0, 613.0, 511.0, 36.0], 15kQ1Vd1nn, 6471975]
[paragraph, [111.0, 587.0, 495.0, 36.0], shoonya_7s2GI9P11T4GTG, 6471975]
[paragraph, [111.0, 623.0, 495.0, 36.0], shoonya_7s2GI9P11T4GTG, 6471975]
[paragraph, [111.0, 659.0, 495.0, 36.0], shoonya_7s2GI9P11T4GTG, 6471975]
[paragraph, [111.0, 695.0, 495.0, 36.0], shoonya_7s2GI9P11T4GTG, 6471975]
[paragraph, [629.0, 699.0, 502.0, 36.0], pp29WfdBEP, 6471975]
[paragraph, [629.0, 735.0, 502.0, 36.0], pp29WfdBEP, 6471975]
[paragraph, [629.0, 771.0, 502.0, 36.0], pp29WfdBEP, 6471975]
[paragraph, [629.0, 807.0, 502.0, 36.0], pp29WfdBEP, 6471975]
[paragraph, [109.0, 754.0, 495.0, 36.0], shoonya_4s9XOL80L3NQVC, 6471975]
[paragraph, [109.0, 790.0, 495.0, 36.0], shoonya_4s9XOL80L3NQVC, 6471975]
[paragraph, [109.0, 826.0, 495.0, 36.0], shoonya_4s9XOL80L3NQVC, 6471975]
[paragraph, [109.0, 862.0, 495.0, 36.0], shoonya_4s9XOL80L3NQVC, 6471975]
[paragraph, [109.0, 898.0, 495.0, 36.0], shoonya_4s9XOL80L3NQVC, 6471975]
[paragraph, [632.0, 862.0, 499.0, 36.0], UYRlvcS0TK, 6471975]
[paragraph, [632.0, 898.0, 499.0, 36.0], UYRlvcS0TK, 6471975]
[paragraph, [632.0, 934.0, 499.0, 36.0], UYRlvcS0TK, 6471975]
[paragraph, [632.0, 970.0, 499.0, 36.0], UYRlvcS0TK, 6471975]
[paragraph, [632.0, 1006.0, 499.0, 36.0], UYRlvcS0TK, 6471975]
[paragraph, [632.0, 1042.0, 499.0, 36.0], UYRlvcS0TK, 6471975]
[paragraph, [632.0, 1078.0, 499.0, 36.0], UYRlvcS0TK, 6471975]
[paragraph, [111.0, 942.0, 495.0, 36.0], shoonya_1s3XIZFGJBPED3, 6471975]
[paragraph, [111.0, 978.0, 495.0, 36.0], shoonya_1s3XIZFGJBPED3, 6471975]
[paragraph, [111.0, 1014.0, 495.0, 36.0], shoonya_1s3XIZFGJBPED3, 6471975]
[paragraph, [111.0, 1050.0, 495.0, 36.0], shoonya_1s3XIZFGJBPED3, 6471975]
[paragraph, [111.0, 1086.0, 495.0, 36.0], shoonya_1s3XIZFGJBPED3, 6471975]
[paragraph, [111.0, 1122.0, 495.0, 36.0], shoonya_1s3XIZFGJBPED3, 6471975]
[paragraph, [634.0, 1132.0, 494.0, 36.0], Uw7SfebwrB, 6471975]
[paragraph, [634.0, 1168.0, 494.0, 36.0], Uw7SfebwrB, 6471975]
[paragraph, [110.0, 1160.0, 496.0, 36.0], nszsUYzDvR, 6471975]
[headline, [209.0, 1288.0, 502.0, 37.5], ajK25N4K5L, 6471975]
[sidebar, [190.0, 1366.0, 508.0, 36.0], LMMs5dR7ci, 6471975]
[sidebar, [190.0, 1402.0, 508.0, 36.0], LMMs5dR7ci, 6471975]
[sidebar, [195.0, 1515.0, 414.0, 36.0], UjoCa6HCHc, 6471975]
[sidebar, [195.0, 1551.0, 414.0, 36.0], UjoCa6HCHc, 6471975]
[contact-info, [828.0, 1560.0, 288.0, 36.0], IQaEptWuTG, 6471975]
