[1823, 1375]
[folio, [622.0, 94.0, 126.0, 36.0], 8inw3HD1HT, 5683919]
[folio, [961.0, 103.0, 312.0, 36.0], D297srE_wG, 5683919]
[paragraph, [101.0, 173.0, 568.0, 36.0], shoonya_0sHEJIRZJLFRBV, 5683919]
[paragraph, [698.0, 175.0, 584.0, 36.0], Nm7vvAb62b, 5683919]
[paragraph, [698.0, 211.0, 584.0, 36.0], Nm7vvAb62b, 5683919]
[paragraph, [698.0, 247.0, 584.0, 36.0], Nm7vvAb62b, 5683919]
[paragraph, [99.0, 227.0, 577.0, 36.0], shoonya_1sXUKRVOXNMY26, 5683919]
[paragraph, [99.0, 263.0, 577.0, 36.0], shoonya_1sXUKRVOXNMY26, 5683919]
[paragraph, [99.0, 299.0, 577.0, 36.0], shoonya_1sXUKRVOXNMY26, 5683919]
[paragraph, [99.0, 335.0, 577.0, 36.0], shoonya_1sXUKRVOXNMY26, 5683919]
[paragraph, [99.0, 371.0, 577.0, 36.0], shoonya_1sXUKRVOXNMY26, 5683919]
[paragraph, [99.0, 407.0, 577.0, 36.0], shoonya_1sXUKRVOXNMY26, 5683919]
[paragraph, [99.0, 443.0, 577.0, 36.0], shoonya_1sXUKRVOXNMY26, 5683919]
[paragraph, [689.0, 318.0, 594.0, 36.0], drni6xer0E, 5683919]
[paragraph, [689.0, 354.0, 594.0, 36.0], drni6xer0E, 5683919]
[paragraph, [698.0, 410.0, 580.0, 36.0], l2JzHeDmO6, 5683919]
[paragraph, [698.0, 446.0, 580.0, 36.0], l2JzHeDmO6, 5683919]
[paragraph, [100.0, 490.0, 574.0, 36.0], shoonya_5sYVRTU21OACZB, 5683919]
[paragraph, [100.0, 526.0, 574.0, 36.0], shoonya_5sYVRTU21OACZB, 5683919]
[paragraph, [100.0, 562.0, 574.0, 36.0], shoonya_5sYVRTU21OACZB, 5683919]
[paragraph, [694.0, 497.0, 588.0, 36.0], shoonya_8sZMJFDIQEDPF9, 5683919]
[paragraph, [694.0, 533.0, 588.0, 36.0], shoonya_8sZMJFDIQEDPF9, 5683919]
[paragraph, [694.0, 569.0, 588.0, 36.0], shoonya_8sZMJFDIQEDPF9, 5683919]
[paragraph, [694.0, 605.0, 588.0, 36.0], shoonya_8sZMJFDIQEDPF9, 5683919]
[paragraph, [97.0, 624.0, 581.0, 36.0], shoonya_2s65WZZ30ADGND, 5683919]
[paragraph, [97.0, 660.0, 581.0, 36.0], shoonya_2s65WZZ30ADGND, 5683919]
[paragraph, [97.0, 696.0, 581.0, 36.0], shoonya_2s65WZZ30ADGND, 5683919]
[paragraph, [97.0, 732.0, 581.0, 36.0], shoonya_2s65WZZ30ADGND, 5683919]
[paragraph, [694.0, 677.0, 592.0, 36.0], shoonya_11sMITJ7S7STYV, 5683919]
[paragraph, [694.0, 713.0, 592.0, 36.0], shoonya_11sMITJ7S7STYV, 5683919]
[paragraph, [689.0, 764.0, 596.0, 36.0], d1ToX1BkXp, 5683919]
[paragraph, [689.0, 800.0, 596.0, 36.0], d1ToX1BkXp, 5683919]
[paragraph, [95.0, 801.0, 582.0, 36.0], shoonya_6sD1YDSZ6NLHO1, 5683919]
[paragraph, [95.0, 837.0, 582.0, 36.0], shoonya_6sD1YDSZ6NLHO1, 5683919]
[paragraph, [95.0, 873.0, 582.0, 36.0], shoonya_6sD1YDSZ6NLHO1, 5683919]
[paragraph, [95.0, 909.0, 582.0, 36.0], shoonya_6sD1YDSZ6NLHO1, 5683919]
[paragraph, [95.0, 945.0, 582.0, 36.0], shoonya_6sD1YDSZ6NLHO1, 5683919]
[paragraph, [95.0, 981.0, 582.0, 36.0], shoonya_6sD1YDSZ6NLHO1, 5683919]
[paragraph, [95.0, 1017.0, 582.0, 36.0], shoonya_6sD1YDSZ6NLHO1, 5683919]
[paragraph, [95.0, 1053.0, 582.0, 36.0], shoonya_6sD1YDSZ6NLHO1, 5683919]
[paragraph, [95.0, 1089.0, 582.0, 36.0], shoonya_6sD1YDSZ6NLHO1, 5683919]
[paragraph, [95.0, 1125.0, 582.0, 36.0], shoonya_6sD1YDSZ6NLHO1, 5683919]
[paragraph, [95.0, 1161.0, 582.0, 36.0], shoonya_6sD1YDSZ6NLHO1, 5683919]
[paragraph, [694.0, 854.0, 587.0, 36.0], shoonya_9s0PWBJSEGVN2N, 5683919]
[paragraph, [694.0, 890.0, 587.0, 36.0], shoonya_9s0PWBJSEGVN2N, 5683919]
[paragraph, [694.0, 943.0, 589.0, 36.0], shoonya_3s2YZV1ZP7AE8K, 5683919]
[paragraph, [694.0, 979.0, 589.0, 36.0], shoonya_3s2YZV1ZP7AE8K, 5683919]
[paragraph, [694.0, 1015.0, 589.0, 36.0], shoonya_3s2YZV1ZP7AE8K, 5683919]
[paragraph, [694.0, 1051.0, 589.0, 36.0], shoonya_3s2YZV1ZP7AE8K, 5683919]
[paragraph, [694.0, 1087.0, 589.0, 36.0], shoonya_3s2YZV1ZP7AE8K, 5683919]
[paragraph, [694.0, 1123.0, 589.0, 36.0], shoonya_3s2YZV1ZP7AE8K, 5683919]
[paragraph, [694.0, 1159.0, 589.0, 36.0], shoonya_3s2YZV1ZP7AE8K, 5683919]
[paragraph, [694.0, 1195.0, 589.0, 36.0], shoonya_3s2YZV1ZP7AE8K, 5683919]
[paragraph, [694.0, 1231.0, 589.0, 36.0], shoonya_3s2YZV1ZP7AE8K, 5683919]
[paragraph, [694.0, 1267.0, 589.0, 36.0], shoonya_3s2YZV1ZP7AE8K, 5683919]
[paragraph, [94.0, 1283.0, 587.0, 36.0], J558xMKAjj, 5683919]
[paragraph, [94.0, 1319.0, 587.0, 36.0], J558xMKAjj, 5683919]
[paragraph, [94.0, 1355.0, 587.0, 36.0], J558xMKAjj, 5683919]
[paragraph, [94.0, 1391.0, 587.0, 36.0], J558xMKAjj, 5683919]
[paragraph, [700.0, 1338.0, 583.0, 36.0], shoonya_7sMNNIPU31D17E, 5683919]
[paragraph, [700.0, 1374.0, 583.0, 36.0], shoonya_7sMNNIPU31D17E, 5683919]
[paragraph, [700.0, 1410.0, 583.0, 36.0], shoonya_7sMNNIPU31D17E, 5683919]
[paragraph, [700.0, 1446.0, 583.0, 36.0], shoonya_7sMNNIPU31D17E, 5683919]
[paragraph, [700.0, 1482.0, 583.0, 36.0], shoonya_7sMNNIPU31D17E, 5683919]
[paragraph, [700.0, 1518.0, 583.0, 36.0], shoonya_7sMNNIPU31D17E, 5683919]
[paragraph, [700.0, 1554.0, 583.0, 36.0], shoonya_7sMNNIPU31D17E, 5683919]
[paragraph, [700.0, 1590.0, 583.0, 36.0], shoonya_7sMNNIPU31D17E, 5683919]
[paragraph, [97.0, 1459.0, 587.0, 36.0], bn6JPvMYys, 5683919]
[paragraph, [97.0, 1495.0, 587.0, 36.0], bn6JPvMYys, 5683919]
[paragraph, [97.0, 1531.0, 587.0, 36.0], bn6JPvMYys, 5683919]
[paragraph, [90.0, 1593.0, 588.0, 36.0], kFciDJatg2, 5683919]
[paragraph, [90.0, 1629.0, 588.0, 36.0], kFciDJatg2, 5683919]
[paragraph, [700.0, 1644.0, 585.0, 36.0], shoonya_10sTFPEQXVFXB9, 5683919]
[paragraph, [700.0, 1680.0, 585.0, 36.0], shoonya_10sTFPEQXVFXB9, 5683919]
