[1545, 2000]
[section-title, [75.0, 209.0, 385.0, 49.5], shoonya_3sFG5JCYLPYQMI, 6513949]
[section-title, [75.0, 258.5, 385.0, 49.5], shoonya_3sFG5JCYLPYQMI, 6513949]
[section-title, [75.0, 308.0, 385.0, 49.5], shoonya_3sFG5JCYLPYQMI, 6513949]
[paragraph, [771.0, 333.0, 450.0, 36.0], shoonya_8sFELNZYMFFUP0, 6513949]
[paragraph, [771.0, 369.0, 450.0, 36.0], shoonya_8sFELNZYMFFUP0, 6513949]
[paragraph, [82.0, 423.0, 507.0, 36.0], shoonya_0sY7NBUNDEKV26, 6513949]
[paragraph, [82.0, 459.0, 507.0, 36.0], shoonya_0sY7NBUNDEKV26, 6513949]
[paragraph, [82.0, 495.0, 507.0, 36.0], shoonya_0sY7NBUNDEKV26, 6513949]
[paragraph, [82.0, 531.0, 507.0, 36.0], shoonya_0sY7NBUNDEKV26, 6513949]
[paragraph, [82.0, 567.0, 507.0, 36.0], shoonya_0sY7NBUNDEKV26, 6513949]
[paragraph, [82.0, 603.0, 507.0, 36.0], shoonya_0sY7NBUNDEKV26, 6513949]
[paragraph, [82.0, 639.0, 507.0, 36.0], shoonya_0sY7NBUNDEKV26, 6513949]
[paragraph, [82.0, 675.0, 507.0, 36.0], shoonya_0sY7NBUNDEKV26, 6513949]
[paragraph, [82.0, 711.0, 507.0, 36.0], shoonya_0sY7NBUNDEKV26, 6513949]
[paragraph, [82.0, 747.0, 507.0, 36.0], shoonya_0sY7NBUNDEKV26, 6513949]
[paragraph, [82.0, 783.0, 507.0, 36.0], shoonya_0sY7NBUNDEKV26, 6513949]
[paragraph, [82.0, 819.0, 507.0, 36.0], shoonya_0sY7NBUNDEKV26, 6513949]
[section-title, [1407.0, 668.0, 487.0, 49.5], shoonya_5sCMUMXDTPELX1, 6513949]
[section-title, [1407.0, 717.5, 487.0, 49.5], shoonya_5sCMUMXDTPELX1, 6513949]
[paragraph, [774.0, 725.0, 445.0, 36.0], ebne3nxdg9, 6513949]
[paragraph, [774.0, 761.0, 445.0, 36.0], ebne3nxdg9, 6513949]
[sub-section-title, [1404.0, 789.0, 395.0, 36.0], shoonya_9sYZFZMQ63CJAF, 6513949]
[sub-section-title, [1404.0, 825.0, 395.0, 36.0], shoonya_9sYZFZMQ63CJAF, 6513949]
[paragraph, [1409.0, 939.0, 507.0, 36.0], shoonya_6sK0S9SRKO7N3F, 6513949]
[paragraph, [1409.0, 975.0, 507.0, 36.0], shoonya_6sK0S9SRKO7N3F, 6513949]
[paragraph, [1409.0, 1011.0, 507.0, 36.0], shoonya_6sK0S9SRKO7N3F, 6513949]
[paragraph, [1409.0, 1047.0, 507.0, 36.0], shoonya_6sK0S9SRKO7N3F, 6513949]
[paragraph, [1409.0, 1083.0, 507.0, 36.0], shoonya_6sK0S9SRKO7N3F, 6513949]
[paragraph, [1409.0, 1119.0, 507.0, 36.0], shoonya_6sK0S9SRKO7N3F, 6513949]
[paragraph, [771.0, 1127.0, 451.0, 36.0], Zp1keZ-hea, 6513949]
[paragraph, [771.0, 1163.0, 451.0, 36.0], Zp1keZ-hea, 6513949]
