[2339, 1653]
[folio, [276.0, 196.0, 231.0, 36.0], IyDx0FqeF-, 5655109]
[folio, [276.0, 232.0, 231.0, 36.0], IyDx0FqeF-, 5655109]
[paragraph, [273.0, 302.0, 1091.0, 36.0], shoonya_2sWVH8487RNRNV, 5655109]
[paragraph, [273.0, 338.0, 1091.0, 36.0], shoonya_2sWVH8487RNRNV, 5655109]
[paragraph, [273.0, 374.0, 1091.0, 36.0], shoonya_2sWVH8487RNRNV, 5655109]
[paragraph, [273.0, 410.0, 1091.0, 36.0], shoonya_2sWVH8487RNRNV, 5655109]
[section-title, [269.0, 490.0, 731.0, 52.5], shoonya_4sRLYRDXO7GJ41, 5655109]
[paragraph, [267.0, 577.0, 1110.0, 36.0], shoonya_1sRMKTBX9VG0OW, 5655109]
[paragraph, [267.0, 613.0, 1110.0, 36.0], shoonya_1sRMKTBX9VG0OW, 5655109]
[paragraph, [267.0, 649.0, 1110.0, 36.0], shoonya_1sRMKTBX9VG0OW, 5655109]
[paragraph, [267.0, 685.0, 1110.0, 36.0], shoonya_1sRMKTBX9VG0OW, 5655109]
[paragraph, [267.0, 721.0, 1110.0, 36.0], shoonya_1sRMKTBX9VG0OW, 5655109]
[paragraph, [267.0, 757.0, 1110.0, 36.0], shoonya_1sRMKTBX9VG0OW, 5655109]
[paragraph, [267.0, 793.0, 1110.0, 36.0], shoonya_1sRMKTBX9VG0OW, 5655109]
[paragraph, [267.0, 829.0, 1110.0, 36.0], shoonya_1sRMKTBX9VG0OW, 5655109]
[paragraph, [267.0, 865.0, 1110.0, 36.0], shoonya_1sRMKTBX9VG0OW, 5655109]
[paragraph, [267.0, 901.0, 1110.0, 36.0], shoonya_1sRMKTBX9VG0OW, 5655109]
[paragraph, [267.0, 937.0, 1110.0, 36.0], shoonya_1sRMKTBX9VG0OW, 5655109]
[paragraph, [267.0, 973.0, 1110.0, 36.0], shoonya_1sRMKTBX9VG0OW, 5655109]
[paragraph, [267.0, 1009.0, 1110.0, 36.0], shoonya_1sRMKTBX9VG0OW, 5655109]
[paragraph, [267.0, 1045.0, 1110.0, 36.0], shoonya_1sRMKTBX9VG0OW, 5655109]
[paragraph, [267.0, 1081.0, 1110.0, 36.0], shoonya_1sRMKTBX9VG0OW, 5655109]
[paragraph, [267.0, 1117.0, 1110.0, 36.0], shoonya_1sRMKTBX9VG0OW, 5655109]
[paragraph, [267.0, 1153.0, 1110.0, 36.0], shoonya_1sRMKTBX9VG0OW, 5655109]
[paragraph, [267.0, 1189.0, 1110.0, 36.0], shoonya_1sRMKTBX9VG0OW, 5655109]
[paragraph, [267.0, 1225.0, 1110.0, 36.0], shoonya_1sRMKTBX9VG0OW, 5655109]
[paragraph, [267.0, 1261.0, 1110.0, 36.0], shoonya_1sRMKTBX9VG0OW, 5655109]
[paragraph, [267.0, 1297.0, 1110.0, 36.0], shoonya_1sRMKTBX9VG0OW, 5655109]
[paragraph, [267.0, 1333.0, 1110.0, 36.0], shoonya_1sRMKTBX9VG0OW, 5655109]
[paragraph, [267.0, 1369.0, 1110.0, 36.0], shoonya_1sRMKTBX9VG0OW, 5655109]
[paragraph, [267.0, 1455.0, 1107.0, 36.0], shoonya_0sF8Z66PQFVC8C, 5655109]
[paragraph, [267.0, 1491.0, 1107.0, 36.0], shoonya_0sF8Z66PQFVC8C, 5655109]
[paragraph, [267.0, 1527.0, 1107.0, 36.0], shoonya_0sF8Z66PQFVC8C, 5655109]
[paragraph, [267.0, 1563.0, 1107.0, 36.0], shoonya_0sF8Z66PQFVC8C, 5655109]
[paragraph, [267.0, 1599.0, 1107.0, 36.0], shoonya_0sF8Z66PQFVC8C, 5655109]
[paragraph, [267.0, 1635.0, 1107.0, 36.0], shoonya_0sF8Z66PQFVC8C, 5655109]
[paragraph, [267.0, 1671.0, 1107.0, 36.0], shoonya_0sF8Z66PQFVC8C, 5655109]
[paragraph, [267.0, 1707.0, 1107.0, 36.0], shoonya_0sF8Z66PQFVC8C, 5655109]
[paragraph, [267.0, 1743.0, 1107.0, 36.0], shoonya_0sF8Z66PQFVC8C, 5655109]
[paragraph, [267.0, 1779.0, 1107.0, 36.0], shoonya_0sF8Z66PQFVC8C, 5655109]
[paragraph, [267.0, 1815.0, 1107.0, 36.0], shoonya_0sF8Z66PQFVC8C, 5655109]
[paragraph, [267.0, 1851.0, 1107.0, 36.0], shoonya_0sF8Z66PQFVC8C, 5655109]
[paragraph, [267.0, 1887.0, 1107.0, 36.0], shoonya_0sF8Z66PQFVC8C, 5655109]
[paragraph, [267.0, 1923.0, 1107.0, 36.0], shoonya_0sF8Z66PQFVC8C, 5655109]
[paragraph, [267.0, 1959.0, 1107.0, 36.0], shoonya_0sF8Z66PQFVC8C, 5655109]
[paragraph, [267.0, 1995.0, 1107.0, 36.0], shoonya_0sF8Z66PQFVC8C, 5655109]
[paragraph, [267.0, 2031.0, 1107.0, 36.0], shoonya_0sF8Z66PQFVC8C, 5655109]
