[1806, 1262]
[folio, [176.0, 96.0, 506.0, 36.0], HU7XDs0hrC, 5680919]
[paragraph, [651.0, 178.0, 504.0, 36.0], shoonya_2sH56276Z7EXN7, 5680919]
[paragraph, [651.0, 214.0, 504.0, 36.0], shoonya_2sH56276Z7EXN7, 5680919]
[paragraph, [651.0, 250.0, 504.0, 36.0], shoonya_2sH56276Z7EXN7, 5680919]
[paragraph, [651.0, 286.0, 504.0, 36.0], shoonya_2sH56276Z7EXN7, 5680919]
[paragraph, [651.0, 322.0, 504.0, 36.0], shoonya_2sH56276Z7EXN7, 5680919]
[paragraph, [651.0, 358.0, 504.0, 36.0], shoonya_2sH56276Z7EXN7, 5680919]
[paragraph, [651.0, 394.0, 504.0, 36.0], shoonya_2sH56276Z7EXN7, 5680919]
[paragraph, [102.0, 179.0, 511.0, 36.0], shoonya_1sG6RKTM41MY5V, 5680919]
[paragraph, [102.0, 215.0, 511.0, 36.0], shoonya_1sG6RKTM41MY5V, 5680919]
[paragraph, [102.0, 251.0, 511.0, 36.0], shoonya_1sG6RKTM41MY5V, 5680919]
[paragraph, [102.0, 287.0, 511.0, 36.0], shoonya_1sG6RKTM41MY5V, 5680919]
[paragraph, [102.0, 323.0, 511.0, 36.0], shoonya_1sG6RKTM41MY5V, 5680919]
[paragraph, [102.0, 359.0, 511.0, 36.0], shoonya_1sG6RKTM41MY5V, 5680919]
[paragraph, [102.0, 395.0, 511.0, 36.0], shoonya_1sG6RKTM41MY5V, 5680919]
[paragraph, [102.0, 431.0, 511.0, 36.0], shoonya_1sG6RKTM41MY5V, 5680919]
[paragraph, [102.0, 467.0, 511.0, 36.0], shoonya_1sG6RKTM41MY5V, 5680919]
[paragraph, [102.0, 503.0, 511.0, 36.0], shoonya_1sG6RKTM41MY5V, 5680919]
[paragraph, [102.0, 539.0, 511.0, 36.0], shoonya_1sG6RKTM41MY5V, 5680919]
[paragraph, [102.0, 575.0, 511.0, 36.0], shoonya_1sG6RKTM41MY5V, 5680919]
[paragraph, [102.0, 611.0, 511.0, 36.0], shoonya_1sG6RKTM41MY5V, 5680919]
[paragraph, [102.0, 647.0, 511.0, 36.0], shoonya_1sG6RKTM41MY5V, 5680919]
[paragraph, [102.0, 683.0, 511.0, 36.0], shoonya_1sG6RKTM41MY5V, 5680919]
[paragraph, [102.0, 719.0, 511.0, 36.0], shoonya_1sG6RKTM41MY5V, 5680919]
